Mike Pence has failed he is the head of the White House Coronavirus task force he has a lot to answer for. #VPDebate,2020-10-08 01:08:54,Twitter for iPhone,21,50,corona; 
On Tuesday I joined the @ChiTreasurer @susanamendoza10 and @OperationHOPE founder @johnhopebryant to discuss and answer your questions about where to find the resources you need to financially weather the COVID-19 pandemic. https://t.co/loaH3T2MQt,2020-05-15 19:00:00,TweetDeck,4,6,covid; 
Yesterday I joined the @ChiTreasurer @susanamendoza10 and @OperationHOPE founder @johnhopebryant to discuss and answer your questions about where to find the resources you need to financially weather the COVID-19 pandemic. https://t.co/loaH3TknI1,2020-05-13 17:32:25,TweetDeck,5,5,covid; 
Thank you to frontline workers for their immense sacrifice during the #COVID19 public health crisis. @demsforillinois https://t.co/i2quiKYoOl,2020-05-13 13:14:55,TweetDeck,4,5,covid; 
“Money Mondays with Melissa” Will Help Chicagoans Find Federal &amp; State Resources during COVID-19  Click ​https://t.co/2ysSXVb3P7 to register and join us. https://t.co/pYDD6xJfjc,2020-05-10 21:17:06,TweetDeck,4,3,covid; 
.@CDCgov message: If you must travel take these steps to protect yourself &amp; others from #COVID19 during your trip. https://t.co/B2tzd5PtRb https://t.co/q5ySf6IiRT,2020-05-07 14:30:00,TweetDeck,4,2,covid; 
Thank you to @wttw​ for inviting me to discuss the shocking racial disparities suffered by communities of color laid bare by the #coronavirus. https://t.co/N30mvC0c69,2020-05-06 14:58:08,Twitter Web App,2,5,corona; 
Today's #coronavirus update (Monday May 4) from @GovPritzker - #StayHome to #StaySafe. https://t.co/1vKqfkAtoo,2020-05-04 19:38:13,Twitter Web App,1,4,corona; 
.@CDCgov message: If you must travel take these steps to protect yourself &amp; others from #COVID19 during your trip. https://t.co/B2tzd5PtRb https://t.co/2DVY538D73,2020-05-04 17:00:01,TweetDeck,2,2,covid; 
.@CDCgov message: If you must travel take these steps to protect yourself &amp; others from #COVID19 during your trip. https://t.co/B2tzd5PtRb https://t.co/xB215cwF60,2020-05-02 14:18:46,TweetDeck,4,2,covid; 
So many unsung heroes during this time of #COVID19 crisis. 'Kids Off The Block' founder Diane Latiker her husband and volunteers have been driving around distributing food gloves masks sanitizer and information since March 31. #AllInThisTogether https://t.co/TcuX4KOdwe,2020-04-29 14:38:36,TweetDeck,6,17,covid; 
From the @CDCgov: Given the shortage of N95 respirators during this global outbreak of #COVID19 it’s important to understand the difference between N95 respirators &amp; surgical masks &amp; how both are intended to protect healthcare workers. https://t.co/HZ6yH87edc https://t.co/RzlOSJx8o1,2020-04-29 12:28:45,TweetDeck,4,2,covid; 
"LIVE: @Shannonrwatts of @MomsDemand  is live with @StaceyAbrams and @johncyangdc from @AAAJ_AAJC discussing the disproportionate impact of gun violence &amp; #COVID19 on communities of color &amp; rising racism toward AAPI communities. #DemandingWomen https://t.co/C9uYAdsL1U,2020-04-28 16:24:45,Twitter Web App,5,6,covid; 
Join me with David Orr of @goodgovillinois for a virtual town hall. Discussion + Q/A re many topics including #COVID19 #VoteByMail #USPS. Wed 4/29 7:00 pm. Register for this online event by clicking: https://t.co/MOsHixMXjZ https://t.co/ONweqUhYsm,2020-04-28 16:13:01,Twitter Web App,4,5,covid; 
Be sure to tune in today "Live on @Facebook and @Twitter talking about racial health disparities including #gunviolence and #COVID19. Thank you @MomsDemand  @shannonrwatts @staceyabrams @johncyangdc. https://t.co/728jUx6PGI,2020-04-28 14:33:14,Twitter Web App,3,8,covid; 
Democrats are fighting for a 'big broad COVID-4' (Phase 4) including a "Heroes Fund" for those fighting on the frontlines in the war against the #cornonavirusm paying 'essential workers' between $5000 and $25000 of premium pay. https://t.co/OQB7DIpRRS,2020-04-25 12:21:57,Twitter Web App,3,5,covid; 
Yesterday I was in D.C. and voted #Yea on a bipartisan $480 billion funding bill aimed at helping small businesses during the #coronavirus pandemic.  I will continue to work every single day on behalf of constituents in #IL2 and the state of Illinois. https://t.co/SBF40CWJmx,2020-04-24 11:36:40,TweetDeck,3,4,corona; 
My heart goes out to @SenWarren on the loss of her brother Donald Reed Herring (86) to the coronavirus. He died without family at his side but nurses and front-line healthcare workers took care of him until the end. 💔💔💔  https://t.co/mPCckqOHXv,2020-04-23 15:19:43,Twitter Web App,8,14,corona; 
The @RedCross​ is looking for people who are fully recovered from #COVID19 and may be able to donate plasma to help current patients with serious or immediately life-threatening COVID-19 infections. Learn more here: https://t.co/cZPLMKtqag,2020-04-22 13:00:01,TweetDeck,4,4,covid; 
We need #TestingTestingTesting to beat this deadly disease. #COVID19 https://t.co/Ktzu4g2tpq,2020-04-21 19:26:34,Twitter Web App,14,16,covid; 
We must pass my 'Equitable Data Collection and Disclosure Act' in order to #ReleaseTheData. Congressional Democrats have introduced legislation that would require the federal government to collect racial demographics regarding COVID-19. https://t.co/z5i0Byf9Q4,2020-04-21 13:21:18,TweetDeck,6,5,covid; 
.@RedCross is looking for people who are fully recovered from #COVID19 and may be able to donate plasma to help current patients with serious or immediately life-threatening COVID-19 infections. Learn more here: https://t.co/cZPLMKtqag https://t.co/8KxcE7DVM9,2020-04-20 13:00:01,TweetDeck,3,2,covid; 
The American Red Cross​ is looking for people who are fully recovered from #COVID19 and may be able to donate plasma to help current patients with serious or immediately life-threatening COVID-19 infections. Learn more here: https://t.co/cZPLMKbPiI,2020-04-19 17:00:00,TweetDeck,5,4,covid; 
Thank you to the #SexyLiberal! My interview Friday on the @StephMillerShow! We talked about @realDonaldTrump’s shameful reaction to #COVID19 hitting the African American community the hardest? https://t.co/BJaLcQMD2e,2020-04-19 15:32:14,Twitter Web App,11,25,covid; 
.@RedCross is looking for people who are fully recovered from #COVID19 and may be able to donate plasma to help current patients with serious or immediately life-threatening COVID-19 infections. Learn more here: https://t.co/cZPLMKtqag https://t.co/1g1qFPrMJs,2020-04-18 17:00:00,TweetDeck,8,4,covid; 
"Due to pre-existing health disparities socioeconomic inequality and structural racism communities of color are disproportionately affected by the COVID-19 pandemic." https://t.co/lfmsOzO8CC,2020-04-17 17:00:00,TweetDeck,5,10,covid; 
.@RedCross is looking for people who are fully recovered from #COVID19 and may be able to donate plasma to help current patients with serious or immediately life-threatening COVID-19 infections. Learn more here: https://t.co/cZPLMKbPiI https://t.co/SOefzHqWM1,2020-04-17 12:44:47,TweetDeck,4,3,covid; 
"Due to pre-existing health disparities socioeconomic inequality and structural racism communities of color are disproportionately affected by the #COVID19 pandemic." https://t.co/lfmsOzwxL4 via @ESSENCE,2020-04-16 17:34:15,Twitter Web App,2,3,covid; 
New @CDCgov digital Coronavirus Self-Checker called Clara can help you decide when to call your doctor. Remember if you’re sick with COVID-19 or think you might take steps like covering your coughs to protect others. Start using the Clara tool here: https://t.co/XDrrhQ4xdQ https://t.co/erB8GyFO6X,2020-04-10 23:00:00,TweetDeck,2,2,covid; corona; 
Worry confusion frustration or fear can be normal when dealing with the #CorononavirusPandemic.  For immediate crisis counseling and support reach out to the Disaster Distress Helpline - Call 1-800-985-5990 #COVID19 https://t.co/iv9bsrMC8a,2020-04-10 17:00:00,TweetDeck,6,5,covid; 
.@IDPH advises the "common flu and allergy season are among us and could be confused with #COVID19."   See symptoms prevention and treatment for each below⬇️😷 https://t.co/ZNkdXzjsby,2020-04-09 18:00:00,TweetDeck,1,4,covid; 
New @CDCgov digital Coronavirus Self-Checker called Clara can help you decide when to call your doctor. Remember if you’re sick with COVID-19 or think you might take steps like covering your coughs to protect others. Start using the Clara tool here: https://t.co/XDrrhQ4xdQ https://t.co/dLGmQtjIwx,2020-04-09 11:40:19,TweetDeck,3,1,covid; corona; 
.@IDPH advises the "common flu and allergy season are among us and could be confused with #COVID19."   See symptoms prevention and treatment for each below⬇️😷 https://t.co/dc6bXzsLE4,2020-04-08 18:00:00,TweetDeck,1,2,covid; 
Worry confusion frustration or fear can be normal when dealing with the #CorononavirusPandemic.  For immediate crisis counseling and support reach out to the Disaster Distress Helpline - Call 1-800-985-5990 #COVID19 https://t.co/GwGprrmQUW,2020-04-08 17:00:00,TweetDeck,1,2,covid; 
SAD NEWS: British PM @BorisJohnson has been moved to the ICU unit at St. Thomas' Hospital. He was hospitalized Sunday with persistent symptoms of the #coronavirus.  This disease can strike anyone at any time and in any place.   #StayHome to #StaySafe https://t.co/6y8ILIDLiF,2020-04-06 19:59:11,Twitter Web App,2,4,corona; 
Worry confusion frustration or fear can be normal when dealing with the #CorononavirusPandemic.  For immediate crisis counseling and support reach out to the Disaster Distress Helpline - Call 1-800-985-5990 #COVID19 https://t.co/tCLfPZHACW,2020-04-06 17:26:02,TweetDeck,6,8,covid; 
SAD NEWS: @chicagosmayor announced today a @Chicago_Police officer died from COVID-19.  Marco Di Franco 50 died from complications from #COVID19 He is survived by his wife two children ages 7 and 10 as well as a brother who also is a police officer. https://t.co/wENH1aq5wW,2020-04-02 17:26:45,TweetDeck,5,3,covid; 
You are one of the most powerful prevention tools to limit the spread of #COVID19. Wash your hands with soap and warm water for at least 20 seconds or use hand sanitizer. Avoid touching your face cover your sneezes/coughs and stay home. https://t.co/UMLvPmK2x4,2020-04-01 13:25:52,TweetDeck,3,2,covid; 
Today's update with @GovPritzker along with Mayor Lori Lightfoot (@chicagosmayor). #COVID19: https://t.co/fXAgmhU4ud,2020-03-31 19:45:32,Twitter Web App,3,2,covid; 
Latest update by @GovPritzker in the #coronavirus crisis in Illinois. #StayHome #SaveLives https://t.co/DAfcoJHI8r,2020-03-29 20:40:49,TweetDeck,2,8,corona; 
Heading to Washington D.C. to vote on the $2T bipartisan rescue package to fuel a coronavirus-ridden economy and bring economic relief. This bipartisan package has overwhelming support from both sides of the aisle. #FamiliesFirst #IL2Strong https://t.co/enTgXwPK1i,2020-03-27 13:54:11,Twitter Web App,6,9,corona; 
FRIENDLY REMINDER (of Dos and Don'ts) from the Illinois Department of Public Health (IDPH)​ to #StopCOVID19 and remain #ILStrong.   For more information please visit: https://t.co/FAuhpG2p3k https://t.co/faMfQPGBiQ,2020-03-26 13:00:01,TweetDeck,6,4,covid; 
I hosted a conference call with local small business owners last Friday March 20.  The purpose of the call was to hear firsthand what my local small business owners and independent contractors need from Congress during this Coronavirus Crisis. #COVID19 https://t.co/6D43iRIKqd,2020-03-26 12:31:45,TweetDeck,4,3,covid; corona; 
FRIENDLY REMINDER from the Illinois Department of Public Health (IDPH)​ to #StopCOVID19 and remain #ILStrong.   For more information please visit: https://t.co/FAuhpGk0rU https://t.co/nLRItzkxkQ,2020-03-25 18:50:39,TweetDeck,3,3,covid; 
FRIENDLY REMINDER from the Illinois Department of Public Health (IDPH)​ to #StopCOVID19 and remain #ILStrong.   For more information please visit: https://t.co/FAuhpGk0rU,2020-03-25 18:49:53,TweetDeck,2,3,covid; 
From the @IDPH: "We can each do our part in helping stop COVID-19. Join the fight and together we'll be able to reduce transmission and keep our communities safe!" #TogetheratHome #WashingHands #FlattenTheCurve https://t.co/K2XqhXd1hO,2020-03-25 14:44:00,TweetDeck,4,3,covid; 
From the World Health Organization (@WHO) the five things to help stop the spread of coronavirus #COVID19:  🧼 1. Wash your hands 💪 2. Cough/sneeze into your elbow 🤦🏻‍♀️ 3. Don't touch your face 📏 4. Stay more than 3ft (1m) away from others 🏡 5. Stay home if you feel sick https://t.co/wcd37X9SRW,2020-03-24 17:00:01,TweetDeck,4,3,covid; corona; 
From the World Health Organization (@WHO) the five things to help stop the spread of coronavirus #COVID19:  🧼 1. Wash your hands 💪 2. Cough/sneeze into your elbow 🤦🏻‍♀️ 3. Don't touch your face 📏 4. Stay more than 3ft (1m) away from others 🏡 5. Stay home if you feel sick https://t.co/D1ZTZaa4wQ,2020-03-23 13:00:00,TweetDeck,7,6,covid; corona; 
From the @CDCgov: "Caregivers: Pay attention for potential COVID-19 symptoms of those you care for including fever cough and shortness of breath. Call a healthcare provider if you think your loved one may have symptoms." https://t.co/QKxqbllY8C https://t.co/eCfzeDc6l7,2020-03-23 10:29:09,Twitter Web App,4,2,covid; 
The @RedCross now faces a severe blood shortage due to an unprecedented number of blood drive cancellations during this #coronavirus outbreak. Make an appointment to help patients counting on lifesaving blood: https://t.co/WChvb5cRyB https://t.co/m6WQx05yu7,2020-03-22 19:00:00,TweetDeck,3,1,corona; 
A #coronavirus side effect you might not have considered: Canceled blood drives &amp; fewer available blood donors. We're urging healthy eligible individuals to schedule @RedCross blood donation appointment to help overcome a severe blood shortage: https://t.co/BQof7F5jxi #COVID19,2020-03-22 11:24:00,TweetDeck,8,12,covid; corona; 
The @RedCross now faces a severe blood shortage due to an unprecedented number of blood drive cancellations during this #coronavirus outbreak. Make an appointment to help patients counting on lifesaving blood: https://t.co/WChvb5cRyB https://t.co/9HpBQWYLTl,2020-03-21 17:00:00,TweetDeck,6,5,corona; 
The @RedCross now faces a severe blood shortage due to an unprecedented number of blood drive cancellations during this #coronavirus outbreak. Make an appointment to help patients counting on lifesaving blood: https://t.co/WChvb5cRyB https://t.co/UedLReBDJT,2020-03-20 19:10:07,TweetDeck,7,4,corona; 
At 3 P.M. this afternoon @chicagosmayor (Lori Lightfoot) will join @GovPritzker and public health experts to provide an update on COVID-19.,2020-03-20 19:02:59,TweetDeck,6,5,covid; 
Catch up on the news and trends about the coronavirus pandemic courtesy of @axios. https://t.co/jzp92Nnd5L,2020-03-16 14:21:36,TweetDeck,3,1,corona; 
Join us tonight at 8:00 PM eastern/7:00 PM central as the @NAACP hosts an Emergency Tele-Town Hall: The Coronavirus-Protecting Our Community.  To RSVP visit: https://t.co/lQcOok3j8K https://t.co/zQmIw3eEAz,2020-03-15 17:46:55,Twitter Web App,7,9,corona; 
Coronavirus Disease 2019 (COVID-19) https://t.co/h4hm4i6HrH via @CDCgov,2020-03-14 14:22:03,Twitter Web Client,2,2,covid; corona; 
Thank you @GovPritzker for showing great leadership.  "Gov. J.B. Pritzker today moved to allow people who have to skip work because they have coronavirus to collect some pay even if their job doesn’t come with paid sick leave." https://t.co/3Fazphvm1W,2020-03-12 16:15:04,TweetDeck,8,15,corona; 
