We’re potentially one big step closer to defeating COVID.  https://t.co/mLZLFrV2ZD,2020-11-28 15:01:15,Twitter for iPhone,4,14,covid; 
"The study launching Wednesday will be one of the world's largest coronavirus vaccine studies so far involving 60000 volunteers in the U.S. South Africa Argentina Brazil Chile Colombia Mexico and Peru."  #OperationWarpSpeed   https://t.co/DMsgSY3DPG,2020-09-23 19:25:29,Twitter Web App,2,7,corona; 
Small businesses support tens of millions of American jobs &amp; have a huge impact on our nation’s economy. I proudly voted for the #paycheckprotectionprogram to help small businesses remain open through COVID-19 shutdowns &amp; I’m proud to celebrate them this Small Business Week! https://t.co/AlgWac546M,2020-09-22 16:54:28,Twitter Web App,1,2,covid; 
"Though the timeline is accelerated Operation Warp Speed is not eliminating any steps — it is simply allowing them to occur at the same time. All potential COVID-19 vaccines are undergoing the same rigorous testing just as any other vaccine[...]"  Great read from @RepRickAllen⬇️ https://t.co/2VfmVtU92p,2020-09-21 15:11:50,Twitter Web App,30,89,covid; 
We've lowered #COVID19 mortality rates significantly since this spring by using new therapeutics. Continuing to develop better treatments will 𝐡𝐞𝐥𝐩 𝐩𝐚𝐭𝐢𝐞𝐧𝐭𝐬 𝐠𝐞𝐭 𝐛𝐞𝐭𝐭𝐞𝐫 𝐬𝐨𝐨𝐧𝐞𝐫 and 𝐜𝐨𝐧𝐭𝐢𝐧𝐮𝐞 𝐬𝐚𝐯𝐢𝐧𝐠 𝐥𝐢𝐯𝐞𝐬. https://t.co/ynb9MrJ37R,2020-09-18 16:25:01,Twitter Web App,1,3,covid; 
THREAD: What is #OperationWarpSpeed?  An 🇺🇸 effort to defeat #COVID19 by our nation's best &amp; brightest who have been working around the clock to develop 𝐬𝐚𝐟𝐞 𝐚𝐧𝐝 𝐞𝐟𝐟𝐞𝐜𝐭𝐢𝐯𝐞:  ✅Vaccines  ✅Treatments  ✅Tests https://t.co/zzKJ7tg5YP,2020-09-18 16:24:59,Twitter Web App,123,302,covid; 
The @US_FDA will ensure that any Covid-19 vaccine is 𝐬𝐚𝐟𝐞 𝐚𝐧𝐝 𝐞𝐟𝐟𝐞𝐜𝐭𝐢𝐯𝐞.  ⬇️ THREAD ⬇️ https://t.co/zylu6oyO8H,2020-09-14 21:00:40,Twitter Web App,22,70,covid; 
Once again monthly payroll increases surpass expectations and unemployment numbers fall as the U.S. economy continues to rebound toward pre-COVID shutdown numbers. https://t.co/DhabgMho5F,2020-09-04 13:44:04,Twitter Web App,10,51,covid; 
We want states to be ready to distribute a COVID-19 vaccine as early as November.  However we won't distribute any vaccine unless it is proven to be 𝐬𝐚𝐟𝐞 𝐚𝐧𝐝 𝐞𝐟𝐟𝐞𝐜𝐭𝐢𝐯𝐞. https://t.co/QBjfpXIett,2020-09-03 21:59:32,Twitter Web App,3,9,covid; 
"Sanofi and GlaxoSmithKline Plc two of the world’s biggest vaccine makers began testing their experimental Covid-19 shot in the first patients on Thursday and aim to start late-stage trials before year-end."  #OperationWarpSpeed   https://t.co/f0ZKZzADTW,2020-09-03 14:24:47,Twitter Web App,3,8,covid; 
🚨"Novavax coronavirus vaccine is safe published results show" https://t.co/HvNxWn6epV,2020-09-03 01:22:53,Twitter Web App,5,8,corona; 
Here’s a great breakdown of Operation Warp Speed which is working on getting a safe and effective COVID-19 vaccine to the American people—simple as that: https://t.co/w9zoq9IZfp,2020-09-02 16:46:34,Twitter Web App,70,247,covid; 
Headline: "Federal health advisors assume four coronavirus vaccine trials backed by U.S. will likely fail"  Next sentence in quote: "THREE OF THE TRIALS WILL SUCCEED..."  Come on @CNBC. Do better.  #OperationWarpSpeed    https://t.co/MYKFJoIVV4,2020-09-02 16:39:21,Twitter Web App,22,54,corona; 
ICYMI: Perspective in the @NEJM:   "Developing Safe and Effective Covid Vaccines — Operation Warp Speed’s Strategy and Approach"  https://t.co/I3hQkQfcf8,2020-08-31 19:49:30,Twitter Web App,2,3,covid; 
"The United States expects to have four coronavirus candidate vaccines in large-scale clinical trials by the middle of September a remarkable timeline considering the SARS-CoV-2 virus was only discovered in December."  #OperationWarpSpeed  https://t.co/Yln3iJBKP8,2020-08-31 17:10:06,Twitter Web App,4,7,corona; 
Our physicians and researchers need to have a large supply of plasma from recovered COVID patients. Please consider donating if you can and help others: https://t.co/bYvvKbBerD,2020-08-23 21:35:55,Twitter Web App,4,23,covid; 
Click to read my op-ed about our nation’s battle with COVID-19 and our path forward as we combat this disease.  https://t.co/qWtB6vE1P5,2020-08-21 19:01:42,Twitter Web App,2,5,covid; 
If you've recovered from #COVID19 please consider donating your plasma. It's critical for researchers to have an adequate supply of convalescence plasma to continue researching life saving treatments! https://t.co/JBm6T2XZKm,2020-08-20 20:09:10,Twitter Web App,5,14,covid; 
These Shawnee State students are an inspiring example of our community’s efforts to combat COVID-19. Their voluntary work in building face shields is helping protect those on the frontlines of the pandemic. Such selfless work! https://t.co/hmaA0T72Bj,2020-08-12 20:47:06,Twitter Web App,2,10,covid; 
"President Trump last week called on those who have recovered from covid-19 to donate their blood plasma as a potential treatment for help stem the pandemic... it could help millions of patients with the novel coronavirus both here and abroad." https://t.co/0FagvWNo7D,2020-08-03 22:47:31,Twitter Web App,4,7,covid; corona; 
Plasma donation ➡️ developing treatments for COVID-19.  The Trump administration is calling attention to the importance of plasma donation.   COVID-19 survivors learn more about how you can save lives ⬇️⬇️⬇️  https://t.co/OLdkmzQO07,2020-07-31 17:58:23,Twitter for iPhone,4,10,covid; 
If you’re interested in learning more about convalescent plasma donation and how it can be used to treat COVID-19 you can visit https://t.co/mlObJPSuUn,2020-07-30 19:38:29,Twitter Web App,0,4,covid; 
Gathering plasma is becoming increasingly critical to further developing therapeutics to treat COVID-19. If you or someone you know has recovered from the virus please consider donating! https://t.co/WZjb21kxG9,2020-07-30 19:33:41,Twitter Media Studio,105,302,covid; 
Last week I introduced legislation with @RepScottPeters to create a public awareness campaign encouraging patients who’ve recovered from COVID-19 to donate their plasma and help save lives! https://t.co/BUDdtdj4H3,2020-07-30 19:30:25,Twitter Web App,3,7,covid; 
Thank you @realDonaldTrump for spreading awareness about the importance of plasma donation in developing treatments for COVID-19. https://t.co/klnJFUNVZt,2020-07-30 19:12:57,Twitter Web App,8,32,covid; 
Have you tested positive for COVID-19?   You should talk to your doctor about using a pulse oximeter to track your lung health.  Yesterday I spoke with @JohnLondonWLWT about why we need to raise awareness of these important devices:  https://t.co/JDghLIGya1 https://t.co/mQ3jrYExt7,2020-07-17 15:25:18,Twitter Web App,6,16,covid; 
REMINDER: Today is #TaxDay2020! The IRS extended tax day to help relieve fiscal pressure through COVID-19. Make sure to file your 2019 taxes before the day's end if you haven’t already. https://t.co/y2rIxb9KKR,2020-07-15 15:24:55,Twitter Web App,4,5,covid; 
Americans across the country are being treated for COVID-19 with convalescent plasma. If you have recovered from coronavirus I encourage you to consider donating plasma. For more info on how plasma donation can help current COVID-19 patients visit https://t.co/wndC8GzXk5,2020-07-14 19:58:22,Twitter Web App,3,14,covid; corona; 
The Paycheck Protection Program (PPP) application has been extended through August 8th. So far PPP has already supported over 50 million jobs across America and this extension will continue to help keep businesses open and employees on the payroll through COVID-19. https://t.co/KzdNUYyzMK,2020-07-13 18:32:56,Twitter Web App,1,9,covid; 
For more information on free COVID-19 tests visit @OHdeptofhealth's website: https://t.co/VZlIDDDVSe https://t.co/vZ5OLUK66C,2020-07-08 21:30:00,Twitter Web App,3,8,covid; 
Great opportunity to help:  "Blood drive at Great American Ball Park donations also tested for COVID-19 antibodies" via @FOX19    https://t.co/eJZ39Xe1Jy,2020-06-24 16:11:39,Twitter Web App,4,5,covid; 
Your plasma donation could save lives!  "In a new study of convalescent plasma transfusions in 20000 coronavirus patients authors say the data offers “robust evidence” the treatment is safe and associated with improved survival." via @FoxNews https://t.co/q9k2bS3cVC https://t.co/YoW5vUG7sE,2020-06-19 21:18:43,Twitter Web App,4,9,corona; 
UPDATE: You can get free COVID-19 tests at select locations in Southwest Ohio. https://t.co/NWPbe7c2jg,2020-06-16 15:01:17,Twitter Web App,3,4,covid; 
Your plasma donation can save lives! If you’ve recovered from COVID-19 please consider donating your plasma to patients currently fighting the disease. https://t.co/u67y1IzZPK,2020-06-15 15:07:11,Twitter Media Studio,7,21,covid; 
IMPORTANT: @GovMikeDeWine has just announced that everyone in Ohio can now access a COVID-19 test by contacting their doctor. This would not be possible without the CARES Act funding. https://t.co/589diagKy1,2020-06-11 19:04:54,Twitter Web App,9,28,covid; 
If you’ve recovered from COVID-19 please consider donating your plasma. It can help save lives.   Here is another great tool to find plasma donation sites near you: https://t.co/0xo8ErgXrM,2020-05-29 16:09:07,Twitter for iPhone,2,13,covid; 
#COVID19 testing update: CVS will open 34 testing sites across Ohio—including 4 in the Cincinnati area. Read more ⬇️ https://t.co/4WKisjVjfI,2020-05-28 21:13:58,Twitter for iPhone,2,7,covid; 
Thanks @bhweingarten for having me on your podcast to discuss:  - China’s misinformation regarding the COVID-19 outbreak - FISA court system - Politicization of the IC - And more  https://t.co/FNN64cEtj2,2020-05-27 13:31:54,Twitter Web App,8,7,covid; 
I'm pleased to announce that following a letter I sent to the administration @HHSGov has announced they will release $4.9 billion in relief funds to skilled nursing facilities. This is a huge win as senior citizens have been heavily affected by COVID19. https://t.co/m3p9Q3K7l6,2020-05-22 16:40:09,Twitter Web App,6,22,covid; 
Convalescent plasma donation continues to successfully treat COVID-19! If you’ve recovered from COVID-19 I encourage you to:   - Talk with your doctor about plasma donation - Consider donating your own plasma - Help save lives!   https://t.co/iGTXEs4LFP,2020-05-21 16:12:38,Twitter Web App,3,12,covid; 
🚨🚨 Over $2 million dollars are going to Rural Health Clinics across Ohio to support and expand COVID-19 testing efforts for those in rural areas. https://t.co/AjhexbKdGu 🚨🚨,2020-05-20 17:34:03,Twitter for iPhone,1,7,covid; 
For more information on convalescent plasma donation for recovered COVID-19 patients visit: https://t.co/VPq4YGYd4g,2020-05-14 14:47:35,Twitter Web App,1,5,covid; 
Convalescent plasma infusions are saving lives right here in our community. Ted Richardson was one of the first Americans to receive plasma donation as a treatment for COVID-19 thanks to the work at @ChristHospital and @HoxworthUC.   https://t.co/1ZNPMoF6rE,2020-05-14 14:47:35,Twitter Web App,6,21,covid; 
Thank you @MikeKellyPA! Plasma donation from recovered COVID-19 patients is so important because it can help save the lives of patients currently experiencing symptoms. Find more information on plasma donation here: https://t.co/VPq4YGYd4g https://t.co/BKk3tDvRsT,2020-05-14 13:29:59,Twitter Web App,4,10,covid; 
This is great news! The @FCC’s $719098 grant to @CincyChildrens for telehealth services will help high-risk pediatric patients get access to care &amp; avoid potential exposure to COVID-19. https://t.co/mc3000Pxxh,2020-05-14 01:45:01,Twitter for iPhone,5,26,covid; 
With all of the interruptions that the COVID-19 outbreak caused I recently sent a bipartisan letter with @RepLaHood and @RepTomSuozzi to the administration asking them to provide more flexibility to individuals with FSAs and DCFSAs.,2020-05-13 19:43:10,Twitter Web App,8,18,covid; 
The COVID-19 pandemic has thrown a wrench in many of our plans. Americans need added flexibility with their FSAs and DCFSAs and I'm proud to lead the effort to get this done.  https://t.co/xfE9gL3tS2 https://t.co/dDf9zNyor0,2020-05-11 18:51:08,Twitter Web App,5,9,covid; 
Testing is critical to beating this coronavirus and I'm pleased to see that the United States has made a lot of progress with testing. We need to continue the good work to make tests fast accessible and widely available. https://t.co/0jPqZ1xh3Y,2020-05-06 20:49:12,Twitter Web App,2,16,corona; 
If you’ve recovered from COVID-19 please consider donating your plasma to help treat current coronavirus patients. Last night I spoke with @WLWT about the progress we’ve seen with plasma treatments.  https://t.co/0zcHgHtSlU,2020-05-01 18:23:31,Twitter Web App,2,12,covid; corona; 
📺ICYMI: I gave an update on a variety of #COVID__19-related issues to @Local12:  https://t.co/LQ5Yf9M5o3,2020-04-30 20:28:03,Twitter Web App,5,4,covid; 
Thank you @MarioDB!   If you've recovered from #COVID__19 please consider donating your plasma. It could help save lives.  More info➡️ https://t.co/VPq4YGYd4g https://t.co/dZVuXXw5v3,2020-04-30 18:36:47,Twitter Web App,1,20,covid; 
If you've recovered from COVID-19 your plasma donation could help save a life. You can find more information about who qualifies and where you can donate at: https://t.co/VPq4YGYd4g,2020-04-29 15:52:07,Twitter Web App,1,4,covid; 
Before the funding ran out last week roughly 60000 Ohio businesses had received a total of $14 billion from the PPP to keep their doors open and their employees on the payroll as we battle COVID-19.,2020-04-23 15:23:38,Twitter Web App,0,15,covid; 
Thank you @realDonaldTrump for bringing attention to #ConvalescentPlasma donations!  Find out how you can make a lifesaving donation:   OH-02: https://t.co/VPq4YGYd4g  USA🇺🇸: https://t.co/KWGXblWPxf  #COVIDー19 @WhiteHouse @US_FDA https://t.co/WbZAfAhLd7,2020-04-21 23:38:00,Twitter Web App,48,146,covid; 
GOOD NEWS: Hoxworth Blood Center collected its first convalescent plasma donations last week but we still need more volunteers to come forward &amp; help. If you’ve recovered from COVID-19 your antibodies can help treat other patients. More info on donation: https://t.co/VPq4YGYd4g https://t.co/ZrbjYYs0ZJ,2020-04-20 15:48:05,Twitter Media Studio,8,24,covid; 
Your plasma donation can help us treat COVID-19 patients and help save lives. Learn more at https://t.co/zXzMuLEAKT. We will get better together! https://t.co/8p1VaupVnj,2020-04-17 15:37:34,Twitter Media Studio,6,14,covid; 
If you purchase an alarm system does it help if it only goes off after the thief is long gone?  My latest in the @dcexaminer about the WHO and China's coverup of #COVIDー19: https://t.co/You7Urwf3Z,2020-04-17 13:06:25,Twitter Web App,12,26,covid; 
If you or someone you know has recovered from COVID-19 I encourage you to consult your physician to discuss donating plasma to help current coronavirus patients. For more information on plasma donation visit: https://t.co/jcM5YVFhzC https://t.co/EDybHq3Kx9,2020-04-16 22:05:24,Twitter Media Studio,18,36,covid; corona; 
If you've recovered from #COVID19 please consider making a plasma donation.   For more information: https://t.co/mlObJPSuUn https://t.co/ZgX9JnmzOS,2020-04-16 15:41:59,Twitter Web App,7,11,covid; 
The @RedCross is seeking people who are fully recovered from the new coronavirus to sign up to donate plasma to help current COVID-19 patients.  For more information on plasma donation: https://t.co/mlObJPSuUn  For Red Cross information: https://t.co/P2CT0heeLX,2020-04-14 15:55:20,Twitter Web App,5,6,covid; corona; 
If you've recovered from COVID-19 your plasma donation could save lives. The FDA has established a protocol for the collection of convalescent serum from COVID-19 positive donors to help treat others fighting the disease.,2020-04-14 15:55:20,Twitter Web App,10,15,covid; 
That's a lot of buddy cards: LaRosa's coronavirus team member fund gets a boost @Enquirer https://t.co/PlBtjfux24,2020-04-14 15:31:14,Twitter Web App,0,3,corona; 
COVID-19: SON Ministries Food Pantry now offering drive-thru services @Enquirer https://t.co/pX6aR9iKt3,2020-04-14 15:31:13,Twitter Web App,0,3,covid; 
Coronavirus in Ohio: St. Xavier student creates website for grocery delivery during pandemic @Enquirer  https://t.co/6KdrKqk7JO,2020-04-14 15:31:12,Twitter Web App,0,2,corona; 
THREAD: We will get better together. Here are a few of the many Ohioans who are stepping up to make a difference in our communities as we battle COVID-19. #GoodNewsOhio,2020-04-14 15:31:12,Twitter Web App,12,61,covid; 
The COVID-19 Telehealth Program created by the CARES Act will help providers across Ohio ensure they have the tools and resources necessary to continue aiding patients.  You can find the FCC COVID-19 Telehealth Program application here: https://t.co/dd4iCI1Dl1,2020-04-13 16:12:49,Twitter Web App,0,2,covid; 
The FCC is now accepting applications for the COVID-19 Telehealth Program. The CDC recommends that providers and patients use telehealth during this pandemic to maintain proper social distancing measures &amp; CMS has given providers additional flexibility to utilize these services.,2020-04-13 16:12:49,Twitter Web App,2,8,covid; 
We desperately need plasma donation for patients who have recovered from COVID-19 right now. I’m working with local doctors to raise awareness and recruit eligible donors. You can find critical resources about plasma donation here: https://t.co/mlObJPSuUn https://t.co/yiCCV69vFh,2020-04-11 19:41:04,Twitter Media Studio,6,13,covid; 
It’s clear that the Chinese Communist regime withheld information that could've helped us respond to COVID-19 earlier. The World Health Organization owes us an explanation for why they’ve seemingly covered for China’s lies &amp; the President is right to question their credibility. https://t.co/KXPs3aYOHO,2020-04-11 18:26:20,Twitter Media Studio,813,939,covid; 
📺TUNE IN: I’ll be joining @foxandfriends to discuss the latest on #COVIDー19 and the need for those who have recovered to donate plasma. https://t.co/I793JtSlS6,2020-04-11 12:19:50,Twitter for iPhone,8,26,covid; 
📺Coming up in the top of the 6 o'clock hour on @FoxBusiness's @EveningEdit with @LizMacDonaldFOX to talk the latest on #COVIDー19.,2020-04-10 21:53:06,Twitter Web App,3,11,covid; 
Defeating this coronavirus will take an all-hands-on-deck effort.  #InThisTogetherOhio https://t.co/epAkomEHGw,2020-04-09 14:03:22,Twitter Web App,3,9,corona; 
🚨 @HHSGov has awarded more than $4.6 million in grants to Community Health Centers in #OH02 to address #COVIDー19.   Read more: https://t.co/2tFD8z9Ejt,2020-04-08 18:02:16,Twitter Web App,1,5,covid; 
FYI: The Department of Homeland Security has extended the deadline for Americans to obtain a REAL ID to October 2021 in light of the coronavirus pandemic. For more information on how to upgrade your license to a REAL ID visit https://t.co/t3GzEMprJJ.,2020-04-07 17:31:41,Twitter Web App,2,4,corona; 
Our national response to this #coronavirus has placed a premium on supporting the efforts of states and localities. To that end Congress appropriated $150 billion in the CURES Act specifically to help state and local governments. 1/2,2020-04-06 20:56:00,Twitter Web App,0,9,corona; 
Good work @ShawneeState for stepping up to help keep our doctors and nurses safe during the #COVIDー19 pandemic! https://t.co/waT3TBZEGu,2020-04-03 22:07:28,Twitter Web App,1,7,covid; 
Proud to see @ProcterGamble and many other companies stepping up to help! #InThisTogetherOhio #COVIDー19    https://t.co/9BnnCshcpy,2020-04-01 16:02:21,Twitter Web App,8,25,covid; 
Thank you to all of the doctors and medical professionals out there on the frontlines of this battle against COVID-19. As a physician I understand many of the challenges you’re facing and know you’re making a difference. We support you and we’re praying for you! https://t.co/nj1wC1jZD6,2020-03-30 23:14:26,Twitter Web App,5,21,covid; 
.@OHdeptofhealth offers extensive resources for Ohioans to keep track of this coronavirus in our home state. You can see the most recent data breakdown on the COVID-19 dashboard here: https://t.co/VhzQAcQ4Hd,2020-03-30 19:30:56,Twitter Web App,1,4,covid; corona; 
Here are a few simple ways in addition to social distancing that you can keep yourself and others from getting COVID-19. Stay safe and healthy everyone! #InThisTogetherOhio https://t.co/L4iMGMLmvD,2020-03-26 16:58:36,Twitter Web App,3,12,covid; 
During times of turmoil it is critical that we unite hold onto our humanity and pull together – not apart. My latest in the @Enquirer on COVID-19.   https://t.co/afr2Fr5oEE,2020-03-25 18:27:10,Twitter Web App,5,10,covid; 
Farmers and ag workers are important pillars in our great state of Ohio. Today on #NationalAgDay we thank hard-working farmers for feeding our families and friends and for their contributions to our nation’s robust food supply chain especially during this coronavirus pandemic.,2020-03-24 19:05:33,Twitter Web App,5,24,corona; 
We all have a part to play in stopping the spread of COVID-19 and it’s critical we have accurate information. Stay up to date with the CDC’s detailed resources and tips to keep ourselves and others safe from COVID-19. https://t.co/xpIYcPDya3,2020-03-24 15:54:24,Twitter Web App,1,7,covid; 
You can find a list of government resources to help during this COVID-19 outbreak here: https://t.co/w4Lj0MEcRt,2020-03-23 16:42:00,Twitter Web App,1,6,covid; 
Agencies at the federal state and local levels are working to support individuals families and small businesses through challenges during this coronavirus epidemic. We are all #InThisTogether.,2020-03-23 16:41:59,Twitter Web App,4,15,corona; 
Great news: “The Food and Drug Administration approved the first coronavirus test that can be conducted entirely at the point of care for a patient — and deliver results in 45 minutes.” https://t.co/B7vxJu6ZI8,2020-03-21 17:11:13,Twitter for iPhone,13,44,corona; 
The administration has implemented travel restrictions for foreign nationals to help protect American citizens from coronavirus infection. For more information on the travel restrictions you can visit https://t.co/T5wMplqISw. https://t.co/As1osSGU4k,2020-03-18 17:03:55,Twitter Web App,2,7,corona; 
Glad to see @DeptofDefense stepping up to help in the #CoronavirusResponse:   https://t.co/GTpjvQbLdw,2020-03-17 21:36:37,Twitter Web App,3,16,corona; 
🚨Important Tax Update🚨  Because of the financial strain that this coronavirus has put on many Americans the Treasury Department will permit certain individuals and businesses to defer tax payments without interest or penalties. https://t.co/hfVryecukt,2020-03-17 18:38:24,Twitter Web App,3,12,corona; 
Read the latest from the @gopdoccaucus on this #CoronavirusOutbreak: https://t.co/ok6TCmEKvn,2020-03-17 15:07:05,Twitter Web App,4,6,corona; 
Limiting your contact with large groups of people can help save lives down the line. We all have a part to play in limiting the spread of the #CoronavirusOutbreak. https://t.co/JDGNiYRATl,2020-03-17 13:51:31,Twitter Web App,6,14,corona; 
Together we can stop the spread of this #CoronavirusOutbreak. The administration and @CDCgov  released updated guidance on what we all can do. https://t.co/0V9bnuImo5,2020-03-16 20:45:06,Twitter Web App,7,21,corona; 
Latest update on #COVID19 from @GovMikeDeWine ⬇️ https://t.co/wgDYIj5Pz8,2020-03-16 18:10:25,Twitter Web App,1,3,covid; 
@RepJoshG and I agree that it's important that we come together as a nation to help flatten the curve of the COVID-19 outbreak. This isn’t a partisan issue.,2020-03-16 14:07:21,Twitter Web App,3,18,covid; 
⬇️#COVID19OhioReady https://t.co/GV5zMVMACv,2020-03-16 13:52:41,Twitter Web App,8,23,covid; 
Please join in asking God to provide healing to those infected by this coronavirus and wisdom for all on this #NationalDayOfPrayer https://t.co/AFTsUJpDKZ,2020-03-15 16:28:14,Twitter for iPhone,6,25,corona; 
As we continue addressing this new coronavirus there’s no country I’d rather be in than in the US. We have lots of bright scientists and medical professionals at the CDC and other state and federal agencies who capable of handling this pandemic and it’s critical we stay calm.,2020-03-12 20:34:59,Twitter Web App,1,14,corona; 
