It's been an honor to serve alongside Democratic Whip @ClyburnSC06 in the fight against the coronavirus. He's here virtually to remind us that the best day to vote is today and that this may be the most important election in 150 years. Take it from him - he knows his history. https://t.co/DSmPfoNtbR,2020-10-27 15:43:25,Twitter Media Studio,5,26,corona; 
As cases in Burlington County remain elevated please remember to wear a mask social distance and wash your hands as much as possible. We've made so much progress but we need to stay as diligent as ever.   https://t.co/SDBwNo2kSm,2020-08-07 18:17:12,TweetDeck,8,19,social distance; 
Today I got to walk through Toms River and talk with a few small business owners. I’m inspired by the work they’re doing for our community and how they’re adapting to doing business during coronavirus. Over the next few days I’ll be telling their stories here. https://t.co/FrYHlPu17C,2020-08-05 21:35:53,Twitter for iPhone,15,103,corona; 
We have a long way to go and we've lost far too many lives but this is a testament to the work we're doing here in Jersey. Stay safe wear a mask and social distance. We will get through this. https://t.co/UY0CGmxIdz,2020-07-31 18:34:19,TweetDeck,24,91,social distance; 
I’m proud to stand with @AFSCME in their fight for fairness prosperity and opportunity for all working families. AFSCME members have been on the front lines of our community in the fight against the coronavirus and I’m doing everything I can in Congress to work for them. https://t.co/Xoci3nPYRd,2020-07-29 12:57:58,TweetDeck,3,14,corona; 
I’m honored to receive the endorsement of the @transportworker Union a historic union that has been on the front line in the fight for better pay and safety and equality in the workplace especially during the Coronavirus crisis. https://t.co/vfzmgK4VWm,2020-07-24 12:59:03,TweetDeck,1,15,corona; 
I’ve been working for our seniors every day by fighting to lower prescription drug costs and expand Medicare benefits increase testing and PPE availability during the coronavirus pandemic and ensure access to direct relief payments.,2020-07-14 13:28:26,Twitter Web App,2,8,corona; 
I believe in a transparent government. Citizens have the right to know where our tax dollars have gone. If you are interested in where the Coronavirus PPP loans have gone check out this article:  https://t.co/y8OiCe7aUD,2020-07-10 16:30:00,TweetDeck,7,27,corona; 
“We are living in the era of the coronavirus which is devastating to small business... Congressman Kim’s record when it comes to helping small businesses during this era is outstanding.”  I'm proud to fight every day for our small businesses.   https://t.co/XB3tRRBbhW,2020-06-29 15:41:24,TweetDeck,2,11,corona; 
Tomorrow I’ll be joining this incredibly important and timely conversation on how the coronavirus has exposed and intensified racial inequities in America. We’ll discuss how we got here and where the fight for justice can take us. I hope you’ll tune in. https://t.co/drSfVytBko,2020-06-07 19:58:01,TweetDeck,12,49,corona; 
Coronavirus is a national security crisis. Leading during times like these is about being able to share with people where we’re going what we’re going to be trying to achieve. I’m working to ensure when we reopen we do it safely effectively and permanently. @POLITICOLive https://t.co/R4Nn9mfHEu,2020-05-19 16:10:50,TweetDeck,6,27,corona; 
The coronavirus has threatened our lives in immeasurable ways. Yet in the midst of a pandemic Washington Republicans continue their fight to strike down the Affordable Care Act and pre-existing condition protections. I will fight every day to prevent this from happening. https://t.co/Vxcg13CwdL,2020-05-06 16:52:51,Twitter Web App,14,32,corona; 
In times like these no one should have to fear scammers or false and misleading information. We’ve put together a few ways to avoid COVID-19 scams so that everyone in Burlington Ocean and around the country can stay as safe and healthy as possible during this crisis. https://t.co/JENxAVMzqJ,2020-04-30 13:42:48,TweetDeck,4,15,covid; 
I’m honored to now serve as a member of the bipartisan Select Subcommittee on the Coronavirus Crisis where I can fight to fix our nation’s response to this epidemic and be better prepared for the next one.  https://t.co/QN0k2JYtpp,2020-04-29 18:51:08,TweetDeck,19,85,corona; 
I'm really proud of the work our volunteers have been doing recently checking in on our neighbors in senior communities across Burlington &amp; Ocean Counties. We're making sure they have information &amp; resources about COVID-19 and offering a (virtual) helping hand where we can. https://t.co/6Abn886nNF,2020-04-14 21:09:50,Twitter Web App,2,24,covid; 
I'm proud to stand with @PhilMurphyNJ to fight to bring more federal resources to NJ to battle Coronavirus &amp; make it safe for people to get back to work. These are trying times but we're going to get through this together. See my remarks at minute 29:00. https://t.co/n5HfJ0YA9n,2020-04-09 21:07:55,Twitter Web App,4,26,corona; 
Today at 1:00pm I'll be joining @GovMurphy for his daily press briefing on COVID-19. Over the last couple months I've talked with people all over Burlington and Ocean Counties and your stories and your needs are what I'll be carrying with me today. https://t.co/Facuhlh6ky,2020-04-09 13:04:56,Twitter Web App,16,118,covid; 
I'm proud of the people communities and businesses that have been able to step up and switch gears to work together and provide much needed resources to #NJ. Together we will make it through. #COVID19 https://t.co/fg63XRDK4u https://t.co/eVqsiXoxnr,2020-04-01 14:36:57,Twitter for iPhone,2,20,covid; 
On this #nationaldoctorsday we are grateful more than ever for the physicians nurses and healthcare professionals who are working tirelessly on the frontline to help fight #COVID19. We are with you we support you and we thank you from the bottom of our hearts.,2020-03-30 18:38:31,Twitter for iPhone,6,27,covid; 
$2T emergency relief passed in the Coronavirus Aid Relief and Economic Security (CARES) Act. Including a State &amp; Local Relief Fund Expanded Unemployment Benefits Small Business Relief &amp; $200B for Our Hospitals Health Care Workers &amp; Health Research.✅ https://t.co/GE6N2gJepK,2020-03-27 21:03:32,Twitter for iPhone,6,18,corona; 
As a nation this is a time where we must take care of one another. The American Red Cross is reporting a severe blood shortage due to coronavirus-related blood drive cancelations. Please share your good health! https://t.co/gGGRit2mfr,2020-03-24 16:13:19,Twitter Web App,2,12,corona; 
Small businesses have been hit hard by mandatory closures and safety measures required to slow the spread of the coronavirus (COVID-19).   But businesses have a growing number of resources and relief programs to turn to at the federal and state level.  https://t.co/4daGtV0iB7,2020-03-23 18:23:45,Twitter for iPhone,2,6,covid; corona; 
To receive the latest updates about COVID-19 the CDC's website is a helpful resource.    If you have general questions about COVID-19 or need resources the state of New Jersey is requesting that people dial 211.,2020-03-20 15:41:37,Twitter Web App,0,1,covid; 
Last Saturday I worked with my colleagues in Congress to find an agreement on the Families First Coronavirus Response Act to support these goals. We are working on emergency legislation right now to help provide you and your family with relief.,2020-03-20 15:41:36,Twitter Web App,3,14,corona; 
Today we announced that we will postpone our 2020 campaign kickoff rally scheduled for this Saturday in response to the current State of Emergency declared by the New Jersey government caused by the Coronavirus outbreak.,2020-03-10 17:56:24,Twitter Web App,3,57,corona; 
