This week’s #COVID19 pop-up test sites ⬇️ https://t.co/V7iLg8q560,2020-11-23 20:16:29,Twitter for iPhone,5,13,covid; 
#COVID19 doesn’t stop just because it is a holiday weekend. Please stay healthy by wearing a mask and social distancing this Fourth of July! https://t.co/CxIndoysbO,2020-07-02 15:35:03,Twitter Web App,10,17,covid; 
Today the House of Representatives voted to extend the Paycheck Protection Program until August 8. As #COVID19 cases continue to rise small businesses need this funding now more than ever to keep their businesses running.,2020-07-01 23:12:30,Twitter for iPhone,4,18,covid; 
Tune in at 1:00 PM to join a virtual discussion w/ @AspenFutureWork &amp; @AspenFSP on the economy and the labor workforce – and what responses look like in a post-#COVID19 world. I’m thankful to be included in such an important conversation.  Join here: https://t.co/w3Zm6849H1,2020-07-01 16:29:06,Twitter Web App,4,11,covid; 
As we start to rebuild our economy we must be intentional about how we rebuild. #COVID19 has shown the inextricable link between our health our environment and our economy. That is why we must build back a stronger cleaner healthier and safer economy.https://t.co/F2x1LpJz6x,2020-06-24 19:47:24,Twitter Web App,10,30,covid; 
As our country reckons with the twin pandemics of the coronavirus and civil rights injustice social media companies have failed to prevent white nationalists scammers and other opportunists from using their platforms to exacerbate these crises. https://t.co/vPcQOmT1Ny,2020-06-24 16:41:30,Twitter Web App,5,16,corona; 
Enhancing Medicaid coverage of tobacco cessation services will give Medicaid beneficiaries the best chance to quit successfully potentially help them avoid the most serious consequences of #COVID19 and reduce health costs associated with smoking.,2020-06-22 17:10:14,Twitter Web App,0,3,covid; 
Looking to quit smoking? Now is as good a time as ever. #COVID19 is an acute respiratory virus that attacks the lungs. That's why today I introduced the Quit Because of #COVID19 Act. https://t.co/5gki5F7aeh,2020-06-22 17:10:14,Twitter Web App,9,20,covid; 
As @EnergyCommerce held a hearing on the disproportionate impacts of #COVID19 on #EJ communities Geroge Floyd was being laid to rest and was heavy on my heart.  It's time for all of us - myself included - to hold up a mirror reflect and ask what can we do differently? https://t.co/drNXJmJC1l,2020-06-10 00:05:27,Twitter Media Studio,6,25,covid; 
If we do not take action we could soon face prescription drug shortages on top of the #COVID19 pandemic.    The #HeroesAct includes provisions from my bill requiring drug manufacturers to create a risk mitigation plan. https://t.co/XA3UuvbfOY,2020-05-28 20:07:50,Twitter Web App,1,6,covid; 
100000 Americans have now been lost to #COVID19. Let us all remember that these are not just numbers – not just statistics.   These were 100000 mothers fathers sisters brothers and friends. They left behind families and loved ones. We must never forget them. https://t.co/6yt08PaLKz,2020-05-28 00:07:23,Twitter Web App,2,13,covid; 
During a pandemic families should not have to worry about whether or not they will have running water.   The #HeroesAct would put an end to water shutoffs nationally during the #COVID19 pandemic. https://t.co/yhhtNb32kB,2020-05-22 13:28:17,Twitter Web App,4,12,covid; 
At the beginning of the #COVID19 crisis I called on Delaware utility companies to commit to not turning off lights or water during the public health crisis. https://t.co/WOiCgKwdHe,2020-05-22 13:28:17,Twitter Web App,1,10,covid; 
#COVID19 is shining a light on the disproportionate and cumulative impacts pollution has on low income and communities of color.,2020-05-21 15:55:03,Twitter Web App,22,46,covid; 
This morning I had the opportunity to speak with Dr. Anthony Fauci on a call hosted by the @NewDemCoalition. I'm grateful for his expertise &amp; guidance as we discussed health disparities and the role that they have played during the #COVID19 crisis.,2020-05-20 18:07:41,Twitter Web App,3,34,covid; 
Cost should never be a barrier to #COVID19 treatment.  The #HeroesAct includes my bill to ensure patients have no out-of-pocket costs for any #COVID19 treatment they receive. https://t.co/tWgG80CfDp,2020-05-19 16:47:50,Twitter Web App,2,14,covid; 
Today’s a big day. The House is back in session to vote on the #HeroesAct - a bold and necessary step in our fight against #COVID19. From testing to tracing to treatment - this package takes the bold action we need now. #ForThePeople https://t.co/oj6rfQsBR8,2020-05-15 13:25:52,Twitter for iPhone,29,146,covid; 
I'm back in Washington to hear from Dr. Bright this morning. I'll be asking him about what we need to do to develop a national strategy around testing and contact tracing.   We can and we must follow the science. #COVID19 https://t.co/KkRZaqVbHB,2020-05-14 12:17:26,Twitter Web App,13,65,covid; 
It is important especially in the midst of the #COVID19 pandemic that we remember to prioritize our physical and mental health during this #WomensHealthWeek. For more resources and to #FindYourHealth go to https://t.co/C4cGRyp0Ff. #NWHW,2020-05-13 19:08:38,Twitter Web App,3,11,covid; 
*Attention Delawareans* For standing COVID-19 testing sites please visit https://t.co/SbcVMframY. Below is a list of the community-based testing sites that will be available in the coming days. Testing orders are NOT required to be tested at these sites. Thread (1/9),2020-05-01 18:53:28,Twitter Web App,3,9,covid; 
May is #MentalHealthMonth. Mental health is more important than ever as we face #COVID19. I encourage anyone struggling to reach out for help and know there is support available. https://t.co/nTqwoPvix8.,2020-05-01 16:12:16,Twitter Web App,2,3,covid; 
The bill would require private insurers to cover all #COVID19 treatment cost with no cost-sharing for patients. You can learn more about the bill here ⬇️https://t.co/me3HvCQ4Dp,2020-04-23 19:12:08,Twitter for iPhone,0,3,covid; 
As I’m heading over to vote I wanted to tell you about a bill I introduced this week with @RepLoriTrahan &amp; @BillPascrell called the #COVID19 Treatment Act of 2020. https://t.co/VglThIMZgd,2020-04-23 19:12:08,Twitter for iPhone,8,29,covid; 
Back in Washington and getting ready to vote on another #COVID19 relief package to get much-needed funding to our hospitals frontline health care workers and small businesses. https://t.co/Th2NWfpYuX,2020-04-23 18:40:51,Twitter for iPhone,5,32,covid; 
#COVID19 keeps me home but nothing keeps me from virtually walking for autism! #VirtualWalkForAutism https://t.co/13bu4o46gA,2020-04-22 21:53:42,Twitter for iPhone,5,49,covid; 
🚨 Attention to any Delawareans who are feeling #COVID19 symptoms 🚨 https://t.co/d1xiCeuNhx,2020-04-21 15:22:31,Twitter Web App,5,7,covid; 
On those feeling sad or scared during the #COVID crisis - "We need to take care of ourselves and each other. Reach out to one another and connect. We will make it through this and we'll make it through it together.",2020-04-21 13:27:44,Twitter Web App,0,3,covid; 
On #COVID negotiations and #PPP program - "This isn't just about the money it's about ensuring that our local barbershop our smallest businesses who are underbanked or don't have traditional banking relationships get the help that they need.",2020-04-21 13:24:46,Twitter Web App,2,3,covid; 
As we see women as the majority of essential workers on the #COVID19 front lines we must recognize their work and ensure they are getting #EqualPay. https://t.co/LYXsueXl36,2020-04-20 17:06:04,Twitter Web App,4,16,covid; 
This latest decision from the EPA is reckless especially when a study released last week linked this pollutant to COVID-19 death rates.   https://t.co/5wKMNw3jJC,2020-04-16 14:23:33,Twitter Web App,5,8,covid; 
Medicare beneficiaries are some of the most vulnerable for contracting #COVID19. That’s why I'm leading a letter with @RepFletcher to ask HHS to expand access to telehealth services provided by therapy professionals so Medicare patients can access crucial services in their home.,2020-04-14 22:01:24,Twitter for iPhone,18,56,covid; 
That’s why I am cosponsoring a bill to help combat scammers during the #COVID19 pandemic. The Combating Pandemic Scams Act will require the @FTC and other federal agencies to keep the public informed about scams.,2020-04-09 22:16:14,Twitter for iPhone,1,5,covid; 
The COVID-19 crisis is shining a light on the disproportionate impact air pollution has on environmental justice communities. Every person deserves clean air and I will continue to fight for safe and healthy communities. https://t.co/R1BJ9yDIHs,2020-04-08 18:27:50,Twitter Web App,7,18,covid; 
Looking for resources on the #coronavirus?   Head over to https://t.co/at7IF8uR8n for info on what you can do to help flatten the curve what resources are available to you if you have a small business and what action Congress has been taking.,2020-04-06 15:56:57,Twitter Web App,3,5,corona; 
*Attention Delaware*   Unfortunately scammers are taking advantage of the anxiety consumers are feeling during the #COVID19 pandemic. During a State of Emergency in Delaware price gouging is illegal.,2020-04-01 20:42:17,Twitter Web App,6,10,covid; 
Health care workers are risking their lives to care for #COVID19 patients. Giving them hazard pay for the courage they are showing is the least we can do to show our gratitude. https://t.co/aq2zEM4131.,2020-03-31 19:27:10,Twitter Web App,5,13,covid; 
Health care professionals have been on the front lines fighting the #coronavirus for us. Now it's time for us to show them our love and appreciation.  Record a short video to say Thank You to a #DEHealthHero https://t.co/HQaIX7hFLK,2020-03-31 13:55:58,Twitter Web App,6,17,corona; 
As hospital and health care systems are overwhelmed the CDC and Apple have teamed up to create a new #COVID19 screening website. Visit the website https://t.co/XGVA0yqsCW if you or a loved one are concerned you have #COVID19 symptoms.,2020-03-30 18:10:10,Twitter Web App,2,5,covid; 
We can’t leave our front line workers fighting #COVID19 without the supplies they need to save American lives. The Medical Supply Chain Emergency Act will force the President to federalize American manufacturing &amp; end the supply shortage. We need the #DefenseProductionActNOW. https://t.co/lCzGc5L8jc,2020-03-27 18:55:58,Twitter Web App,5,22,covid; 
We’ve officially passed the #CARESAct. Our work is far from over in our battle against the #coronavirus but this was a crucial step in getting assistance to workers families small businesses - and most urgently - our frontline health care workers. https://t.co/le9uf5kPOW,2020-03-27 17:50:11,Twitter Web App,4,60,corona; 
Getting ready to vote on our 3rd #coronavirus relief package.   Be smart. Stay safe. Stay well. https://t.co/BGTGpVvtaJ,2020-03-27 15:56:36,Twitter Web App,1,33,corona; 
We've heard from lots of constituents with lots of different questions about the virus itself the Congressional response and what they can do to help flatten the curve and stop the spread. That's why today I'm sharing with you our new coronavirus resources page on our website,2020-03-27 13:37:06,Twitter Web App,0,7,corona; 
As we're getting ready to vote to pass the third #coronavirus relief package here in Congress I wanted to share with you something my team and I have been working on recently.,2020-03-27 13:37:06,Twitter Web App,1,13,corona; 
Very sad to hear the news that a Delawarean has died from #COVID19. I'm praying for his family and friends. I'm also thinking of all those on the front lines providing heroic care during this incredibly challenging time. https://t.co/ZO0TGqwVSw,2020-03-26 18:15:04,Twitter Web App,1,13,covid; 
It's the least we can do for those who are taking care of us on the front lines of the fight against #COVID19 https://t.co/7Qidhv2QVS,2020-03-26 01:16:32,Twitter Web App,3,18,covid; 
As we continue to negotiate a legislative response to the #COVID19 outbreak it crucial that we keep our frontline health care workers at the forefront of everything we do. That’s why today I led a letter to House Leadership asking them to do just that. https://t.co/k4amvTk19l,2020-03-25 20:02:11,Twitter Web App,1,4,covid; 
As we fight the #coronavirus pandemic we’re reminded of just how important access to affordable coverage is. That’s why I’m working every day in Congress to expand access and lower the cost of health care.,2020-03-23 19:56:04,Twitter Web App,1,10,corona; 
❗️Tax Day Moved ❗️  In response to the #COVID19 outbreak #TaxDay has been moved from April 15 to July 15. All taxpayers and businesses will have this additional time to file and make payments without interest or penalties on federal taxes. https://t.co/ipyQpO5V49,2020-03-20 16:32:02,Twitter Web App,1,6,covid; 
During this difficult time I just wanted to take a moment to recognize all of the health care workers and first responders on the front lines helping us fight #COVID19. Thank you all for working tirelessly to keep all of us safe and healthy. https://t.co/UAmxiChYd4,2020-03-19 17:03:47,Twitter for iPhone,5,37,covid; 
I know that there’s been some confusion about what government services are available during the COVID-19 outbreak.  https://t.co/LbcjQltHIQ,2020-03-19 16:33:50,Twitter Web App,2,3,covid; 
I’ll continue to keep provide regular updates on the COVID-19 response but for the most up-to-date information as always: Visit https://t.co/Ghbg5sLYYj,2020-03-18 22:17:40,Twitter Web App,1,2,covid; 
I wanted to give you all some additional updates on the response to #COVID19,2020-03-18 22:17:39,Twitter Web App,2,13,covid; 
Go to https://t.co/N9BmYMyiiI to register or just call in to 855-962-0991 at the time of the event. Dr. Rattay and I will be taking your questions to ensure that Delawareans are as informed as possible about #COVID19.,2020-03-17 19:55:17,Twitter Web App,0,3,covid; 
My team and I are closely monitoring the coronavirus. Please join me and Dr. Karyl Rattay Director of the Delaware Division of Public Health for a telephone town hall tonight at 7 PM. https://t.co/8nY2nt8Sn5,2020-03-17 19:55:16,Twitter Web App,3,6,corona; 
In what I know is a concerning time for many Delawareans I wanted to ensure that my constituents have as much information as possible on the #COVID-19 outbreak.,2020-03-15 22:35:58,Twitter Web App,6,15,covid; 
I wanted to provide you all with an update on the #coronavirus from Washington this evening ⤵️ https://t.co/KTILE2Z9PW,2020-03-13 00:54:27,Twitter Media Studio,9,46,corona; 
Persons with questions about coronavirus disease are encouraged to call the DPH coronavirus information line at 1-866-408-1899 TTY 1-800-232-5460 or email DPHCall@delaware.gov,2020-03-11 21:36:29,Twitter Web App,2,2,corona; 
A #coronavirus update from Washington. https://t.co/aIHCKa4ZsP,2020-03-05 18:49:11,Twitter Media Studio,5,13,corona; 
And if you're a Delawarean with a question or concern the @Delaware_DHSS #coronavirus hotline is now operational.   You can call 1-866-408-1899 or send an email to  DPHCall@delaware.gov   https://t.co/GtAaZRnAll,2020-03-04 22:08:03,Twitter Web App,4,6,corona; 
I just voted on the House floor to pass a #coronavirus spending package to ensure that our public health officials have the resources they need to combat the virus.   Here's a reminder of what you can do to stop the spread of germs. https://t.co/jV9lo783Cg,2020-03-04 21:54:14,Twitter Web App,11,40,corona; 
#ICYMI here is the latest from @Delaware_DHSS on the #coronavirus. https://t.co/NXUZmQdBsc,2020-03-02 22:41:47,Twitter Web App,1,5,corona; 
As the United States government continues to monitor the #Coronavirus I wanted to share with you the latest information we've received from the CDC   *thread*,2020-02-28 21:17:41,Twitter Web App,5,14,corona; 
With all of the recent developments I wanted to give you another update on the #coronavirus from D.C. At this point the World Health Organization and the Department of Health and Human Services have declared the #coronavirus a public health emergency. https://t.co/roqfJQwJIV,2020-02-06 22:37:35,Twitter Web App,3,17,corona; 
❍ So far there are only 5 confirmed cases of #coronavirus in the U.S.  ❍ Meanwhile there have been over 8500 influenza-related deaths this flu season.  ❍ Which means if you haven't gotten your flu shot yet - now's the time to do it!,2020-01-30 00:26:03,Twitter Web App,0,6,corona; 
With how much it's been in the news lately I wanted to provide everyone with an update from Washington on the #Coronavirus. https://t.co/ScdJa6i9qT,2020-01-30 00:26:02,Twitter Web App,4,23,corona; 
