@BadCOVID19Takes https://t.co/OGcc7R8CG5,2020-11-23 17:00:25,Twitter for Android,0,3,covid; 
This year #COVID19 forces Washingtonians &amp; Americans to celebrate #EarthDay in different ways than the past. This yr offers an opportunity to reflect on the environmental movement of the past 5⃣0⃣ years while looking forward to the next 5⃣0⃣ years. 🔊⬆️ https://t.co/k6qgN6Ut44,2020-04-22 23:59:58,Twitter Web App,1,3,covid; 
#COVIDー19 is my priority and spent time today looking ahead: worked on  #defense bill @HASCDemocrats; 2021 appropriations requests for legal aid @LSCtweets; update on 737MAX investigation; and FAA certification legislation @TransportDems @FAANews,2020-04-22 20:08:08,Twitter for Android,1,3,covid; 
.@WACounties thanks for selecting the NW corner of the state for your first listening session. Hardworking County-elected officials at home responding to #COVID 19 and do the work they always do. https://t.co/7ZnFkKPRqA,2020-04-22 19:29:14,Twitter Web App,2,3,covid; 
In #WA02 &amp; across the country essential employees including transportation &amp; emergency management workers are stepping up &amp; doing their part to help slow the spread of #COVID19.   Thank you #ToThoseWhoKeepUsMoving! https://t.co/lt5MdOE6dA,2020-04-21 17:52:17,Twitter Web App,6,19,covid; 
A reminder to Washingtonians applying for #COVID19 unemployment assistance: @ESDwaWorks's website is live to accept applications.  If you are having difficulty applying or filing weekly claims please visit https://t.co/WvF0lqGphM. https://t.co/s1eJuMxXPD,2020-04-20 22:02:33,Twitter Web App,2,4,covid; 
🎨Students in #WA02 🎨               You are invited to digitally submit art - paintings poems music etc.- highlighting your experience during the #COVID19 outbreak. Art may be shared on my website or SM pages. For more info ➡️ https://t.co/Gh0YGoJFwF https://t.co/qyuePF2SJd,2020-04-20 18:24:21,Twitter for iPhone,2,2,covid; 
This week’s #RecapWithRick is live from my home “studio” in #Everett 🎥🔊⬇️  ✅ #COVID19 Economic Impact Payments update (https://t.co/tJlqAEcNPF)  ✅ Expanded unemployment assistance application (https://t.co/Qa2CUOWiV6)  ✅ #WA02 #2020Census update  ⬇️ https://t.co/ygrkIysQro,2020-04-18 17:28:14,Twitter for iPhone,4,9,covid; 
As school districts transition to online learning due to #COVID19 some students in #WA02 &amp; across WA face a lack of reliable internet access presenting a real barrier to learning.   Today I urged House leadership to help close the digital divide here in WA. #WorkingforWA2 https://t.co/LL7dfrcH46,2020-04-17 20:52:20,Twitter Web App,4,18,covid; 
Chinese government increases COVID-19 death estimates by 50 percent. 5-0 percent! But only Wuhan. Nowhere else? https://t.co/IVVbDQyczw,2020-04-17 20:35:20,Twitter for Android,2,5,covid; 
🎨 Calling all students in #WA02 🎨 You are invited to digitally submit artwork highlighting your experience during the #COVID19 outbreak. Pieces may be of any medium and may be shared on my website or social media pages.   For more info ➡️ https://t.co/Gh0YGoJFwF https://t.co/3CKRmjC9AD,2020-04-17 18:43:00,Twitter for iPhone,2,6,covid; 
It is encouraging that Boeing announced it will restart limited production operations in the Puget Sound region while taking precautions to keep its workforce safe &amp; healthy.   The well-being of Washingtonians is my top priority during the ongoing #COVID19 pandemic. https://t.co/qr6O17rIhr,2020-04-17 17:08:52,Twitter Web App,2,2,covid; 
Step 2️⃣ Check Your Eligibility for #COVID19 Unemployment Assistance ⬇️ https://t.co/8vRvEvEI31,2020-04-17 16:35:44,Twitter Web App,1,1,covid; 
Washingtonians: Be prepared to file for expanded #COVID19 unemployment assistance when the application goes live tomorrow Saturday April 18 at 8:00 p.m. PT ⬇️⬇️⬇️  Step 1️⃣ Sign Up for @ESDwaWorks #COVID19 Action Alerts ⬇️https://t.co/81Wp8y3Aks,2020-04-17 16:35:44,Twitter Web App,8,8,covid; 
Most ❓❓❓ about #COVID19 Economic Impact Payments may be answered at @IRSnews ⬇️ https://t.co/uAdvOArjck,2020-04-17 01:16:09,Twitter Web App,0,0,covid; 
Have you received your #COVID19 Economic Impact Payment yet?  If yes great! If not please check @IRSnews “Get My Payment” site at https://t.co/72t0uKprCF for payment status or to update your bank account info. https://t.co/RdcAejqOpX,2020-04-17 01:16:08,Twitter Web App,1,2,covid; 
1/4 The House @WaysMeansCmte has answers for #WA02 constituents asking if the #COVID19 Economic Impact Payments are an “advance” on your tax refund or whether payments are subject to tax ⬇️⬇️⬇️,2020-04-16 23:35:57,Twitter Web App,3,3,covid; 
Fascinating article about how Chinese government began censoring COVID-19 impacts as soon as December 30.  Censored Contagion: How Information on the Coronavirus is Managed on Chinese Social Media - The Citizen Lab https://t.co/yHQ831Pq3u,2020-04-16 18:03:12,Twitter for iPad,665,671,covid; corona; 
Are you prepared to apply for expanded #COVID19 unemployment benefits starting this Saturday April 18?   Check out the video below and visit @ESDwaWorks's website at https://t.co/GtimqRfohh for the most up-to-date info you will need to apply ⬇️⬇️⬇️ https://t.co/ksFAZID7dh,2020-04-15 22:18:38,Twitter Web App,1,6,covid; 
@WhidbeyNews @EverettHerald on phone with @HASCDemocrats @HASCRepublicans for update re @USNavy #COVID19 mitigation steps fleetwide. FYI as of 4/13 92% of USS Roosevelt tested w/585 positives; 3921 tested negative; 4021 sailors moved ashore.,2020-04-15 17:42:40,Twitter for Android,0,0,covid; 
Although libraries are closed in #WA02 to help slow #COVID19 local libraries have made resources available online. Check out what is available at your local e-library📚⬇️  @apl_library @BPLConnects @libraryhub @eplsdotorg @orcaslibrary @SJILibrary @snoislelibrary @wclslibraries https://t.co/hH5IN5X3kD,2020-04-15 03:48:53,Twitter for iPhone,6,14,covid; 
Aviation means jobs in Washington state especially here in NW WA. This emergency #CARESAct grant funding will help ensure airports across #WA02 &amp; the state can continue to maintain operations &amp; support the aviation workforce during the #COVID19 pandemic. https://t.co/D16On1i9Q2,2020-04-15 01:24:38,Twitter Web App,5,7,covid; 
The #CARESAct expanded unemployment benefits for self-employed workers independent contractors gig economy workers &amp; individuals unable to start a new job or contract due to #COVID19.   Here’s what @ESDwaWorks says you need to do to apply for benefits starting 4/18 ⬇️⬇️⬇️ https://t.co/peg7N17xhi,2020-04-14 19:54:38,Twitter for iPhone,4,8,covid; 
You may notice my website looks different starting w/the pic of an orca swimming near the San Juan Islands w/Mount Baker in the background.   Check out the new https://t.co/06rHIHbgcH for #COVID19 resource guides contact info issue pages &amp; links to social media. #WorkingforWA2,2020-04-14 01:38:18,Twitter for iPhone,1,11,covid; 
#Arlington’s @BadDogDistiller typically distills spirits using grains from Washington state. Today I visited Bad Dog to see how the #WA02 small business has temporarily shifted operations to produce hand sanitizer to help slow the spread of COVID-19. https://t.co/nZLQqVXAMC,2020-04-13 22:10:45,Twitter for iPhone,3,20,covid; 
Self-employed workers independent contractors gig economy workers &amp; individuals unable to start a new job/contract due to #COVID19 are eligible for unemployment benefits under the #CARESAct.  @ESDwaWorks will begin accepting apps from these workers on 4/18. Prepare to apply ⬇️ https://t.co/ezQPcqOi9s,2020-04-13 20:40:16,Twitter Web App,5,7,covid; 
Washington state’s medical professionals first responders grocery workers and educators are leading the fight against #COVID19.  Thank you to Washingtonians in #WA02 and across the state serving on the front lines to keep residents healthy and safe. https://t.co/7HOQlD2EPz,2020-04-11 00:32:05,Twitter Web App,3,15,covid; 
With school buildings closed to help slow the spread of #COVID19 I'm working to ensure students have access to nutritious meals.  I joined @EPS_cafe @EverettSchools to help distribute 🥪🍎 at Silver Lake Elementary. Check out @Q13FOX's feature on this vital community resource ⬇️ https://t.co/0xEqHjjsUM,2020-04-10 22:49:44,Twitter Web App,2,4,covid; 
WA state hospitals shld be receiving nearly $554m by end of day to help offset #COVID19 costs. Part of $30b of first $100b from #CARES Act @WAHospitals. More to come,2020-04-10 18:20:13,Twitter for Android,4,20,covid; 
I want to hear how #COVID19 is affecting you and your experience accessing assistance.   Comment below or send me a message at https://t.co/OqoRqkF4Ay.,2020-04-09 22:21:48,Twitter for iPhone,0,1,covid; 
Check out my op-ed on the #COVID19 outbreak &amp; resources available to Washingtonians via the #CARESAct ⬇️ #WorkingforWA2 https://t.co/SMNLNz93AW,2020-04-09 22:21:47,Twitter for iPhone,2,5,covid; 
Just finished call with @DARPA as part of @HASCDemocrats @HASCRepublicans subcommittee to hear of its fascinating and important work supporting research in testing diagnosing and developing antibody tests for #COVID19. Considering ways to further support.,2020-04-09 18:10:49,Twitter for Android,4,8,covid; 
Although #WAStateParks are closed until May 4th the 1487 foot Deception Pass Bridge is a beautiful #WA02 example of how to practice social distancing to help slow the spread of #COVID19. #WeGotThisWA https://t.co/ZSAC90d0H6,2020-04-09 02:33:02,Twitter for iPhone,3,14,covid; 
Did you miss last night’s #COVID19 telephone town hall with @ESDCommish Suzi LeVine and @wsbdc Director Duane Fladland? Listen to an audio recap ⬇️ https://t.co/lObsNBtI61,2020-04-09 01:03:52,Twitter for iPhone,2,2,covid; 
Thank you to all who joined tonight’s telephone townhall on #COVID19 with guests @ESDCommish Suzi LeVine &amp; @wsbdc State Director Duane Fladland.   If you have further questions reach out to my office or see our Resource Guides below:  ☎️ 425-252-3188 💻 https://t.co/LjPxWDVBat https://t.co/IgPXckG0JR,2020-04-08 03:25:55,Twitter Web App,3,7,covid; 
I am talking to #WA02 constituents about #COVID19. Join now to ask your question or visit my website to see our Resource Guides for individuals &amp; small businesses:  ☎️ 855-962-0954 💻 https://t.co/Bc0xCs1UbL  #WorkingforWA2 #LarsenTownHall https://t.co/F8pJuoztBn,2020-04-08 01:40:24,Twitter Web App,1,4,covid; 
LIVE: Dial in now to ask your question as I speak with #WA02 constituents about #COVID19 ⬇️   #WorkingforWA2 #LarsenTownHall https://t.co/NkrMWID6RD,2020-04-08 00:59:29,Twitter Web App,4,6,covid; 
Join me tonight at 6:00 p.m. PT for my 2nd #LarsenTownHall conversation on #COVID19. @ESDCommish LeVine &amp; @wsbdc State Director Fladland will join to help answer your questions. Dial the number below or stream online:   ☎️ 855-962-0954 💻 https://t.co/Bc0xCs1UbL   #WorkingforWA2 https://t.co/7JbB9rgcRs,2020-04-07 19:26:16,Twitter Web App,1,3,covid; 
Big fan of #TigerKing? Or just love big cats? Practice social distancing and keep at least (at least!) a 🐅’s length between yourself and others to help slow the spread of #COVID19 here in #WA02. #WeGotThisWA https://t.co/7uEb0IyyD0,2020-04-07 01:53:00,Twitter for iPhone,2,13,covid; 
Today I joined Cedarhome Elementary staff &amp; volunteers to distribute meals to students &amp; children in #Stanwood &amp; hear from families &amp; guardians how #COVID19 is affecting them.  #WorkingforWA2 https://t.co/XDGnwfjJ86,2020-04-07 01:48:10,Twitter for iPhone,3,25,covid; 
I am hosting a live #COVID19 telephone town hall tomorrow Tuesday April 7 at 6:00 p.m. PT with @ESDCommish Suzi LeVine &amp; Duane Fladland @wsbdc State Director.  Sign up at https://t.co/a5qbfQ0vGI or dial in to 855.962.0954. #LarsenTownHall https://t.co/nVPWaCzcBS,2020-04-06 21:58:50,Twitter Web App,8,13,covid; 
Washingtonians in #WA02 and across the state are taking s o c i a l  d i s t a n c i n g seriously to help slow the spread of #COVID19.  As a proud graduate of Pacific Lutheran University I know to maintain a few Lancelutes between myself and others. #GoLutes @PLUNEWS https://t.co/uD4MhC5c6z,2020-04-06 01:40:49,Twitter for iPhone,10,50,covid; 
...or maintain at least a 1️⃣ to 2️⃣ Cougar distance to help slow the spread of #COVID19 ⬇️ #GoCougs #WeGotThisWA https://t.co/oA4buqRAbi,2020-04-04 23:13:33,Twitter for iPhone,5,14,covid; 
Washingtonians in #WA02 and across the state are taking s o c i a l  d i s t a n c i n g seriously to help slow the spread of #COVID19.   In case you need a reminder maintain at least a 2️⃣ Husky distance between yourself and others... ⬇️ #GoHuskies #WeGotThisWA https://t.co/gFCiFLTWp6,2020-04-04 23:13:31,Twitter for iPhone,8,20,covid; 
#WA02 residents are taking s o c i a l  d i s t a n c i n g seriously to help slow the spread of #COVID19.   In case you need a reminder here are a few good examples ⬇️ https://t.co/oyw2td7SPD,2020-04-04 01:01:54,Twitter Web App,5,32,covid; 
In case you missed it: If you receive Social Security benefits you DO NOT have to file a separate form to receive a #COVID19 stimulus check.   For more information visit https://t.co/0SlvWW3mJB. https://t.co/PqJrSueocA,2020-04-03 18:34:53,Twitter Web App,2,3,covid; 
The State of Washington Department of Financial Institutions has made resources available to homeowners worried about their mortgage payments during the #COVID19 outbreak.  Visit https://t.co/TlQwkeAcFY or call 1-877-RING-DFI (746-4334) for support assistance &amp; additional info. https://t.co/mvxzNfIM6k,2020-04-02 16:37:27,Twitter Web App,9,6,covid; 
Good news: Social Security beneficiaries who do not file income tax will no longer need to fill out a separate form to receive #COVID19 stimulus checks. https://t.co/mOS80vSpzx,2020-04-02 03:26:03,Twitter for iPhone,4,7,covid; 
Washingtonians are spending more time at home to slow the spread of #COVID19. Use this time to help the community get the critical resources needed by completing the #2020Census ⬇️  💻 Online at https://t.co/E6Q4ASbi8E 📞 By phone at 1-844-330-2020 📬 By mail   #CensusDay https://t.co/t1TpTowWvz,2020-04-01 20:19:50,Twitter Web App,6,6,covid; 
Looking to take your mind off of #COVID19 and learn something new? @NASA put together a great website with educational resources for all ages to “bring the universe into your home.   Check out NASA’s #NASAatHome website 🚀⬇️ #BeAnAstronaut https://t.co/LlTYbPhFas,2020-04-01 02:03:35,Twitter for iPhone,4,15,covid; 
Doctors are doing lifesaving work on the frontlines of the #COVID19 response treating patients offering accurate info &amp; conducting critical research to fight the virus. TY to all docs &amp; health care professionals working to keep Washingtonians healthy &amp; safe! #NationalDoctorsDay https://t.co/Z6soquCZ1x,2020-03-30 23:45:26,Twitter for iPhone,2,3,covid; 
Companies in Snohomish County &amp; across Washington state are shifting course &amp; pitching in by manufacturing masks &amp; hand sanitizer. Read more about local #WA02 businesses’ critical efforts to keep Washingtonians healthy &amp; safe from #COVID19 🔗⬇️ https://t.co/i2BLFuwhpN,2020-03-30 22:16:12,Twitter Web App,6,16,covid; 
Visited the new @USArmy @fema field hospital at @CenturyLink_Fld with @RepJayapal &amp; state &amp; local leaders this morning. The hospital will have ~150 beds for people needing medical attention who do not have #COVID19 freeing up other space for #COVID19 patients. @FEMARegion10 https://t.co/D05y8QtHpt,2020-03-30 21:35:51,Twitter for iPhone,3,11,covid; 
Barring being called back to deal with time critical COVID-19 legislation the House of Reps will not return to DC until April 20 at the earliest according to a notice sent to all House members. All staff working however on implementation of relief bill. Let us know your q's,2020-03-30 18:39:51,Twitter for Android,4,11,covid; 
ICYMI ➡️ I supported the bipartisan #CARESAct to deliver relief for WA’s workers families &amp; small businesses. I will continue to listen to the people of #WA02 &amp; work w/the WA delegation to fight for critical #COVID19 aid.  #ForThePeople #CARESActStatement https://t.co/AChxl6Qjq3,2020-03-27 20:52:14,Twitter Web App,6,11,covid; 
The House just voted for the #CARESAct to help deliver critical #COVID19 relief for Washington state's workers families &amp; small businesses. 🔊⬇️  #ForThePeople #CARESActStatement https://t.co/MLQd4uQJmW,2020-03-27 17:57:08,Twitter Web App,7,23,covid; 
I’m in Washington D.C. today to ensure passage of the #COVID19 economic aid package to deliver relief for Washington state’s workers families &amp; small businesses.   Check out my 2️⃣ minute lesson on parliamentary procedure for today’s vote 🔊⬇️ #ForThePeople https://t.co/cZctsDOysb,2020-03-27 13:39:39,Twitter for iPhone,11,44,covid; 
I am focused on ensuring workers &amp; small businesses get the critical relief needed in the House #COVID19 package including expanded unemployment aid for all laid-off &amp; furloughed workers &amp; loan forgiveness grants for small businesses to help retain their workforce.,2020-03-26 23:10:33,Twitter Web App,2,8,covid; 
#COVID19 has had a devastating impact on workers &amp; businesses across WA. Today @ESDwaWorks reported 133K+ Washingtonians filed for unemployment benefits last week.   Claims:  Health care &amp; social assistance workers ⬆️2100+%  Retail ⬆️1200%  Accommodation &amp; food services ⬆️1000% https://t.co/0OY6EvmMDr,2020-03-26 23:10:32,Twitter Web App,3,4,covid; 
I continue to stay in touch with #WA02 leaders while practicing recommended social distancing. Yesterday afternoon I met with @lynnwood Mayor Nicola Smith and her team to discuss the city’s #COVID19 response.  #WorkingforWA2 https://t.co/Djvti19lXE,2020-03-25 18:24:30,Twitter for iPhone,5,14,covid; 
Stopped by @SnoHD’s drive-thru #COVID19 testing location in #Everett. Free testing is available by appt only to people who exhibit virus symptoms AND are ✅ Pregnant; ✅ 60+; ✅ Have an underlying health condition;  ✅ A health care worker;or ✅ A “critical infrastructure” worker https://t.co/hxUPBBqhxj,2020-03-25 04:32:50,Twitter for iPhone,26,60,covid; 
Thank you to everyone who joined my #COVID19 📞 town hall with @UWMedicine Dr. @PaulPottingerMD last night. For those of you who missed it or want to hear a recap you can listen to full audio of the town hall 🔊⬇️ https://t.co/mlm2n7DBuq,2020-03-25 04:00:12,Twitter Web App,2,5,covid; 
Last night @GovInslee issued a "Stay Home Stay Healthy" order in Washington state to help slow the spread of #COVID19. Please check out the state's COVID-19 response website to see what businesses &amp; services are open &amp; closed during this time ⬇️ https://t.co/lOl1DZA3Tb,2020-03-24 19:57:01,Twitter Web App,4,16,covid; 
On a #WAdelegation call with the FEMA team about our state's needs. Emphasized need for a broader emergency declaration to include help for small biz/self-employed/indy contractors and to keep trst eval closer to home for qicker turnaround #COVID19 @FEMARegion10 https://t.co/aH9kV5ncsd,2020-03-24 17:31:05,Twitter for Android,4,9,covid; 
Thank you to everyone who joined tonight’s telephone townhall on #COVID19 with guest @PaulPottingerMD.  If you have any further questions reach out to my office at:  📞 425-252-3188 🖥️ https://t.co/LjPxWDVBat   #WorkingforWA2 #LarsenTownHall https://t.co/TSBxlGpJv4,2020-03-24 05:09:34,Twitter Web App,2,16,covid; 
Join me and @PaulPottingerMD now for a telephone townhall on #COVID19:   📞 855-962-0954 🖥️ https://t.co/Bc0xCs1UbL   #WorkingforWA2 #LarsenTownHall https://t.co/FnVSLeHPiY,2020-03-24 01:40:16,Twitter Web App,3,12,covid; 
LIVE: I’m speaking with #WA02 constituents about #COVID19. Dial in now to ask your question ⬇️  #WorkingforWA2 #LarsenTownHall https://t.co/ReZRUcziDO,2020-03-24 01:05:14,Twitter Web App,2,3,covid; 
In one hour I will be updating my constituents about #COVID19. Dial in at 6:00 p.m. PT or stream online to ask me questions:  📞 855-962-0954 🖥️ https://t.co/Bc0xCs1UbL  #WorkingforWA2 #LarsenTownHall https://t.co/PZEra78Wu8,2020-03-23 23:59:11,Twitter Web App,7,9,covid; 
ICYMI: Join me tonight at 6:00 p.m. PT for a live telephone townhall conversation on #COVID19. Dial in at the number below or stream online:  📞 855-962-0954 🖥️ https://t.co/Bc0xCs1UbL  #WorkingforWA2 #LarsenTownHall https://t.co/kmzKR6kB7a,2020-03-23 19:23:50,Twitter Web App,4,8,covid; 
Join me tomorrow night at 6:00 p.m. PT for a live #WA02 telephone town hall on #COVID19.   Sign up to join the call and access the audio live stream  ➡️ https://t.co/WJaoYUDNov.  #WorkingforWA2 https://t.co/Gse3g6mvJC,2020-03-22 22:42:00,Twitter Web App,5,10,covid; 
Three Northern Pintails practicing BAD social distancing yesterday on the Everett waterfront. Don't be like the Northern Pintail: #keepyoursocialdistance @audubonsociety @WADeptHealth https://t.co/uIyeJoHgtD,2020-03-22 16:24:09,Twitter for Android,2,15,socialdistance; 
To best fight the #COVID19 outbreak I‘m calling on @SteveFDA to overturn the @US_FDA policy that discriminates against gay &amp; bisexual men giving blood a rule outdated &amp; harmful to 🏥 facing critical 🩸shortages. Anyone healthy person should be able to donate &amp; help save lives. https://t.co/sqoXvHETi8,2020-03-22 01:45:00,Twitter for iPhone,13,38,covid; 
For details about Monday's live #COVID19 Telephone Town Hall 🗓️📝📞💻⬇️ https://t.co/Qjj9e4VPU6,2020-03-21 05:36:18,Twitter Web App,6,4,covid; 
This week's #RecapWithRick is live from my #Everett office after a full week of meetings (w/proper social distancing) &amp; 📹📞calls w/constituents public health officials electeds &amp; stakeholders working to keep Washingtonian s healthy &amp; safe during the #COVID19 outbreak. 🔊⬇️ https://t.co/2UMk8hWxCf,2020-03-21 05:36:18,Twitter Web App,3,17,covid; 
Several people have asked what can be done to help during the #COVID19 outbreak. In addition to practicing proper distancing washing hands &amp; staying home when sick you can #GiveBlood &amp; help save lives here in #WA02.,2020-03-21 00:27:00,Twitter for iPhone,3,12,covid; 
Had a productive meeting yesterday w/#Langley Mayor Tim Callison to talk about the city’s #COVID19 response rural transportation &amp; broadband infrastructure &amp; the need for more affordable housing. https://t.co/71hM8gYJcK,2020-03-20 22:31:22,Twitter for iPhone,1,5,covid; 
Keeping Washingtonians healthy during the #COVID19 outbreak means physical &amp; mental health.  Dial 2-1-1➡️ WA State Hotline (Local Services) @samhsagov ➡️ 1-800-985-5990 (Distress Helpline)  @866teenlink ➡️ 1-866-TEENLINK (Teens) @800273TALK ➡️ 1-800-273-8255 (Suicide Prevention),2020-03-20 18:16:40,Twitter Web App,2,3,covid; 
Yesterday I met w/leadership at @providence Regional Medical Center in #Everett to hear about the hospital’s ongoing response to #COVID19. TY to the dedicated health care professionals first responders &amp; volunteers working to keep Washingtonians healthy &amp; safe. #WorkingforWA2 https://t.co/E3ZX1lIgGH,2020-03-19 22:51:30,Twitter for iPhone,2,8,covid; 
I will continue to advocate for relief for student vets &amp; for Washingtonians suffering from #COVID19 impacts.  #WorkingforWA2 #ForThePeople,2020-03-19 22:26:14,Twitter Web App,0,2,covid; 
Yesterday the House passed a bipartisan bill to ensure student vets continue to receive GI benefits &amp; monthly housing allowances as schools temp close &amp; move to online classes to help mitigate the spread of #COVID19. ⬇️ https://t.co/WMoNRFC97Q,2020-03-19 22:26:14,Twitter Web App,1,7,covid; 
This morning #Marysville Mayor @Jon_Nehring  &amp; I checked in w/firefighters at @Marysville_Fire Station #61 to hear about #COVID19 prep&amp;firefighters’ concerns&amp;needs. Working w/WA delegation to urge the admin to deliver more PPE to WA to keep first responders safe. #WorkingforWA2 https://t.co/wX31DMhk6l,2020-03-19 01:38:06,Twitter for iPhone,3,9,covid; 
Thank you to @RepJayapal for her leadership urging the administration to continue the delivery of personal protection equipment to keep Washington state's health care workers &amp; first responders safe as they provide care and stop the spread of #COVID19. #WorkingforWA2 https://t.co/S1uxKhpoxi,2020-03-18 02:32:25,Twitter for iPhone,34,126,covid; 
Talked to @Q13FOX about helping to provide relief to local families workers &amp; small businesses suffering from #COVID19 impacts &amp; resources available to #WA02 residents. If you need assistance w/fed casework please contact my office at 425-252-3188 or at https://t.co/OqoRqkWFZ8. https://t.co/dlby5dEC8N,2020-03-18 01:17:48,Twitter for iPhone,2,3,covid; 
As communities in WA state &amp; across the U.S. combat #COVID19 I joined @SenatorCantwell @RepDelBene &amp; WA delegation to call on @IRSnews to extend the tax filing deadline for 6 mos to bring relief to taxpayers. Today the admin announced a 90-day extension. #WorkingforWA2 https://t.co/FemYHK06OV,2020-03-18 00:01:08,Twitter for iPhone,4,9,covid; 
ICYMI ➡️ My office introduced temporary measures to help mitigate the spread of #COVID19. I encourage all Washingtonians to take this outbreak seriously &amp; follow the guidelines of @CDCgov &amp; local health officials. For additional contact info visit https://t.co/OqoRqkWFZ8. https://t.co/LIvuYyok7y,2020-03-17 03:10:18,Twitter for iPhone,2,7,covid; 
I will continue to be a strong advocate for #COVID19 relief for small businesses &amp; the people of #WA02.  #WorkingforWA2,2020-03-16 22:30:09,Twitter Web App,0,4,covid; 
BREAKING ➡️ @SBAgov just announced it is offering low-interest federal disaster loans to Washington state’s small businesses suffering substantial economic injury as a result of #COVID19. ⬇️⬇️⬇️ https://t.co/LUFmJa1bo7,2020-03-16 22:30:09,Twitter Web App,5,6,covid; 
@ashleyhalsey3rd @tatecurtis @scottwongDC By plane. Yesterday. DCA-ORD-SEA. Was on San Juan Island by 2:30pm PDT reviewing COVID-19 response with a small group of constituents and had done two ZOOM (not an endorsement) calls on drive up from the airport covering same https://t.co/WyziT40gFh,2020-03-15 22:15:02,Twitter for iPad,1,2,covid; 
@scottwongDC Closing physical offices. Still open for people’s business through email and phone calls. As well I am in the district and keeping an ever-changing schedule to review COVID-19 impacts,2020-03-15 22:09:00,Twitter for iPad,2,6,covid; 
⬇️ Larsen Announces Temporary Office Changes to Mitigate #COVID19 Spread ⬇️  The health &amp; well-being of the #WA02 community is my top priority. After receiving recs from the House Sergeant-at-Arms my office is introducing measures to help mitigate the spread of #COVID19. ⬇️,2020-03-15 22:02:08,Twitter Web App,4,12,covid; 
1/Last week I told a reporter that the US govt preparation efforts in airports for COVID-19 wasn't a disaster but we could do better. I now want to amend that response: it's a disaster 👇 https://t.co/yRqe8rmHcM,2020-03-15 18:31:24,Twitter for Android,9,25,covid; 
This week's #RecapWithRick is live from San Juan Island less than 24 hours after I voted for the Families First Coronavirus Act to boost the fed government’s response to #COVID19 &amp; deliver relief for families suffering disruption from the virus’ outbreak. #WorkingforWA2 ⬇️⬇️⬇️ https://t.co/YPJkt3913n,2020-03-15 05:27:13,Twitter for iPhone,5,15,covid; corona; 
The bipartisan Families First Coronavirus Response Act includes:   ✅ Free #COVID19 testing if you need it regardless of insurance coverage  ✅ Expanded paid emergency medical leave &amp; extended unemployment insurance   2/3,2020-03-14 22:56:28,Twitter for iPhone,2,11,covid; corona; 
Last night PST/early this morning EST I voted to boost the federal government’s response to #COVID19 &amp; deliver relief for families in Washington state &amp; across the country suffering disruption from the virus’ outbreak.   1/3,2020-03-14 22:56:27,Twitter for iPhone,3,16,covid; 
As the House prepares to vote on legislation to boost the federal government’s #COVID19 response check out some of the latest numbers on the response to the virus outbreak ⬇️ https://t.co/4LxlHzkHtz,2020-03-13 23:46:36,Twitter for iPhone,4,7,covid; 
Great meeting earlier this week with @CityofMukilteo Mayor Jennifer Gregerson &amp; members of the #Mukilteo City Council to discuss #COVID19 @NOAAFish_NWFSC’s Research Station surface &amp; waterway infrastructure &amp; how to better protect the Puget Sound. #WorkingforWA2 https://t.co/w6nWp9dCB2,2020-03-13 17:19:30,Twitter for iPhone,3,7,covid; 
#Marysville is in the House! I had a great discussion w/Mayor @Jon_Nehring City Council President Kamille Norton &amp; members of the City Council on #COVID19 local infrastructure &amp; how the fed gov’t can cont to partner w/the City on shared priorities. #WorkingforWA2 @WA_Marysville https://t.co/NOJSZqUlY4,2020-03-11 19:59:11,Twitter for iPhone,5,5,covid; 
.@CDCgov has deployed 40 staff members to support @WADeptHealth’s #COVID19 efforts to keep Washingtonians healthy &amp; safe.  For up-to-date information visit https://t.co/B4rlLBdB56.,2020-03-10 19:50:08,Twitter Web App,1,3,covid; 
On a #COVID19 response update call w/Dr. Nancy Messonnier Director of the Center for the National Center for Immunization &amp; Respiratory Diseases Dr. Tom Clark Deputy Director of @CDCgov’s Division of Viral Diseases &amp; the Washington congressional delegation. https://t.co/591TBUVkEu,2020-03-10 19:50:07,Twitter Web App,2,7,covid; 
For up-to-date information on #COVID19:  ➡️ @WADeptHealth: https://t.co/BtawOEDkgd  ➡️ @SnoHD: https://t.co/ZB7Qrc5KQF  ➡️ Island County: https://t.co/XW83t9jDb7  ➡️ @Whatcomctygov: https://t.co/dl5808nIGL  ➡️ @SanJuanCountyWA: https://t.co/pSBoP7Hek0,2020-03-09 23:43:52,Twitter for iPhone,2,8,covid; 
ICYMI: Last week I met &amp; spoke w/public health &amp; elected officials in Snohomish Island Whatcom Skagit &amp; San Juan counties to hear about the local response to #COVID19 local concerns &amp; needs. TY to all local &amp; state officials working to keep Washingtonians safe &amp; healthy. https://t.co/UsYwtbexpt,2020-03-09 23:43:51,Twitter for iPhone,2,7,covid; 
This week's #RecapWithRick is live outside @johnnypicassos in #Anacortes where I held my 9⃣th community forum of 2020.   I've been focused on the response to #COVID19 for most of the week. For the most up-to-date info please follow @WADeptHealth or visit https://t.co/BtawOEDkgd. https://t.co/7vHDUNOSr5,2020-03-08 04:39:04,Twitter Web App,2,8,covid; 
Visit https://t.co/T6RF9KZuvC for San Juan County-specific #COVID19 updates.,2020-03-07 23:16:28,Twitter for iPhone,0,1,covid; 
