ATTN MARION COUNTY: Free COVID-19 tests on Saturday in Marion  https://t.co/a3TiTN6h5s,2020-11-13 20:30:00,TweetDeck,2,1,covid; 
COVID has changed how we operate including the expansion of #telehealth. Many are trying this for the first time. It's a viable option to increase access but we must ensure permanent expansion is done responsibly. READ about my #KEEPTelehealthOptionsAct: https://t.co/D8vmSgWRmM https://t.co/HYL7K8MD6v,2020-07-29 20:06:30,TweetDeck,1,2,covid; 
I cosponsor the Back to Work Child Care Grants Act which would provide grants to childcare facilities based on providers’ needs &amp; costs incurred due to COVID-19.  Thanks @RepTomReed for introducing this critical bipartisan #childcare legislation. MORE ➡️ https://t.co/vAtdPlqmpf https://t.co/9QzYrgmTB8,2020-07-29 17:30:03,TweetDeck,1,3,covid; 
“The COVID-19 pandemic has been the catalyst for telehealth as patients have care needs but are either unable to visit their physicians in person or have concerns about going to a medical facility."  Great analysis on the importance of #telehealth ➡️ https://t.co/kc9uk1khUi,2020-07-28 15:23:52,TweetDeck,1,1,covid; 
As we work toward more COVID relief packages on top of supporting schools hospitals and first responders it’s important we also focus on #WorkforceDevelopment. I questioned ⁦@stevenmnuchin1⁩ on the feasibility of this during today’s ⁦@HSBCgop⁩ hearing.   WATCH ⬇️ https://t.co/ymyMqX1u7o,2020-07-17 21:54:45,Twitter for iPhone,1,7,covid; 
As Ohio’s only micro-lender ⁦@ECDIoh⁩ has helped launch several female-owned businesses across the state. Hearing the owners’ experiences of adapting to COVID is inspiring. One bakery owner has switched from a brick-and-mortar model to e-commerce and is now growing... https://t.co/JUqNoY2kQo,2020-07-16 15:21:23,Twitter for iPhone,4,5,covid; 
While Ohio has been devastated by COVID-19 we can't forget the ongoing opioid epidemic  Our country has seen a rise in substance abuse during the pandemic along with a strain on local resources  That's where this bipartisan legislation comes in  MORE ➡️ https://t.co/8NMVpa7gFg https://t.co/fIkX25vrco,2020-07-15 21:38:38,TweetDeck,0,5,covid; 
Rural Ohioans need expanded access to care through #telehealth services.  This isn't limited to the COVID-19 outbreak this expansion must be permanent.  The #KEEPTelehealthOptionsAct is the first step to understanding Americans' telehealth needs and how we can best serve them. https://t.co/0JLN55lAnG,2020-07-14 18:40:22,TweetDeck,1,2,covid; 
The @DeptVetAffairs is relieving certain debts for #Veterans through the end of the year to help those adversely impacted by #COVID19.  Our country has no higher commitment than to take care of our Veterans by honoring the promises we've made to them.  https://t.co/2vyNZs9efV https://t.co/Qv1BPMEQM8,2020-07-14 15:14:38,TweetDeck,2,3,covid; 
The #PaycheckProtectionProgram has been instrumental in helping keep workers on payroll during #COVID19. Since my bipartisan extension bill w/ @RepAngieCraig was signed into law #PPP will continue to play an important role in our economy reopening &amp; Ohioans get back to business. https://t.co/iXztNPC4FN,2020-07-09 16:41:44,TweetDeck,13,31,covid; 
“Rural healthcare was already in crisis prior to the COVID-19 pandemic and the situation is only getting worse."  Last week a bipartisan delegation of 49 of my colleagues and I sent a letter to HHS urging more relief to rural providers affected by #COVID19. READ ⬇️ https://t.co/dCuBGXQR7j,2020-07-06 17:22:43,TweetDeck,1,9,covid; 
LIVE: Tune in for live coverage of today's @HouseSmallBiz hearing where we'll hear an update from @SBA on its processing of #EIDL coronavirus relief loans. @HSBCgop https://t.co/Y67KjOqKGb via @YouTube,2020-07-01 14:16:32,Twitter Web App,2,7,corona; 
Great conversation this morning with former @US_FDA Commissioner @ScottGottliebMD about cutting-edge developments in #COVID19 therapeutics and how American researchers are defying expectations in their relentless pursuit of a vaccine. https://t.co/RaSPcEAEbJ,2020-06-30 14:07:03,Twitter Web App,2,9,covid; 
Proud to join @RepBobGibbs and others to support this bill sponsored by @WarrenDavidson which would provide local leaders w/ the flexibility they need to combat the coronavirus &amp; to address the revenue shortfalls they now face as a direct result of the #COVID19. https://t.co/jwCO6hSbiz,2020-06-28 19:50:23,Twitter for iPhone,3,16,covid; corona; 
Thanks @HSBCgop for today's subcommittee hearing. It's been amazing to see Ohio's #SmallBusinesses rise to the challenges presented by #COVID19. It's vital Congress works to promote–not hinder–small biz innovation. I continue to hear from #SmallBiz the hurdles they face... (1/2),2020-06-24 18:10:38,TweetDeck,2,5,covid; 
#COVID19 highlighted our country's need to support:  🏥 Community health centers 💻 Permanent telehealth expansion 🌐 &amp; Broadband internet infrastructure to support it  These initiatives are vital to many Ohioans' access to quality care.,2020-06-23 15:43:12,TweetDeck,2,7,covid; 
Chris Schobert founder of the Olivina Taproom in Delaware Ohio knows a thing or two about resiliency as a #smallbusiness owner. Impacted by both flooding and #COVID19 in 2020 they are #BackToBusiness selling premium olive oils and balsamic vinegar. @SBA_Columbus https://t.co/MuCvc2oXqa,2020-06-22 21:19:20,Twitter Web App,6,23,covid; 
This is welcome news for Ohio's nursing home residents and patients. Many #NursingHomes across the US have become hotspots for #COVID19 problematic because of the vulnerable population of residents. This is a great move by @CMSGov. https://t.co/kfIYMEuJTF,2020-06-22 15:55:21,TweetDeck,1,2,covid; 
This is fantastic news! Thank you @repgregwalden &amp; @SenatorWicker for championing this issue so vitally important to my district. As you point out #COVID19 highlighted the digital divide between urban/suburban communities &amp; rural ones. It's beyond time we work to close this gap. https://t.co/1UhZnh6TMA,2020-06-18 21:36:34,TweetDeck,1,2,covid; 
Growing up in a rural community I know firsthand the importance of access to quality healthcare. #COVID19 highlighted Ohio’s need for #telehealth services which has given many the ability to connect to quality care from the comfort and safety of their own homes.,2020-06-18 16:18:20,TweetDeck,3,9,covid; 
OHIOANS 🚨  Remain vigilant about scammers related to #COVID19 particularly unemployment insurance  Beware of digital scams fraudulent notices about returning money and more  LEARN MORE HERE: https://t.co/6Yzni6gI4W,2020-06-16 18:45:48,TweetDeck,1,2,covid; 
The #CARESAct made $100 M available in additional funding for #firefighters through @fema #AFG grant program. Thank you to all of the first responders of #OH12 for bravely continuing to serve our communities during #COVID19 and every day. @housesciencegop,2020-06-12 20:34:09,TweetDeck,1,5,covid; 
If you’ve recovered from #COVID19 your immune system has antibodies that could be used as a treatment. See if you can help others by donating plasma!  ⬇️⬇️⬇️ https://t.co/INmwbWGRI9  #TheFightIsInUs,2020-06-12 19:30:00,TweetDeck,2,5,covid; 
The #PaycheckProtectionProgram was designed to help #smallbusinesses weather the COVID-19 storm so they can focus on getting #BackToBusiness. PPP needs a streamlined loan forgiveness application like a 1040-EZ form. MORE ➡️ https://t.co/aOT8P7WpB4 https://t.co/rOuvXwVumI,2020-06-12 13:44:19,TweetDeck,1,2,covid; 
This week @HSBCgop heard from #SmallBiz owners their perspective of how @SBAgov’s #EIDL program was rolled out in response to #COVID19. As we get #BackToBusiness I’m looking forward to next week’s review of the #PaycheckProtectionProgram and what we can improve.,2020-06-11 18:06:08,Twitter for iPhone,3,6,covid; 
Plasma from recovered #COVID19 patients could be the 🔑 to developing treatments for those infected   If you’re a survivor now you can be a hero ⚕️   Learn how to donate at https://t.co/INmwbWGRI9 #TheFightIsInUs,2020-05-28 15:41:02,TweetDeck,4,5,covid; 
Thank you @CVSHealth for helping Ohio address #COVID19 head-on with expanded testing! 7 drive-thru testing locations open TOMORROW right here in #OH12.  Find your nearest location: https://t.co/XpoN1zFfxA,2020-05-28 15:00:08,TweetDeck,1,4,covid; 
As we begin reopening the airline industry will be central to our economy's comeback. Their services + the nation's airports go hand in hand. I worked to help secure &gt;$34M in #COVID19 relief for Central OH airports &amp; will continue conversations to support the aviation industry. https://t.co/FrRrSAz2ng,2020-05-27 20:27:27,TweetDeck,2,3,covid; 
Important that first responders on the frontlines of #COVID19 have ample protective gear to fight this battle. Today I assured Central Ohio's fire chiefs that I'll continue working to support them and their teams' PPE needs. Thank you to Ohio's firefighters and first responders!,2020-05-26 19:49:01,TweetDeck,4,8,covid; 
…it’s my role to advocate for them so Ohioans can continue receiving the care they need – whether related to #COVID19 or other conditions.  🏥 CHCs serving #OH12 received &gt;$3.4M through HRSA  🏥 I requested $ be set aside for CHCs in next distribution wave,2020-05-26 16:31:04,TweetDeck,0,2,covid; 
NOW OPEN: Ag producers like farmers &amp; ranchers can seek relief through the Coronavirus Food Assistance Program providing up to $16B in direct payments to help those who faced price declines &amp; additional market costs due to #COVID19. LEARN MORE ➡️ https://t.co/UeKDwXqStL,2020-05-26 14:37:11,TweetDeck,1,2,covid; corona; 
EMS workers put their health and safety on the line to protect our communities and Ohioans' wellbeing. During #COVID19 it's critical they have ample #PPE to help protect them from the virus' spread.  I urge @fema to prioritize their needs when distributing PPE.  #EMSWeek https://t.co/Mcx70eWpS3,2020-05-20 17:50:03,TweetDeck,2,4,covid; 
Rural Ohioans w/o broadband internet face disadvantages w/o access to online resources  #COVID19 amplifies these challenges e.g. inability to access system for econ impact payments  IRS took my suggestion &amp; launched a hotline in response. READ MORE ➡️ https://t.co/Aa5CkFyoCo,2020-05-19 16:15:31,TweetDeck,3,8,covid; 
Early on seeing an urgent need for a larger supply of hand sanitizer for OH families I called on FDA to temporarily allow the use of undenatured alcohol to produce hand sanitizer during COVID-19 &amp; to work w/ private industry on safeguards to keep it out of the reach of children,2020-05-18 18:50:00,TweetDeck,0,2,covid; 
Food security = national security. To keep Ohioans fed America’s farmers need a robust workforce including those w/ H-2A visas. I urged State Homeland Sec &amp; Labor Depts. to allow flexibility w/ those processing visa applications during #COVID19. We can’t let Ohioans go hungry.,2020-05-18 16:46:18,TweetDeck,1,2,covid; 
5: Following my bipartisan bill CMS issued new guidelines to EXPAND TELEHEALTH ACCESS to include services by physical &amp; occupational therapists speech pathologists clinical social workers &amp; audiologists supporting rural Ohioans’ need for continued care during COVID-19,2020-05-15 20:25:13,TweetDeck,0,2,covid; 
THREAD ⬇️  Throughout #COVID19 a divide has become clear between those not wanting to “waste a crisis” to push special interests under the guise of helping others &amp; those TAKING ACTION to provide relief  Ex: Every action I’ve taken is in direct response to my constituents’ needs,2020-05-15 17:02:21,TweetDeck,4,14,covid; 
Grateful for @Walmart's role in helping facilitate #COVID19 testing w/ stations like the one in Lewis Center. Walmart has helped thousands of Americans get tested and more stations continue to open. Thank you for helping connect Ohioans to testing!,2020-05-12 19:24:30,TweetDeck,2,2,covid; 
During #COVID19 it's critical students have adequate access to distance learning. Especially important for CTE so US doesn't fall behind the STEM ed. curve. Let's ensure we can meet the demands of tomorrow’s workforce. @RepTjCox &amp; I are pushing for investment in rural STEM ⬇️ https://t.co/xEjPlHomjQ,2020-05-07 20:16:57,TweetDeck,2,4,covid; 
Frontline OH hospitals &amp; care providers need support to fight #COVID19 &amp; continue providing care to OH families  So far #OH12 providers have received &gt;$121 MILLION  I pushed for this relief particularly for Ohio's most vulnerable  MORE ON MY WORK HERE ➡️ https://t.co/mNMvA19OTE,2020-05-07 16:22:26,TweetDeck,0,3,covid; 
Spoke w/ Columbus @OncologyNursing last night about challenges they're facing in #COVID19. Both my mom &amp; daughter-in-law are nurses. I have profound respect &amp; appreciation for nurses' compassionate care. It's with great heart I thank our nation's nurses! #NationalNursesWeek https://t.co/5WJW7B9ucM,2020-05-06 14:57:55,TweetDeck,8,33,covid; 
Since Congress replenished the #PaycheckProtectionProgram nearly 60k OH businesses have been approved for &gt;$4.7 Billion in #PPP loans! This will go far in providing #SmallBizRelief ensuring Ohioans can remain on payroll through #COVID19 &amp; #smallbusinesses don’t have to shutter.,2020-05-05 21:48:00,TweetDeck,5,11,covid; 
As #ResponsibleRestartOhio begins 🔑 is striking balance between protecting Ohioans' health &amp; supporting businesses struggling b/c of COVID-19  #SmallBiz should be commended for resiliency during this time &amp; Congress must continue to support them ➡️ https://t.co/klcMKiZFgz,2020-05-04 15:18:16,TweetDeck,2,5,covid; 
Thanks to Olentangy Orange High School’s government classes for asking me to participate in today’s virtual classroom. Our discussion covered: my work helping Ohioans bipartisanship in Congress what we’re learning from COVID-19 and the importance of youth civic engagement https://t.co/LQj7ufOcax,2020-05-01 18:41:24,Twitter for iPhone,3,16,covid; 
The #PaycheckProtectionProgram is helping people like Dr. Todd Kerner of @DublinPhysMed remain open to see patients through the #COVID19 pandemic. Just one example of how this vital program is delivering #SmallBizRelief across Ohio and the nation! https://t.co/72fT4NZrtR,2020-05-01 14:25:06,Twitter for iPhone,4,10,covid; 
Great innovation by NASA engineers to help with treatment of #COVID19 patients! American ingenuity will help our nation through this pandemic 🇺🇸  @housesciencegop https://t.co/KV8Ei6UKh4,2020-04-30 21:56:13,TweetDeck,2,11,covid; 
This program is vital in keeping Ohioans connected which is of critical importance during #COVID19 pandemic. Thank you Chairman @AjitPaiFCC for extending this program! https://t.co/QtSuSxKJrg,2020-04-30 20:55:04,TweetDeck,5,12,covid; 
HAPPENING NOW ⬇️  Join me on a live telephone town hall w/ Dr. Ryan Squier of @OhioHealth discussing the latest #COVID19 updates  ☎️ 540-409-4375 Ext.60265# https://t.co/83v74n9ZaB,2020-04-29 22:06:35,TweetDeck,2,11,covid; 
Productive call w/ @SecAzar &amp; @HHS_ASH on rural health care access. This has been a focus of mine as Ohioans try to stay safe through #COVID19 pandemic. Rural communities often don't have same amenities as larger cities. Glad @HHSGov is paying particular attention to their needs.,2020-04-29 18:17:58,TweetDeck,1,7,covid; 
Ohio we are headed in the right direction!  Expanded #COVID19 testing = key to reopening OH biz &amp; moving forward  I commend @GovMikeDeWine for leading us through this crisis. I‘ll continue working to support OH biz &amp; communities in next chapter https://t.co/ZNE6CFmaMx,2020-04-24 22:51:21,Twitter for iPhone,1,9,covid; 
My bipartisan bill w/ @RepCindyAxne &amp; @RepFrenchHill will help connect Ohioans—especially those living in rural areas or at high risk for COVID-19—to essential treatments while also supporting our state’s ongoing efforts to reduce the virus’ spread  MORE ➡️https://t.co/8GAemnkV6Y,2020-04-24 19:47:29,TweetDeck,4,13,covid; 
THREAD ⬇️  Just because Ohioans are staying at home doesn’t mean they don’t need continued care. The challenges posed by #COVID19 require innovative solutions &amp; accommodations. (1/2),2020-04-24 19:47:07,TweetDeck,1,6,covid; 
ATTN: OHIOANS RE: #UNEMPLOYMENT  Ohioans who are unemployed due to #COVID19 but don’t qualify for regular #unemploymentbenefits can pre-register for the new Pandemic Unemployment Assistance program  💻 Visit https://t.co/fy46zG8V5c &amp; click “Get Started Now”,2020-04-24 15:10:25,TweetDeck,1,3,covid; 
Read my full statement on yesterday's passage of phase 3.5 #COVID19 relief package ➡️ https://t.co/8CROrDasut,2020-04-24 14:31:24,TweetDeck,2,4,covid; 
My view from today’s @HSBCgop committee hearing. Practicing safe social distancing and taking precautions for the sake of everyone’s health while hearing from colleagues how we can support #smallbiz across the US during #COVID19 pandemic. https://t.co/viI7O2qQ84,2020-04-23 15:55:07,Twitter for iPhone,2,10,covid; 
Mental health is important especially during the #COVID19 pandemic. Ohioans can call:  ☎️ 1-800-720-9616 ☎️  24 HOURS A DAY to speak to someone and get help  The lines are open don't hesitate to call  #InThisTogetherOhio https://t.co/Lm4NecqIHe,2020-04-22 18:38:25,TweetDeck,1,2,covid; 
Along with my constituents’ health &amp; safety during #COVID19 the resilience of our small businesses has been one of my top priorities. From ongoing conversations with Central Ohio’s small business owners it’s clear that Congress must continue to support these job creators. (1/2),2020-04-22 14:54:26,TweetDeck,3,9,covid; 
As we work through current hurdles our country faces during #COVID19 we must also look ahead out how our nation will recover especially economically. Grateful for call w/ @larry_kudlow today to discuss future of American economy post-COVID-19.,2020-04-21 19:35:59,TweetDeck,2,4,covid; 
#ToThoseWhoKeepUsMoving  To the drivers delivering Americans food essential supplies and medical equipment THANK YOU for keeping our country moving during this pandemic!  Special thanks to @COTABus drivers transporting @CBUSRegion residents free of charge during #COVID19! https://t.co/LfrK2giYnz,2020-04-21 17:29:54,TweetDeck,9,25,covid; 
Medicare patients who rely on infusion &amp; injection treatments are being forced to choose between receiving their treatment at a clinic or remaining safely at home. #COVID19 adds significant hurdles to their ability to receive treatments regularly. (1/2),2020-04-20 17:23:57,TweetDeck,2,2,covid; 
Just spoke w/ @COTAbus President &amp; CEO @joanna5317 to congratulate her on appointment to co-chair @APTA_transit’s new Mobility Recovery and Restoration Task Force focused on future of public transportation &amp; new tools that can play a vital role in economic recovery post #COVID19,2020-04-20 17:08:34,TweetDeck,4,15,covid; 
Thanks to #CARESAct @ohgov Office of Criminal Justice Services is receiving $16 Million to assist in #COVID19 preparedness &amp; response! This $ will go toward overtime pay critical equipment and supplies addressing the medical needs of inmates and more. #InThisTogetherOhio,2020-04-18 21:51:37,Twitter for iPhone,1,4,covid; 
Critical that American hospitals have already begun receiving funds under #CARESAct. $30B has gone out &amp; @HHSGov is still distributing $70B in direct funding. I've been in constant contact w/ Central OH hospitals &amp; continue to advocate for resources they need during #COVID19,2020-04-18 17:29:21,TweetDeck,2,13,covid; 
A huge shoutout to America's farmers and agriculture sector who are also on the frontlines of the #COVID19 pandemic working relentlessly to supply our country's people with food and nourishment. THANK YOU to those who keep us fed &amp; @SecretarySonny for announcing this program ⬇️ https://t.co/AMBSk6oZ5L,2020-04-18 14:34:00,TweetDeck,2,8,covid; 
These programs to assist @DelawareCoOhio residents &amp; #smallbiz will go far in relieving stress caused by #COVID19. Kudos to Delaware Co for reallocating these congressionally-approved funds United Way &amp; local firms lending a hand in helping the community! https://t.co/s2lsYo5W0a,2020-04-18 13:54:38,TweetDeck,2,4,covid; 
Encouraged by call with @SecAzar &amp; @SteveFDA earlier today. They provided updates about new pushes for #COVID19 testing which is exactly what our country needs as the number of cases continue to rise.,2020-04-17 21:59:00,TweetDeck,2,8,covid; 
On top of funding #PPP we must also add funding to the Economic Injury Disaster Loan program which has taken a significant blow from #COVID19 but is essential in helping America’s small businesses weather this storm #ActNow,2020-04-17 20:20:31,TweetDeck,1,8,covid; 
@GenesisHCS Any future relief packages should provide payback flexibility on accelerated Medicare payments for these hospitals. Critical during this pandemic that rural citizens have access to care &amp; we can't put future care in jeopardy by allowing rural hospitals to shutter b/c of COVID-19. https://t.co/lbvD6YpqnR,2020-04-17 17:29:19,TweetDeck,1,2,covid; 
Rural hospitals like @GenesisHCS play a vital role in the wellbeing of rural communities. They may provide rural Americans’ only access point to care. The #COVID19 pandemic magnifies the hurdles and challenges these hospitals already face.,2020-04-17 17:28:42,TweetDeck,1,4,covid; 
@USTreasury @IRSnews I commend @SBAgov for round-the-clock work to assist America’s small businesses during this unprecedented crisis. They’ve helped many businesses gain access to the resources they need during the #COVID19 pandemic. I strive to be a resource for Central Ohioans…,2020-04-17 13:07:39,TweetDeck,0,3,covid; 
Spoke w/ @NOAA Director today. Join me in thanking the NOAA for sustaining vital work during #COVID19. For example NOAA receives big % of weather forecast data from commercial airline pilots. Even during 📉 travel this vital agency continues working to ensure forecast accuracy.,2020-04-16 23:32:55,Twitter for iPhone,1,2,covid; 
Businesses around the country are working hard to comply with local state &amp; federal orders to protect employees &amp; customers during # COVID19  At the same time every day that goes by without a customer in the store = a loss of revenue,2020-04-16 21:55:34,TweetDeck,1,9,covid; 
@SBAgov (2/3) PPP is crucial for Ohioans to pay their employees during the #COVID19 pandemic and will help provide stability when we’re safe to open back up for business. PPP also gives workers and their families peace of mind during this period of uncertainty.,2020-04-15 15:52:15,TweetDeck,3,8,covid; 
I'm calling on Congressional leadership to act now. Last week I sent a bipartisan letter with my colleagues calling for VAWA reauthorization in future #COVID19-related legislation. We must work together to keep each other safe. https://t.co/oTzkAJbTMV,2020-04-14 17:29:03,TweetDeck,0,6,covid; 
No one should have to choose between exposure to #COVID19 and their physical or mental safety and wellbeing. In light of this pandemic Americans are sheltering in place many with abusive partners. We know instances of abuse are on the rise and they’re not always reported.,2020-04-14 17:28:08,TweetDeck,1,9,covid; 
NON-FILERS 🚨  Ensure you receive your #COVID19 economic impact payment by going to @USTreasury website. It allows you to input your information: ✅Name ✅Mailing address ✅Email ✅Birthday ✅SSN ✅Bank account ✅IP PIN ✅ID/License info ✅Children's info  https://t.co/5Vz6UeSNhU,2020-04-10 16:27:23,TweetDeck,2,4,covid; 
OHIO VETERANS ⬇️  Join a live telephone town hall this afternoon at 4 p.m. with @VAVetBenefits Under Secretary Dr. Paul R. Lawrence to discuss #COVID19 and several initiatives  Dial 844-227-7557 ☎️,2020-04-08 18:57:12,TweetDeck,1,4,covid; 
Today is #WorldHealthDay  Let's take a moment to thank those on the frontlines of fighting #COVID19 those sacrificing to protect our communities and their loved ones around the world https://t.co/Y5glpQcZdV,2020-04-07 17:45:00,TweetDeck,3,12,covid; 
Now more than ever it's critical that students are able to connect online. I joined a bipartisan group of House &amp; Senate colleagues pushing for a temporary emergency @FCC relief fund to help ensure critical resources from small broadband providers continue during #COVID19 https://t.co/BVtK84W8uZ,2020-04-07 16:58:14,TweetDeck,2,6,covid; 
