My statement on my mother's passing and my COVID-19 positivity. https://t.co/q2czr3TiEQ,2020-11-26 02:13:07,Twitter Web App,87,1140,covid; 
Running out of words to describe Mitch McConnell’s indifference towards the suffering of millions of Americans.   We should’ve passed more #COVID19 relief months ago. Every day we wait tightens the strain on Amercians’ health and livelihoods. https://t.co/58ucI0wMdv,2020-10-30 20:58:59,Twitter for iPhone,17,59,covid; 
Remember the best way to stop the spread of #COVID19 is to wash your hands and wear a mask not perpetuate racist stereotypes.  Read my op-ed in @AsianJournalCom about supporting southern Nevada’s #AAPI community during this pandemic.  https://t.co/c58HUH56jX,2020-10-30 19:12:05,TweetDeck,3,16,covid; 
If you are voting in person this election season make sure you are doing so safely while following guidelines to protect yourself and others during the #COVID19 pandemic. Read up on @CDCgov safety guidelines here: https://t.co/tuw8FXCvih,2020-10-29 21:25:00,TweetDeck,3,15,covid; 
This is good news for Nevadans at risk of facing eviction.   Bottom line though Americans whose livelihoods have been crushed by this pandemic should not be facing eviction. We need to pass #COVID19 relief that includes more rental and housing assistance. https://t.co/qewDaAQYc5,2020-10-29 19:11:59,Twitter for iPhone,3,21,covid; 
The #SCOTUS confirmation of Amy Coney Barrett will not:  ❌Extend emergency unemployment benefits. ❌Secure rental/mortgage assistance. ❌Implement desperately needed nationwide #COVID19 testing and tracing.  Congress needs to pass more #COVID19 relief. Now.,2020-10-27 20:30:00,TweetDeck,6,41,covid; 
Some helpful election resources:   -@CDCgov #COVID19 Safe Voting guide: https://t.co/9PGW7tD1nk  -Nevada Election FAQ’s: https://t.co/9cR8wo6b3Y   -@ClarkCountyNV Absentee Voter Guide:  https://t.co/w6c4QukiWq https://t.co/rq1Zl9YUro,2020-10-26 23:56:03,Twitter for iPhone,2,6,covid; 
Mitch McConnell has spent the last few weeks jamming through a Supreme Court nominee while sitting on additional #COVID19 relief for 5 months &amp; even going so far as to sabotage bipartisan negotiations.  Americans are beyond sick of the partisan political games as we should be.,2020-10-26 19:36:43,TweetDeck,6,51,covid; 
This is why the CARES Act was so important and why I won’t stop fighting until we secure another #COVID19 relief package. https://t.co/Uam9FpQx9k,2020-10-26 14:24:07,Twitter for iPhone,3,15,covid; 
Contact tracing is crucial for us to make it through the pandemic. Wash your hands wear a mask and download @NVHealthRespon1 #COVID19 Trace app. Find out more at  https://t.co/jT8MztwUfT,2020-10-25 23:28:30,Twitter for iPhone,3,19,covid; 
We’re again at the end of the month and millions of Americans are at risk of eviction because Congress and the White House have failed to pass more #COVID19 relief.  Securing a bipartisan deal and passing more relief needs to be our one and only priority right now.,2020-10-25 17:22:37,Twitter for iPhone,22,93,covid; 
This is horrific - and preventable. How do we fix it?  Containing the spread requires widespread testing &amp; contact tracing.  To do that we need to pass another #COVID19 relief package to fund the effort (like the $25 billion for testing/tracing in our @ProbSolveCaucus plan). https://t.co/NuWAaDmsTd,2020-10-23 17:49:40,Twitter for iPhone,4,19,covid; 
The last time I saw my friends at @LasVegasACC in person was early March just as #AAPI owned businesses were starting to feel the effects of #COVID19 in more ways than one.  We've come a long way &amp; we have a ways to go but I know you'll keep up the hard work. I'll do the same. https://t.co/1TOvvE2LsX,2020-10-22 20:32:14,Twitter for iPhone,2,10,covid; 
Another 1.1 million Americans filed for unemployment benefits last week.   Passing #COVID19 relief should be Congress and the White House’s one and only priority right now.,2020-10-22 18:52:54,Twitter for iPhone,38,119,covid; 
Blocking Mitch McConnell’s anemic relief bill wasn't about politics or partisanship. It was just a bad bill that didn’t include the comprehensive relief Americans need.  We’re close to a bipartisan deal on #COVID19 relief that can get across the finish line. That’s the priority.,2020-10-21 21:00:01,TweetDeck,5,43,covid; 
200000 Nevadans are out of work. 400000 Nevadans are facing eviction.  Struggling Americans don't care about partisan political games. They need help.  We are pushing the White House &amp; Congress Democrats &amp; Republicans to get a #COVID19 relief deal done. Now. @ProbSolveCaucus https://t.co/ncBa25LFlv,2020-10-21 20:30:20,TweetDeck,11,50,covid; 
#COVID19 is not over.   Wear a mask Wash your hands Practice social distancing Get tested,2020-10-19 19:03:42,TweetDeck,5,39,covid; 
Every day that goes by without more #COVID19 relief the harder life becomes for working families.   For Democrats and Republicans for the House and Senate passing another comprehensive relief package should be our one and only priority right now.,2020-10-19 18:00:43,TweetDeck,9,37,covid; 
REMINDER: Applications for the  Pandemic Emergency Technical Support (PETS) Grant program open tomorrow at 8:00AM PT!  This new #CARESAct grant provides additional #COVID19 relief for Nevada small businesses &amp; nonprofits.  To learn more &amp; apply head to: https://t.co/Dqe8WVpgvI,2020-10-18 18:30:33,Twitter for iPhone,3,9,covid; 
The 900000 Americans who filed for unemployment last week aren’t thinking about a Supreme Court nomination. They’re thinking about how to survive.  For Republicans and Democrats passing #COVID19 relief should be our one and only priority right now. https://t.co/Mou7WaOfka,2020-10-15 21:11:00,TweetDeck,22,61,covid; 
HAPPENING TODAY: At 4:00pm PT I’m hosting a Facebook Live with @ZConine and Michael Brown from @GovSisolak’s office to talk about the new #COVID19 PETS Grant to help Nevada small businesses and nonprofits.   Join us then to learn more! https://t.co/iIgYmP5Q2x,2020-10-15 19:01:00,TweetDeck,4,14,covid; 
One of my proudest accomplishments in Congress was bringing Republicans &amp; Democrats together to reauthorize &amp; strengthen the Older Americans Act. The dozens of critical programs funded by the OAA are more important than ever during #COVID19. Learn more👇 https://t.co/1DUnm5YP4u,2020-10-14 21:14:49,Twitter for iPhone,3,6,covid; 
Just wrapped up my Facebook Live Roundtable discussing Older Americans Act services and resources for age 55+ Nevadans.   Especially right now during #COVID19 our seniors are counting on us to support and fund these critical services. I’m making sure of it. https://t.co/eLFP6hsYKD,2020-10-14 21:14:49,Twitter for iPhone,4,20,covid; 
HAPPENING NOW: I’m hosting a Facebook Live to discuss the Older Americans Act resources available to age 55+ Americans.   Especially during #COVID19 we have to look out for our older populations. Join us now to learn more about those resources! 👇 https://t.co/xljbsH2jUp,2020-10-14 18:03:58,Twitter for iPhone,1,7,covid; 
Every small business owner knows that time is precious.  Saving time on the #PPP loan forgiveness application makes a huge difference as NV small businesses continue to work their tails off through #COVID19. I’ll keep fighting for our small businesses. https://t.co/JMrv2Xaezi,2020-10-13 19:14:25,Twitter for iPhone,2,7,covid; 
Contact tracing is crucial for us to make it through the pandemic. Wash your hands wear a mask and download @NVHealthRespon1 COVID Trace app.   Find out more at https://t.co/jT8MztwUfT,2020-10-13 17:29:27,Twitter for iPhone,2,21,covid; 
Senator Scott said “I don’t get it” to why we’re pushing for a bipartisan #COVID19 relief deal. Let me introduce you to some of my constituents who might be able to help the Senator “get it.” https://t.co/Lw5JL7lbad,2020-10-10 19:33:13,Twitter Web App,14,44,covid; 
There is nothing more important than passing more #COVID19 relief.  Bipartisan negotiations fueled by our @ProbSolveCaucus framework are moving the needle. We can’t throw that away  https://t.co/xa7sxCrkdO,2020-10-08 22:25:29,Twitter for iPhone,3,9,covid; 
For millions like Matt an @IATSE member and Las Vegas entertainment worker there’s just no work in his industry right now.  Millions of Americans like him are counting on Republicans and Democrats in Washington to pass more #COVID19 relief. https://t.co/DL9wSjVHzb,2020-10-08 18:12:43,Twitter for iPhone,6,14,covid; 
It was great meeting with my constituents in Laughlin one of my favorite #NV03 towns. I sat down with small business owners affected by #COVID19 local orgs. and dozens of Laughlin residents to talk about where we’re at and where we’re going.  https://t.co/XLWQLlzitz,2020-10-08 16:40:00,TweetDeck,2,11,covid; 
A Supreme Court nominee will not help the 1000s of Nevadans who are about to have their utilities shut off.  To Democrats Republicans &amp; Pres. Trump: if you care about helping Americans make it through this pandemic there is no higher priority than passing more #COVID19 relief. https://t.co/TdV1OQ41ep,2020-10-07 23:46:41,Twitter for iPhone,5,29,covid; 
Ending #COVID19 relief negotiations means leaving millions of struggling Americans without a lifeline in the middle of a pandemic.   To the President and to my Democratic and Republican colleagues we cannot walk away from this. @ASP  https://t.co/mESfgTlSS3,2020-10-07 21:54:09,Twitter for iPhone,11,50,covid; 
Matt an @IATSElocal720 member is a convention and entertainment professional in Las Vegas. This industry especially in southern NV has been devastated by #COVID19.   For him and other @IATSE workers there’s just no work right now. They need relief. https://t.co/JGyU1iOy0s,2020-10-05 20:39:09,Twitter for iPhone,23,39,covid; 
Carlos a @Culinary226 member has been a baker at Treasure Island for 27 years.   He’s done everything right he’s worked hard but still #COVID19 has put him out of a job. He’s asking one thing of representatives like me. Pass relief for Nevada workers like him. https://t.co/CIG1w2fCVX,2020-10-05 17:55:15,Twitter for iPhone,15,34,covid; 
Please listen to Samantha’s story. She lost both of her jobs in Las Vegas because of #COVID19 and hasn’t been able to find work since.   This is the story of millions of Americans and for all of them Congress needs to pass relief. Real relief. Now. https://t.co/GjDnYnQsbw,2020-10-05 16:37:51,Twitter for iPhone,14,26,covid; 
#ICYMI: I released my 2020 3rd Quarter report. Right now I am a single-issue congressperson and that issue is #coronavirus relief. That’s what I’ve focused on these last three months and what I’ll continue to focus on. https://t.co/9AiZMY3xw5,2020-10-04 22:19:23,Twitter for iPhone,10,20,corona; 
Please please please: Get tested for #COVID19 if you think you’ve been exposed or are experiencing symptoms.,2020-10-02 19:41:35,TweetDeck,10,46,covid; 
As a member of the bipartisan @ProbSolveCaucus I’m proud that our bipartisan COVID-19 relief proposal helped restart negotiations. 4/6,2020-10-02 02:21:30,Twitter Web App,0,8,covid; 
For months I’ve been saying we need a #COVID19 relief package that can actually pass the House AND Senate. That means we need support from Democrats AND Republicans.   Our @ProbSolveCaucus proposal jump started negotiations. Let’s follow through and get this done. https://t.co/Chxt2HS8qk,2020-09-30 23:05:48,Twitter for iPhone,9,6,covid; 
Our @ProbSolveCaucus #COVID19 relief proposal jump started negotiations &amp; can actually get across the finish line.  Our proposal includes stimulus checks expanded unemployment benefits relief for schools &amp; states &amp; most importantly support from BOTH parties.   Who's with us? https://t.co/522Mc3bzwQ,2020-09-30 16:33:44,Twitter for iPhone,76,111,covid; 
My statement on Congress's ongoing #COVID19 relief negotiations: https://t.co/RvaeItjwMD,2020-09-30 00:44:26,Twitter for iPhone,3,12,covid; 
🚨HAPPENING NOW🚨 My Facebook Live Roundtable with Nevadans who lost their jobs because of #COVID19 and are now going through the unemployment assistance process. Tune in: https://t.co/sNRKPE6Jqn,2020-09-29 17:02:56,Twitter for iPhone,4,3,covid; 
I also stopped by The Blue Lagoon a great local lounge next door to Bruce’s. Kevin &amp; Suzy Cooper put their life into their business &amp; thankfully were able to stay open w/hard work &amp; the help of #COVID19 relief.  I’ll keep fighting for our small businesses. (Photo @laughlinbuzz) https://t.co/lVx2FJQPix,2020-09-26 21:19:08,Twitter for iPhone,1,6,covid; 
Bruce’s Taste of Chicago in Laughlin was one of many restaurants hurt by #COVID19.  But the owners Bruce &amp; Brandy Munro hung in there. They got federal relief &amp; were able to weather the storm. So happy to see their doors open.  And Bruce I’ll come back soon for some karaoke 🎤 https://t.co/rxwAL1K5XW,2020-09-26 21:07:26,Twitter for iPhone,4,29,covid; 
The #HeroesAct passed back in May by the House has the funding our schools need. I also unveiled a bipartisan proposal with my @ProbSolveCaucus colleagues which includes vital #COVID19 education funding. No. More. Waiting. Let’s get this done.  https://t.co/BK83nngbtX,2020-09-24 23:06:37,Twitter for iPhone,13,11,covid; 
We need to invest in the long-term health of our economy to rebound as best we can from #COVID19.   Registered Apprenticeships are the nation’s most successful federal workforce training program. The National Apprenticeship Act is where our investment begins. https://t.co/2y2idj2Z6P,2020-09-24 18:30:00,TweetDeck,1,4,covid; 
We ask so much of our first responders especially right now during #COVID19. Just like all Americans they deserve access to mental health resources. That’s why I support @RepBera’s HERO Act. https://t.co/uGW6NF3Rql,2020-09-24 00:35:31,Twitter for iPhone,8,22,covid; 
Right now I’m a single issue congressperson and that issue is #COVID19 relief.   That’s why I’m taking a stand with @RepGolden and my colleagues to keep the House in session until a coronavirus relief deal is reached. https://t.co/swkI7qrSh2,2020-09-23 21:23:57,TweetDeck,34,113,covid; corona; 
My heart is with the 200000 Americans who have died from #COVID19. It didn’t have to come to this. https://t.co/Nb7yDeet4C,2020-09-22 16:37:36,Twitter for iPhone,12,107,covid; 
ICYMI: Our @ProbSolveCaucus bipartisan March to Common Ground #COVID19 relief proposal is real concrete action that will help Americans (and can actually get across the finish line in Congress). Learn more👇 https://t.co/bVShwdWjiA,2020-09-19 22:10:18,Twitter for iPhone,1,13,covid; 
@lvchamber That's why I just helped unveil a bipartisan relief proposal with my @ProbSolveCaucus colleagues which includes $290 billion in #coronavirus relief for small businesses and NPO’s. Learn more:  https://t.co/A1uiYkmTfM,2020-09-18 19:52:30,TweetDeck,1,4,corona; 
I can’t repeat this enough: Americans cannot wait until 2021 for the next #COVID19 relief package.  Our bipartisan March to Common Ground relief plan is real concrete action that will help Americans.   It’s worth a look. It’s worth a vote. https://t.co/60X5dEieLz,2020-09-18 00:08:29,Twitter for iPhone,3,17,covid; 
Terms like ‘Chinese virus’ ‘Wuhan virus’ &amp; ‘Kung-flu’ are racist.   #COVID19 has unleashed a wave of hate against our country’s #AAPI community. Today I’m standing with @RepGraceMeng to say no and condemn this hate with full force. https://t.co/sx9DaAo8uy,2020-09-17 23:50:37,Twitter for iPhone,15,62,covid; wuhan virus; 
$1200 stimulus checks $145 billion for schools and child care $500 billion for state and local governments  Extra $450/person (min.) in unemployment &amp; more  We’ve got a bipartisan #COVID19 relief plan that can get across the finish line. Who’s with us? https://t.co/bVShwdWjiA,2020-09-17 22:36:53,Twitter for iPhone,97,265,covid; 
.@realdonaldtrump is on board with our bipartisan #COVID19 relief package.   No more excuses. We need everyone working together to get Americans the relief they need. This is a good start.   Who else is with me and @MarkAmodeiNV2? https://t.co/X8pdfteJo0,2020-09-16 23:02:35,Twitter for iPhone,3,25,covid; 
Read more about the @ProbSolveCaucus March to Common Ground #COVID19 relief package👇 https://t.co/BK83nngbtX,2020-09-16 16:52:19,Twitter for iPhone,1,4,covid; 
No more excuses. No more politics.   We’re proposing a bipartisan #COVID19 relief deal that can get across the finish line. @ASP   https://t.co/pOd2mwoPpL,2020-09-16 16:52:19,Twitter for iPhone,1,12,covid; 
Our @ProbSolveCaucus March to Common Ground #COVID19 Framework is an objective  bipartisan guideline to get leaders to return to the table.  I can't repeat this enough: American families small businesses &amp; communities cannot wait until 2021 for action. https://t.co/1xkzUsib5o,2020-09-16 16:23:21,TweetDeck,5,7,covid; 
That’s why I’m proud to join my Problem Solvers Caucus colleagues in unveiling our "March to Common Ground" COVID-19 Framework as an objective bipartisan guideline to get leaders to return to the table and get a deal done. 5/6,2020-09-15 23:57:24,Twitter Web App,1,3,covid; 
Earlier today my bipartisan @ProbSolveCaucus colleagues and I unveiled our "March to Common Ground" COVID-19 Stimulus Framework. Let me tell you why this matters. 1/6 https://t.co/BK83nngbtX,2020-09-15 23:57:23,Twitter Web App,2,7,covid; 
LIVE NOW: 26 years ago this week the Violence Against Women Act was signed into law. Join me and Nevada domestic violence service providers to learn why #VAWA is so critical and how #COVID19 has impacted our community's domestic violence resources. https://t.co/wQmezdchof,2020-09-15 18:01:54,Twitter Web App,4,9,covid; 
Four ‘Stop Swab &amp; Go’ #COVID19 testing sites are open in southern Nevada.  Book appointments at https://t.co/W2ks2E8Kwu. https://t.co/DyihZNM93G,2020-09-14 20:35:27,TweetDeck,8,14,covid; 
We have a chance again to put #COVID19 in our rear-view mirror.   To do that we need an actual national testing/tracing plan federal funding for states and actual leadership from this administration. We can’t afford anything less. https://t.co/hTISbeflQz,2020-09-14 20:01:14,TweetDeck,3,16,covid; 
This grant for @ClarkCountySch is a great step towards providing a safe school environment during #COVID19.  But ultimately we still need to pass #COVID19 relief to get our schools the resources they need to safely reopen. I’m talking about the relief we passed in the #HeroesAct https://t.co/Wc4cI93RmB,2020-09-13 21:08:28,Twitter for iPhone,3,9,covid; 
Today I toured Nevada’s Operations Center PPE Warehouse with @NVNationalGuard.  During #COVID19 our National Guardsmembers have been working day and night to get PPE to our frontline workers and we owe them our thanks and our support for their hard work. https://t.co/blbavPDwKV,2020-09-10 22:41:35,Twitter for iPhone,10,35,covid; 
The ‘Stop Swab and Go’ Campaign is underway in southern Nevada! Drive-thru and free of charge #COVID19 tests will be available around the Las Vegas Valley. Learn more here: https://t.co/rXZ76QJ2BG https://t.co/FBudGDlf7N,2020-09-08 20:59:05,Twitter for iPhone,3,3,covid; 
1 in 5 Nevadans are food insecure since #COVID19 began.   Our families need help. We need to extend the $600/week in emergency unemployment and pass #COVID19 funding for food/nutrition.  https://t.co/wgLLEsu2Qm,2020-09-08 20:36:09,Twitter for iPhone,8,17,covid; 
There’s no bigger motivation to come together to pass a #COVID19 relief package than our children. Well right now we’re failing them.   The #HeroesAct includes billions for child care school safety healthcare nutrition etc. That’s what our kids need. https://t.co/E3RxaMGDXl,2020-09-06 23:36:13,Twitter for iPhone,8,26,covid; 
The ‘Stop Swab and Go’ Campaign is underway in southern Nevada! Drive-thru and free of charge #COVID19 tests will be available around the Las Vegas Valley. Learn more here: https://t.co/rXZ76QJ2BG https://t.co/rh8EJaRO9N,2020-09-04 21:12:27,Twitter for iPhone,8,11,covid; 
Thanks to @NSEAOnline &amp; everyone who joined us tonight to talk about supporting our kids and students during #COVID19.  Bottom line: if we want to support our kids reopen schools &amp; put this pandemic in our rear view mirror we need to invest in our country.  Pass the #HeroesAct https://t.co/tU9ythCfAd,2020-09-03 01:28:19,Twitter for iPhone,8,23,covid; 
FB LIVE STARTING NOW: Join me and @NSEAOnline for a discussion about supporting our kids and students during #COVID19.   Join us now on my Facebook page:  https://t.co/RZ36O4Z7D2,2020-09-02 23:35:57,Twitter for iPhone,3,6,covid; 
TODAY AT 4:30pm PT: @NSEAOnline and I will be on Facebook Live to talk about support and services for our children during #COVID19.  That includes our dire need to pass a relief package ASAP. #FamiliesFirst  Join us then on my Facebook page: https://t.co/6rqwvOhAhd https://t.co/0zkP2wxsTn,2020-09-02 19:18:04,TweetDeck,4,6,covid; 
TODAY at 4pm PT: I’m holding a Hispanic Education Facebook Live Roundtable with southern Nevada teachers faculty and community leaders to talk about education in the Hispanic community during and after #COVID19.   Join us on my Facebook page: https://t.co/6rqwvOzbFN https://t.co/F6FlH8EwHY,2020-09-01 19:41:08,TweetDeck,1,0,covid; 
TOMORROW: I’m holding a Hispanic Education FB Live Roundtable with southern NV teachers faculty &amp; Hispanic community leaders to talk about #COVID19 K-12 &amp; higher education diversifying the teacher pipeline and supporting HSIs like @UNLV.   Join us tomorrow at 4:00pm PT! https://t.co/VnyXEbc5jK,2020-08-31 23:00:00,TweetDeck,2,3,covid; 
Reminder: I’m holding a Hispanic Education Facebook Live roundtable with NV teachers faculty &amp; Hispanic community leaders to talk about #COVID19 inequities in K-12 and higher education diversifying the teacher pipeline and supporting HSIs like @UNLV.  This Tuesday at 4pm PT! https://t.co/6rl3LLtPfq,2020-08-30 22:55:15,Twitter for iPhone,4,5,covid; 
It’s almost a month since the emergency $600/week in unemployment benefits expired. Rent is due in a couple days. This school year is underway with little help or federal relief.    Time isn’t running out. Time is up. We need to pass #COVID19 relief.,2020-08-30 19:13:38,Twitter for iPhone,32,101,covid; 
Special education is already grossly underfunded and the pandemic obviously isn’t helping.    We have to support students with special needs during #COVID19.,2020-08-27 21:15:00,TweetDeck,8,58,covid; 
This step by @GovSisolak can help Nevadans in the short term but we need to keep working towards a long-term solution for the 30+ million Americans out of work because of #COVID19. I‘ll keep leading the charge in Congress to pass an emergency extension to the $600/week in UI. https://t.co/7KSKSr7B2x,2020-08-27 00:08:35,Twitter for iPhone,5,19,covid; 
To get the health care they deserve veterans need access to expanded telehealth services during #COVID19. That’s exactly what my bill does: https://t.co/pLBI20gp2h,2020-08-26 22:00:00,TweetDeck,2,6,covid; 
The Older Americans Act funds vital programs for 55+ Americans like @_MealsOnWheels legal and transportation services caregiver services and more.   #COVID19 makes these services even more crucial. We’re calling on Congress to pass emergency funding to support the #OAA. https://t.co/sIsZzgWUeO,2020-08-26 19:27:44,TweetDeck,3,11,covid; 
Mañana a las 6pm PT @UWSN tendrá un seminario en línea y en español para hablar sobre la salud mental en la comunidad latina e hispana durante la pandemia y para ofrecerles a los hispanohablantes un foro para hacer preguntas sobre el #COVID19. https://t.co/dRjit5HAjP,2020-08-25 22:18:48,Twitter for iPhone,0,0,covid; 
Tomorrow at 6pm PT @UWSN is hosting a Spanish-language webinar to address mental health during the pandemic in the Latino and Hispanic community and to give Spanish speakers a platform to ask questions about #COVID19. Learn more⬇️ https://t.co/SolsHtsbbq,2020-08-25 22:18:47,Twitter for iPhone,0,0,covid; 
Let’s remember a big reason why we’re here today and why we need to keep fighting to pass a #COVID19 relief package and $600/week unemployment benefits ASAP.  #DontMessWithUSPS https://t.co/NhXN3Sapi5,2020-08-22 22:47:43,Twitter for iPhone,10,42,covid; 
@MarkAmodeiNV2 Read our letter to leadership led by @RepGolden and @RepBrianFitz calling to bring both parties together to pass a comprehensive bipartisan #COVID19 relief package: https://t.co/L58gkCnC0G,2020-08-20 21:55:54,TweetDeck,2,17,covid; 
.@MarkAmodeiNV2 and I joined 16 of our Republican and Democratic colleagues to call on Congress to come together to resume #COVID19 relief negotiations immediately. Our joint statement: https://t.co/liRrmW60ZW,2020-08-20 21:53:08,TweetDeck,17,60,covid; 
WE'RE LIVE!   I'm talking with @nevadapta president Rebecca Garcia and CCSD teachers and parents about how to start this school year off right and how to support working parents and CCSD students during #COVID19. @rebsgarcia   Join us now:  https://t.co/x01fuBvE1A,2020-08-20 00:31:52,Twitter for iPhone,2,4,covid; 
TONIGHT join me and @nevadapta for an FB Live discussion at 5:30pm PT.  We’ll be talking about how to start the school year off right and how to support working parents and CCSD students during #COVID19.  Join us then ask some questions &amp; get some info: https://t.co/6rqwvOzbFN https://t.co/ch4KpoZgR0,2020-08-19 19:53:16,TweetDeck,3,6,covid; 
Rescuing the Postal Service is crucial but Americans are still struggling through #COVID19. We need to get a lifeline to the 30 million Americans relying on the $600/week in unemployment benefits.  We’re calling for a vote as soon as possible to extend those vital benefits. https://t.co/q4BKGmmhxm,2020-08-19 19:25:04,TweetDeck,6,20,covid; 
.@SenJackyRosen and I are LIVE NOW for our #COVID19 child care roundtable.  We're talking with Nevada child care professionals about what we need to do to help our working families.   Tune in now👇 https://t.co/dy6PRIebL6,2020-08-19 18:09:03,TweetDeck,3,9,covid; 
TODAY at 11:00am PT: Join me and @SenJackyRosen for a roundtable about child care during #COVID19.   We’ll be talking with NV child care professionals about how to best make child care available &amp; accessible for working families.  Join us then on FB live: https://t.co/6rqwvOzbFN,2020-08-19 15:53:08,TweetDeck,5,27,covid; 
🚨LIVE NOW🚨 I’m sitting down with @CSNCoyote to talk about how we can support Nevada higher education and community colleges during #COVID19. Tune in on Facebook Live👇  https://t.co/DEWgk1qjeA,2020-08-18 17:03:42,TweetDeck,1,2,covid; 
The stats are clear: #COVID19 is disproportionately hurting Communities of Color in southern Nevada.   Congressional relief needs to reflect that. https://t.co/xVYOoXCA7n,2020-08-16 21:42:28,Twitter for iPhone,5,24,covid; 
Next Friday August 21 I’m hosting an all-day #COVID19 virtual resources fair for southern Nevadans. Ask and learn about:  ✅Unemployment  ✅Housing ✅Health care access ✅Job hunting ✅Veterans assistance and more  More details to come👇 https://t.co/pM9mVL00yV,2020-08-15 19:05:03,Twitter for iPhone,8,8,covid; 
On August 21 I’m hosting a #COVID19 virtual resources fair for southern Nevadans. Ask questions about:   ✅Unemployment  ✅Housing ✅Health care access ✅Job hunting ✅Veterans assistance and more  Details👇 https://t.co/K6wrewjKwM,2020-08-14 20:00:00,TweetDeck,0,1,covid; 
Mitch McConnell looks prepared to delay #COVID19 relief at least through August. That would be an utter disaster for Americans.    We need him to come to the table - where we’ve been for 3+ months - to negotiate relief for Americans.,2020-08-14 19:30:00,TweetDeck,6,31,covid; 
A massive 40% of the total unemployment from #COVID19 was in the hospitality industry. That’s Las Vegas.   Our workers need the relief the House passed in the #HeroesAct over 3 months ago. The political delays and stonewalling are going to cost jobs and lives.,2020-08-14 18:15:00,TweetDeck,14,72,covid; 
#COVID19’s impact on communities of color is a grim reminder that inequality has deadly consequences.  Yesterday I talked with Nevadans &amp; frontline workers about how we need to break down barriers to health care during this pandemic. Check it out👇 https://t.co/xG1lJGjkg3,2020-08-14 17:10:24,TweetDeck,7,10,covid; 
WATCH LIVE NOW: I'm hosting a Facebook Live roundtable right now on minority health during the #COVID19 pandemic. Tune in to learn more about this pressing topic. https://t.co/cghHYQJzJn,2020-08-13 21:09:24,Twitter Web App,1,0,covid; 
#COVID-19 has disproportionately impacted our communities of color. Join me tomorrow Aug. 13 for a Facebook Live roundtable with experts and frontline workers on what we need to do to address this disparity. https://t.co/Lro8vdg1T6,2020-08-13 01:33:00,TweetDeck,3,6,covid; 
#ICYMI: I had the honor to speak at the 2020 Virtual Southern Nevada Substance Misuse &amp; Overdose Prevention Summit. There are already signs that #COVID19 has made the substance misuse &amp; overdose epidemic worse. We can’t let this happen. https://t.co/ZifQ9yj0d2,2020-08-12 00:05:27,Twitter Web App,2,5,covid; 
The #COVID19 pandemic has been hard for our colleges &amp; universities which is why @UNLV @CSNCoyote &amp; @NevadaState receiving over $1.4 million in Student Support Services Program grants is such good news. I’ll continue fighting for funds like these!,2020-08-09 19:22:00,TweetDeck,6,33,covid; 
