date,national_incremental_cases,national_incremental_deaths
2020-07-13,60735.4,382.5
2020-07-14,65355.8,934.7
2020-07-15,68382.5,974.4
2020-07-16,75409.9,940.9
2020-07-17,70106.5,898.9
2020-07-18,61477,762.5
2020-07-19,61337.5,396
2020-07-20,58654.3,512.6
2020-07-21,65335.4,1107.6
2020-07-22,68618,1130.7
2020-07-23,69242.8,1084.7
2020-07-24,72694.4,1129.5
2020-07-25,66556.5,859.2
2020-07-26,53453.4,431.8
2020-07-27,58240.8,1676.4
2020-07-28,62257,1306.3
2020-07-29,66627.6,1377
2020-07-30,68487.7,1254.7
2020-07-31,68200.6,1411.3
2020-08-01,56533.1,1041.7
2020-08-02,49988.4,412.3
2020-08-03,47023,589
2020-08-04,52554.3,1343.1
2020-08-05,53597.7,1240.2
2020-08-06,56842,514.5
2020-08-07,60555.1,1313.3
2020-08-08,54508.6,963.3
2020-08-09,47624,528.8
2020-08-10,46678,525.1
2020-08-11,53176.3,1435.5
2020-08-12,53726.1,1447.1
2020-08-13,52457,1172.2
2020-08-14,58321.2,1136.9
2020-08-15,51167.2,1025.9
2020-08-16,41207.6,495.8
2020-08-17,36641.3,516.4
2020-08-18,41825,1317.7
2020-08-19,45162.9,1369.1
2020-08-20,45742.3,1034.2
2020-08-21,48031,1156.7
2020-08-22,44398,933.9
2020-08-23,31854.5,426
2020-08-24,40027.6,487.4
2020-08-25,39008.9,1192.5
2020-08-26,44531.7,1168.3
2020-08-27,45240.4,1118
2020-08-28,45767.3,981.4
2020-08-29,43942.2,862.5
2020-08-30,32934.2,365.7
2020-08-31,35924.6,480.3
2020-09-01,43625.7,1070.3
2020-09-02,31769.6,1070.4
2020-09-03,45003.7,1066.4
2020-09-04,55566.3,954
2020-09-05,41464.9,704.6
2020-09-06,29420.4,399.5
2020-09-07,24860.5,245.5
2020-09-08,28624.8,442.3
2020-09-09,33268.6,1158.9
2020-09-10,37803.2,903.1
2020-09-11,46775.1,1201.2
2020-09-12,39366.7,682.1
2020-09-13,33011.7,396.5
2020-09-14,36021.5,436
2020-09-15,38196.1,1252.9
2020-09-16,39406.1,988.9
2020-09-17,44895.8,832.3
2020-09-18,48070.3,918.4
2020-09-19,41078.2,668.1
2020-09-20,35726.8,205.7
2020-09-21,54174.1,409.3
2020-09-22,36626.9,939
2020-09-23,41683.2,1071.9
2020-09-24,44466.8,862.2
2020-09-25,53989.1,832.5
2020-09-26,42085.4,754.5
2020-09-27,36732.2,252.8
2020-09-28,36476.8,339.7
2020-09-29,42829,912.1
2020-09-30,41419,969
2020-10-01,45587.6,848.1
2020-10-02,52791.5,827.2
2020-10-03,46930.4,694.1
2020-10-04,34249.3,324.3
2020-10-05,61039.3,402.7
2020-10-06,42354.7,716.1
2020-10-07,51343.5,948.2
2020-10-08,54833.6,921.6
2020-10-09,58023.7,888.1
2020-10-10,50225.8,573.6
2020-10-11,44015.8,424.4
2020-10-12,47143.8,336.2
2020-10-13,53214.1,811.2
2020-10-14,60429.2,955.5
2020-10-15,64118.6,811.3
2020-10-16,69002.5,865.5
2020-10-17,51046.4,663.1
2020-10-18,46244.4,372.1
2020-10-19,63974.5,508.5
2020-10-20,60467.8,924.2
2020-10-21,63385.8,1160.7
2020-10-22,73813.1,824.1
2020-10-23,82581.6,889.7
2020-10-24,77580.3,857.8
2020-10-25,58629.1,336
2020-10-26,73423.6,538.8
2020-10-27,73022.3,966.5
2020-10-28,81754.1,1006.8
2020-10-29,88575.9,991.1
2020-10-30,96441.5,920.5
2020-10-31,76644.7,813.1
2020-11-01,79214,425.8
2020-11-02,91764.9,503.4
2020-11-03,92421.3,1135
2020-11-04,108181.7,1577.3
2020-11-05,119271.4,1085.5
2020-11-06,135961.6,1418.9
2020-11-07,122399.3,1008.4
2020-11-08,102173.8,439.1
2020-11-09,126038.7,713.9
2020-11-10,138524.5,1452.9
2020-11-11,142652.5,1429.3
2020-11-12,158633.4,1157.6
2020-11-13,183921.3,1569.3
2020-11-14,155092.3,1196.4
2020-11-15,132292.5,611.1
2020-11-16,161942.3,769
2020-11-17,159307,1587.3
2020-11-18,173033.8,1890.7
2020-11-19,184396,1947.6
2020-11-20,194290.6,1870
2020-11-21,167613.3,1412.8
2020-11-22,137897.3,830.1
2020-11-23,175711,974.9
2020-11-24,174677.5,2187.2
2020-11-25,183559.8,2272.8
2020-11-26,99149.5,1158
2020-11-27,199340.9,1353.2
2020-11-28,145333,1172.3
2020-11-29,135055.5,797.5
2020-11-30,163653.8,1231.4
2020-12-01,180168.3,2594.5
2020-12-02,201884.4,2829.4
2020-12-03,211991,2843
2020-12-04,230898.8,2536.2
2020-12-05,200501.5,2146.6
2020-12-06,168506.1,1072.7
2020-12-07,195202.7,1425.2
2020-12-08,212402.1,2755.1
2020-12-09,223872.8,3200.2
2020-12-10,220010.8,2909.6
2020-12-11,274856.1,2799.7
2020-12-12,201304.7,2230.2
2020-12-13,179144.3,1328.3
2020-12-14,194385.4,1584.4
2020-12-15,198591.5,3005.5
2020-12-16,247516.2,3552
2020-12-17,233366.2,3262.2
2020-12-18,244836,2741.4
2020-12-19,192615.3,2528.9
2020-12-20,173233.9,1383.8
2020-12-21,193833.4,1795.1
2020-12-22,197284.5,3202.3
2020-12-23,224805,3405.5
2020-12-24,187781.6,2760.4
2020-12-25,94636.3,1089
2020-12-26,211286.4,1600.9
2020-12-27,149700.2,1177.4
2020-12-28,181450.4,1816.4
2020-12-29,193757.9,3589.9
2020-12-30,225191.1,3659.6
2020-12-31,226055.1,3430.3
2021-01-01,141793,1764.4
2021-01-02,281963.7,2340.9
2021-01-03,197282.5,1294.6
2021-01-04,241889,1941
2021-01-05,226836.3,3644.2
2021-01-06,253510.7,3933.2
2021-01-07,270823.2,4053.4
2021-01-08,290080,3739.4
2021-01-09,243961.1,3214
2021-01-10,199853.3,1696.5
2021-01-11,219572.2,1844.6
2021-01-12,222879.5,4328.1
2021-01-13,226694.5,3855.4
2021-01-14,241929.1,3917.7
2021-01-15,231602.2,3519.3
2021-01-16,194553.2,3260.9
2021-01-17,162939.1,1651.6
2021-01-18,135774.8,1389.1
2021-01-19,175972.4,2666.2
2021-01-20,187632.1,4342.1
2021-01-21,183804.1,4035.1
2021-01-22,183212.8,3603.5
2021-01-23,161009.1,3240.3
2021-01-24,123640.6,1723.1
2021-01-25,149565.6,1764.1
2021-01-26,143866.5,3979.1
2021-01-27,155189.8,4058.2
2021-01-28,157662.4,3808.4
2021-01-29,158589.7,3463.9
2021-01-30,127234.1,2478.9
2021-01-31,107429.2,1714.7
2021-02-01,133740.6,1913.2
2021-02-02,113744.9,3484.9
2021-02-03,119486.6,3781.7
2021-02-04,122447.9,5070.2
2021-02-05,125764.2,3290.7
2021-02-06,98913,2539.2
2021-02-07,81444.8,1184.2
2021-02-08,87111.2,1416.7
2021-02-09,91040.1,3081.4
2021-02-10,94529.2,3127.6
2021-02-11,101606.8,3820.2
2021-02-12,95374.4,5314.6
2021-02-13,80877.8,3290.6
2021-02-14,59851.1,1000.1
2021-02-15,51457.2,859.7
2021-02-16,61200.5,1613.1
2021-02-17,69416.5,2384
2021-02-18,65017.4,2582.3
2021-02-19,72959.2,2408.4
2021-02-20,64133.1,1751
2021-02-21,51396.5,1131.2
2021-02-22,54832.6,1290.5
2021-02-23,66637.5,2248.8
2021-02-24,71764.6,3193.4
2021-02-25,75127.9,2444.6
2021-02-26,73235.2,2061.5
2021-02-27,57692.8,1468.5
2021-02-28,45663.2,1026.5
2021-03-01,52744.5,1348.1
2021-03-02,53664.3,1244.9
2021-03-03,65028.5,2243.7
2021-03-04,62798,1882.1
2021-03-05,60791.2,2410
2021-03-06,51280.7,1384
2021-03-07,34897.1,595.4
2021-03-08,86343.9,770
2021-03-09,51149.9,1815.8
2021-03-10,57558.2,1426.8
2021-03-11,57411.8,1454.2
2021-03-12,59410,1677
2021-03-13,46466,1787.9
2021-03-14,33894.1,479.1
2021-03-15,51948.8,704.1
2021-03-16,50308.3,1171.3
2021-03-17,57419,1149.7
2021-03-18,57689.7,1504.1
2021-03-19,58023.4,1472.1
2021-03-20,51060.5,717.3
2021-03-21,34082.2,424.7
2021-03-22,50578.9,624.8
2021-03-23,52612.3,923.4
2021-03-24,67100.5,1342.6
2021-03-25,63706.7,1226.8
2021-03-26,69313.4,1202.7
2021-03-27,56113.5,721.9
2021-03-28,39666.7,423.5
2021-03-29,64146.9,579.8
2021-03-30,59246,904.3
2021-03-31,67615.7,1064.2
2021-04-01,71509.4,901.8
2021-04-02,63489.7,879.6
2021-04-03,60191.2,676.2
2021-04-04,33000.8,203
2021-04-05,71667.6,465.6
2021-04-06,58075.1,871.2
2021-04-07,72556.8,2520.6
2021-04-08,75078.6,942.8
2021-04-09,76317.6,895.7
2021-04-10,61045.5,657
2021-04-11,44801.7,232.6
2021-04-12,67925.8,405.2
2021-04-13,73088.8,930
2021-04-14,75629.3,837.6
2021-04-15,72617,892.5
2021-04-16,74197.4,890.4
2021-04-17,51915.1,627
2021-04-18,38789,1324.5
2021-04-19,65763.6,439
2021-04-20,57145.7,771.8
2021-04-21,64410.8,828.1
2021-04-22,62698.2,821.7
2021-04-23,61117.9,843.7
2021-04-24,48121,655
2021-04-25,31643.4,243
2021-04-26,44613.7,447.1
2021-04-27,49754.9,683.2
2021-04-28,55635.3,951.2
