💫When COVID-19 disproportionately attacked our communities-of-color I worked to bring testing sites to #Brooklyn 💫When our small businesses &amp; essential workers needed financial relief I worked to direct resources and extended aide to businesses and families in Brooklyn. https://t.co/byUHWxSorE,2020-06-22 23:53:34,Twitter for Android,3,6,covid; 
"It's all coming down to women and how they're able to maintain a sense of normalcy for themselves and/or their loved ones. The common thread boils down to how the economy will look like after we get through COVID-19." - YDC,2020-05-18 19:14:57,Twitter Web App,0,0,covid; 
.@audreygelman just said it best: #COVID19 has had a disproportionate impact on women and we must join together to find ways to rebuild 🦾 @the_wing #BusinessAsUnusual,2020-05-18 19:09:01,Twitter Web App,2,7,covid; 
Women are on the front lines of the COVID-19 crisis — in more ways than one. Today at 3pm EST join me for a FREE event  — dedicated to helping women get back on their feet and chart a path towards a new normal.  https://t.co/9ychanT8R4 https://t.co/EJk8FtLa1S,2020-05-18 11:29:12,Twitter Web App,7,7,covid; 
This wasn’t COVID19’s fault. The pandemic has only exposed the fault lines already present in our communities. It’s time for Medicare for All. https://t.co/UzknAGiCG9,2020-05-14 16:05:07,Twitter for iPhone,2,0,covid; 
Catch me LIVE on Max and Murphy (with hosts @TweetBenMax/@jarrettmurphy) tomorrow at 5:30pm where I’ll be discussing the implications of COVID19 on our community and the primary election (June 23rd)!,2020-05-12 21:42:30,Twitter for iPhone,2,1,covid; 
It's a cruel fact that my community has been disproportionately affected by the #COVID19 crisis. Beginning today temporary testing sites will be opening at a number of churches in our district. (cc: @hakeem_jeffries/ @ReElectNydia) https://t.co/6K004ne5ms,2020-05-12 12:49:40,Twitter Web App,3,3,covid; 
As our communities continue to grapple with the massive loss of life loved ones and livelihood and are trying their best to comply with new social norms to prevent the spread of the COVID19 under extremely difficult circumstances.,2020-05-09 13:44:46,Twitter for iPhone,0,1,covid; 
Mayor @BilldeBlasio we must do better. We cannot aggressively police strong arm and/or intimidate the very communities most hardest hit and traumatized by the outbreak of COVID19. https://t.co/FLkVNitTOg,2020-05-09 13:44:46,Twitter for iPhone,3,4,covid; 
Tonight at 7pm join me and Pastor Charles from @CRC_BK for a Facebook LIVE conversation on COVID-19 and its impact on our community. https://t.co/eaUPG6Ku54,2020-05-04 18:54:08,Twitter Web App,1,0,covid; 
Tonight at 7pm  ‼️‼️‼️ I will be on @News12BK to answer questions from viewers around COVID-19 our June primary and the Census. Watch LIVE: https://t.co/4hbMUH48Th,2020-05-01 22:48:52,Twitter Web App,1,0,covid; 
Millions of people are without work sick or have lost the fight with #COVID19 - and STILL @realDonaldTrump is more concerned about ratings than he is about human lives. This is not normal. https://t.co/bvRSUZ3eGz,2020-04-28 17:54:30,Twitter Web App,4,2,covid; 
ATTN BROOKLYN ❗️❗️❗️  There is a FREE COVID-19 testing site in the Sears Parking Lot in Flatbush (2307 Beverley Rd). If you or a loved one have symptoms and need to get tested you must call 1-888-364-3065 to make an appointment.   (via @clifenews) https://t.co/RhnHNrjw2z,2020-04-16 22:55:09,Twitter Web App,0,1,covid; 
.@NYCSchools is committed to making three free meals available daily for any New Yorker. Any New Yorker who wants one can get three free meals a day at more than 400 Meal Hubs across the city. More info: https://t.co/HCT15WFZKr #COVID19 https://t.co/cikMgaEC4C,2020-04-10 21:38:36,Twitter Web App,1,2,covid; 
Today is #WorldHealthDay. I  appreciate each and every healthcare provider that has been working diligently to save lives. But can we talk about black and brown women’s healthcare now? https://t.co/PkUyEmbHde  #COVID19,2020-04-08 00:11:51,Twitter Web App,2,1,covid; 
.@THECITYNY has published an incredible list of resources surrounding #COVID19 updates. Check it out 👉🏽 https://t.co/PU9fbm0Wey,2020-04-04 13:48:54,Twitter for iPhone,5,6,covid; 
Thank you for your support @SenatorParker and for helping to spread the information necessary to keep NY’ers safe and informed. #COVID19 https://t.co/spj7odqltV,2020-04-04 13:24:01,Twitter for iPhone,2,4,covid; 
Join me and @SenatorParker tomorrow at 6:30pm to chat about #COVID19! Link &gt;&gt;&gt; https://t.co/OQyQnmfrfD https://t.co/dfGCfQzRgD,2020-03-29 23:39:46,Twitter for iPhone,2,1,covid; 
We can not forget or underestimate the seriousness of our mental health crisis especially in the midst of #COVID19.   For FREE emotional support consultation and referral to a provider ☎️: 1-844-863-9314 https://t.co/UC3zEyEfOa,2020-03-28 16:04:43,Twitter for iPhone,1,0,covid; 
Today I voted in favor of the Coronavirus Aid Relief and Economic Security (CARES) Act which will put $15.5B in the hands of NYers. Our country and our state is facing an unprecedented healthcare and economic crisis. #COVID19,2020-03-27 22:35:26,Twitter for iPhone,1,0,covid; corona; 
It’s not a perfect bill but I will continue to lead the charge to ensure our community’s needs are addressed. #COVID19 https://t.co/PciMkSaCgr,2020-03-27 22:34:29,Twitter for iPhone,0,0,covid; 
While we are doing everything we can in Washington be sure to practice social distancing people! #COVID19 https://t.co/Jcqn34Nz9H,2020-03-26 16:24:46,Twitter for iPhone,2,2,covid; 
Thank you for sharing @ErinEBillups. It is so important to stay informed and share accurate information especially in these times. #COVID19 https://t.co/nbETMmjMLL,2020-03-25 17:26:16,Twitter Web App,1,1,covid; 
AT 7PM EST - join me @JumaaneWilliams @SenatorParker and @AssemblyLWalker where we will be answering your questions around the COVID-19 crisis and giving you the most up to date information. We are going LIVE on Facebook now! https://t.co/52PNf3RAX0,2020-03-22 23:00:39,Twitter Web App,5,6,covid; 
We'll be taking questions from the audience. Submit them below or through the form and we'll be sure to address them. #COVID19 #COVID19Chat,2020-03-21 22:04:30,Twitter Web App,0,0,covid; 
Join me @JumaaneWilliams @SenatorParker and @AssemblyLWalker tomorrow at 7pm for a virtual fireside chat where we will be discussing #COVID19 along with ways to stay safe and informed as we navigate this crisis as a community. RSVP here (https://t.co/NQRruoVLoP). https://t.co/XCIF0YiwBR,2020-03-21 22:04:29,Twitter Web App,5,3,covid; 
Today at 5PM ❗️❗️❗️. Tune in to @WBAI 99.5 FM where I’ll be calling in to speak with @JackHites and discuss the latest developments out of DC regarding the #coronavirus #COVID19,2020-03-19 16:34:10,Twitter for iPhone,0,2,covid; corona; 
The #COVID19 crisis will indubitably affect millions of Americans across our great nation. Now more than ever @senatemajldr MUST listen to the needs of the American people and push this through! https://t.co/FvmYVxnilu,2020-03-14 13:20:56,Twitter for iPhone,1,2,covid; 
We can't let #COVID19 affect the safety of the Census workers &amp; volunteers who are actively working in the community to ensure the #2020Census data is accurate. It's our responsibility to take actionable steps to ensure the health &amp; future of our democracy is not jeopardized.,2020-03-12 23:55:57,Twitter Web App,1,0,covid; 
☑️ Text COVID to 692 692 to receive updates on the coronavirus from the city.  Learn more by visiting the link and be sure to share it with your family neighbors and loved ones! #COVID19 #coronavirus:   https://t.co/X5gJ5jH3p7,2020-03-11 00:11:33,Twitter Web App,0,0,covid; corona; 
☑️ Create a household plan of action and plan ways to care for those who might be at greater risk for serious complications  ☑️ Wash your hands for at least 20 seconds and clean frequently touched surfaces and objects daily  #COVID19 #coronavirus,2020-03-11 00:11:32,Twitter Web App,0,0,covid; corona; 
The recent spread of the coronavirus is understandably a concern for many families in our community. As we continue to track the virus and its long and short term implications be sure to take the following steps #COVID19 #coronavirus:,2020-03-11 00:11:32,Twitter Web App,1,0,covid; corona; 
Tonight at 7:30ET❗️❗️❗️ I'll be hosting a virtual town hall alongside healthcare professionals to discuss the #COVID19 pandemic ways to stay safe along with what to do if you or a loved one are affected. Join by dialing 866-757-0651 (toll-free).,2020-03-09 20:33:58,Twitter Web App,1,2,covid; 
Sec. Carson and this Administration’s response to #COVID19 is irresponsible and shameful to say the least. Lives are at stake. It is time for @POTUS to get off the golf course step up and take this crisis seriously. https://t.co/VO9UJOir4e,2020-03-08 19:04:54,Twitter for iPhone,1,1,covid; 
