Please remember to wear a mask social distance avoid traveling and stay safe.,2020-11-27 00:11:26,Twitter for iPhone,66,634,social distance; 
Join my Facebook Live with Dr. Teisha Turner to talk about mental health awareness and resources during COVID-19 and the #JusticeForGeorge protests. We’re going live at 2pm PT on my Facebook. https://t.co/jMf3TeshNA,2020-06-03 17:14:09,TweetDeck,7,12,covid; 
This inequality is at the heart of every crisis we’re dealing with right now – the crises of police brutality and mass incarceration the #COVID19 public health crisis which is disproportionately affecting communities of color. #TRHT,2020-06-01 20:03:34,Twitter Web App,61,253,covid; 
The murder of #GeorgeFloyd and the current #COVID19 crisis illustrates once again the painful and dangerous legacy that white supremacy has had on our country and the desperate need to fully acknowledge and understand how our history of inequality continues today. #TRHT,2020-06-01 20:02:38,Twitter Web App,94,268,covid; 
Trump: -ignores an emerging health crisis for weeks -blames other countries for his lack of response -touts dangerous medical advice -pulls out of the WHO in the middle of a pandemic   His unscientific and negligent approach to COVID is a danger to our national security. https://t.co/661fwkAkHL,2020-05-29 20:45:06,Twitter Web App,47,146,covid; 
Our country has lost 100000 people to the COVID pandemic.   They are overwhelmingly our nation’s vulnerable – the poor the elderly and people of color.    As we mourn we have to address the inequalities that blocked so many from the care they needed. https://t.co/X0TrfJdDUz,2020-05-28 17:23:00,TweetDeck,47,144,covid; 
This is a tragedy.   100000 mothers fathers brothers sisters.  Trump refused to take action to stop the spread of COVID early — and this is the cost.  My thoughts and sincerest condolences are with the families and loved ones of these 100000 people.  https://t.co/vpXSQiYWwq,2020-05-28 01:22:07,Twitter for iPhone,52,137,covid; 
Black-owned businesses and entrepreneurs already face huge barriers to entry – COVID is only making it worse.  We need more relief aimed to help keep minority businesses afloat. https://t.co/FT5Ys9HMk6,2020-05-26 19:23:00,TweetDeck,36,78,covid; 
Completely not shocking that Trump launched another politically-motivated attack on reproductive health to distract from their botched coronavirus response.   At this moment we need more health care not less. https://t.co/ijsAIW1tXw,2020-05-26 16:40:30,TweetDeck,22,63,corona; 
Nearly 100000 Americans have died from COVID-19.  But yet Trump spends his weekends playing golf.   Let us take a moment to remember each of these individuals &amp; act to save lives. #StayHomeStaySafe https://t.co/PEqYtXmAyB,2020-05-24 16:41:50,TweetDeck,49,137,covid; 
During Asian Pacific American Heritage Month it’s more important than ever to stand in solidarity with the #AAPI community and denounce the alarming rise in anti-Asian bigotry we are seeing due to #COVID19. This is unacceptable and must end. #StopAAPIHate #APAHM2020,2020-05-24 15:48:00,TweetDeck,52,202,covid; 
Join me and @RepRoKhanna for an Instagram Live discussion on the race disparities of COVID-19 treatment + federal support.   Join us Today at 5:30pm PT/8:30pm ET! https://t.co/f4a06K0es9,2020-05-22 16:15:00,TweetDeck,21,40,covid; 
If you have lost a job or access to health care due to the COVID crisis affordable health insurance &amp; free testing is available at https://t.co/he9ingDYxT. More than 120K have signed up during this special enrollment period ending 6/30.,2020-05-21 23:30:14,Twitter Web App,21,27,covid; 
The American people don’t need more resources allocated to already bloated Pentagon spending.  Instead we should redirect these resources to combating #COVID19. https://t.co/FtDHXK6LyQ,2020-05-21 17:07:15,Twitter Web App,32,93,covid; 
Trump continues to blame other countries and organizations for his failure to respond to COVID.  The WHO isn't the reason we're in this crisis: your refusal to listen to scientific experts and recommendations is. https://t.co/A2Az3Zcidr,2020-05-19 16:47:00,TweetDeck,86,228,covid; 
Transit workers are working the frontlines of COVID everyday to get health care workers grocery store clerks and other frontline workers.  We need to ensure they’re protected as well. https://t.co/pEV5BnYpO9,2020-05-18 21:17:00,TweetDeck,13,61,covid; 
We are facing the worst health and economic crises of our lifetime. The #HeroesAct does critical work to keep families healthy and out of poverty.  But even before COVID 140 million people lived in poverty.  We need to challenge ourselves to rethink what we accept as “normal.” https://t.co/30VC4w8VDz,2020-05-15 21:22:30,Twitter Media Studio,59,123,covid; 
On #EndangeredSpeciesDay as we all focus on the COVID-19 crisis remember human health &amp; lives depend in so many ways on the health of wildlife. The biodiversity extinction on this planet is another crisis that will cause untold harm. We must defend the Endangered Species Act!,2020-05-15 20:54:35,Twitter Web App,35,77,covid; 
Immigrants pay taxes contribute to our communities and work on the frontlines of COVID.   They deserve access to vital resources too. #HeroesAct,2020-05-15 17:56:00,TweetDeck,97,403,covid; 
Thank you to the Oakland City Council for passing an emergency ordinance providing 80 hours of sick leave to workers affected by COVID-19. Should be the norm for all workers not just during crisis. https://t.co/PE3iFXhqfi,2020-05-14 01:22:00,TweetDeck,42,140,covid; 
HAPPENING NOW! Join me and @RepPressley on my Facebook page for a discussion on reproductive justice criminal justice and health disparities in COVID-19. https://t.co/NdXpQohcE8,2020-05-13 22:01:00,TweetDeck,6,11,covid; 
HIV – People living with #HIV disproportionately suffer from underlying immunosuppression that puts them at greater risk for COVID-19. The #HeroesAct gives additional funding to HIV/AIDS clinics to keep them open and funding to HUD to help keep roofs over people's heads. (6/6),2020-05-13 18:31:42,Twitter Web App,15,51,covid; 
Don’t miss out! @RepPressley and I will be discussing COVID-19 reproductive justice the criminal justice system and racial health disparities at 3pm PT on my Facebook page. Join us! https://t.co/NdXpQohcE8,2020-05-13 17:36:54,TweetDeck,21,57,covid; 
Want to know more about how COVID is affecting communities of color criminal justice and access to reproductive care? Join my Facebook Live with @RepPressley tomorrow at 3pm PT! https://t.co/NdXpQohcE8 https://t.co/qhSS2djqqU,2020-05-12 23:56:00,TweetDeck,26,57,covid; 
City and county governments are on the frontlines of the coronavirus crisis. If we’re going to keep people safe and healthy they need all the help they can get. https://t.co/2Z827tqmYc,2020-05-12 22:27:00,TweetDeck,7,20,corona; 
Communities of color and low-income communities were already at risk of being undercounted – and COVID-19 has only made that more likely.   Our communities literally can’t afford not to get counted. #GetCounted https://t.co/jTjt4nGDAi,2020-05-12 19:49:00,TweetDeck,36,59,covid; 
Join me and @RepPressley for a Facebook Live for a discussion about COVID's effect on abortion access criminal justice and racial disparities.   Join us on Wednesday at 3pm PT/6pm ET! https://t.co/AO7KkLCE6g,2020-05-11 23:04:00,TweetDeck,10,15,covid; 
Listen to medical experts! If you’re leaving the house it’s critical you wear a mask – for your safety and the safety of those around you. To paraphrase Smokey the Bear only you can prevent COVID spread! https://t.co/v30KEKg0xb,2020-05-11 21:46:00,TweetDeck,39,102,covid; 
Make no mistake: there’s no reason immigrants shouldn’t have access to COVID19 resources.   I’m pushing hard to ensure that no one is locked out of the next relief bill. #ForThePeople #PeopleOverProfits https://t.co/LO2rUa5SOY,2020-05-11 20:13:00,TweetDeck,33,89,covid; 
City of Berkeley is now offering free testing to anyone who lives or works in Berkeley and has symptoms of COVID-19. Call 510-981-5380 to speak to a nurse and make and appointment. https://t.co/9e4CXDPjoQ,2020-05-09 17:49:52,Twitter Web App,67,131,covid; 
Almost 40 million Americans lived in poverty before COVID.   With 20 million people newly out of work in April and millions more facing cutbacks that number WILL skyrocket.   We need to reprioritize and start putting #PeopleOverProfits. https://t.co/ybNOx1NxeG,2020-05-08 16:59:41,TweetDeck,47,101,covid; 
Essential workers.  Lack of access to health care.  Blocked from safe housing.   We know why communities of color are struggling under COVID. It’s past time to act. https://t.co/ciqoo9GmAz,2020-05-08 00:16:00,TweetDeck,25,67,covid; 
HAPPENING NOW: Join me and @liztheo to talk about the effect COVID is having on poverty around the country! https://t.co/6u9nTavjWg,2020-05-07 21:01:00,TweetDeck,18,50,covid; 
2PM PT: I’m hosting a Facebook Live with @liztheo from the Poor People’s Campaign to talk about poverty COVID and a just economy. Join us! https://t.co/7U7kgkiVMf,2020-05-07 18:34:00,TweetDeck,8,7,covid; 
We need COVID relief that gives direct cash payments to ALL households including:   👉🏾low- or no-income families that do not file tax returns👈🏾  👉families with ITINs including mixed-immigration-status families👈  #FundFamilies #COVID19,2020-05-07 17:06:00,TweetDeck,85,220,covid; 
Communities across the country are facing unique challenges to COVID19.   Clean tap water is just one of the ways rural communities poor communities and communities of color are struggling right now. https://t.co/VfKd5TvASn,2020-05-06 22:34:00,TweetDeck,14,29,covid; 
Our nurses are on the frontlines of COVID every day risking their lives to protect us. Let’s help our nurses combat this pandemic by continuing to take the necessary precautions.   To all nurses your expertise care and compassion are appreciated! #NationalNursesDay https://t.co/WWGUsTntrz,2020-05-06 19:57:00,Twitter Media Studio,25,79,covid; 
TOMORROW: I’m going Live with @liztheo from the @UniteThePoor to talk about how COVID is pushing more and more people into poverty around the country. Join us at 2pm PT! https://t.co/cYTvrVoApz,2020-05-06 16:53:00,TweetDeck,18,27,covid; 
A just response to the #COVID19 crisis must address racial and economic disparities in our county.   Today at 11am PT @USProgressives will discuss bold solutions to address this challenge and build a #PeoplesRecovery. Tune in ⬇ https://t.co/6HG8Lezbik,2020-05-06 15:20:22,TweetDeck,14,26,covid; 
Black women already die during child birth more than twice as often as white women.  If more of these clinics close because of COVID those rates will skyrocket.  #BlackMamasMatter https://t.co/CqLVGpxeaa,2020-05-05 22:34:00,TweetDeck,59,96,covid; 
It's never been more clear that #HousingIsHealthcare. Emergency #rentalassistance will not only keep the lowest-income families stably housed but it will also help to curb the spread of #COVID19 &amp; save lives. Let's take action! #RentReliefNow https://t.co/5snscmORqZ,2020-05-04 22:22:00,TweetDeck,39,100,covid; 
Spoiler alert: not well.  If the Trump Administration had taken COVID seriously from the start we could have had a much lower infection rate and fewer deaths.  Instead he chose to ridicule experts and put us all at risk. https://t.co/dvrhKDzIEl,2020-05-04 17:00:15,TweetDeck,46,127,covid; 
We know why communities of color are facing higher death rates from COVID — it’s time to target the resources where they’re needed so that everyone can stay healthy. https://t.co/0tainOQksu,2020-05-04 13:42:17,Twitter for iPhone,32,100,covid; 
Generational poverty environmental racism and health disparities leave communities of color more vulnerable to COVID – and less likely to recover.  We need to ensure EVERYONE has the resources needed to survive this pandemic and thrive once it’s over. https://t.co/EN0r7x3Jzq,2020-05-04 00:11:00,TweetDeck,70,142,covid; 
5G doesn’t spread COVID. Asian Americans aren’t more susceptible. Ingesting disinfectants won’t kill the virus.   Listen to health officials and experts – we need facts to stay safe not conspiracy theories. https://t.co/4S1BO16vm2,2020-05-03 15:39:00,TweetDeck,63,242,covid; 
TUNE IN: I'm joining #TheSipHour for a virtual Sunday Brunch with @HigherHeights on FB Live at 2:00 pm ET for a conversation with Black women on the politics of hair #COVID19’s impact on the beauty industry &amp; tips from celebrity hairstylists. https://t.co/O6xn1viS0s,2020-05-02 20:46:08,Twitter for iPhone,8,20,covid; 
Systemic and generational poverty is making the COVID-19 crisis worse for communities around the country.  We need to target resources to where they’re needed most – and ensure they can actually get there. https://t.co/tzUnxosDKs,2020-05-01 21:52:00,TweetDeck,95,236,covid; 
The last thing people need is elected officials playing politics with abortion coverage during a pandemic.  The same communities who bear the brunt of abortion bans like Hyde are also some of the most harmed by COVID-19.  It's unacceptable and I won’t stand for it. #BeBoldEndHyde https://t.co/fq3XdtWE2g,2020-05-01 18:49:00,Twitter Media Studio,53,184,covid; 
HAPPENING NOW: I’m LIVE with @CSIS Global Health Policy Center Director Dr. Stephen Morrison to talk about the COVID-19 pandemic. Tune in! https://t.co/6u9nTaMVkQ,2020-04-29 22:10:06,TweetDeck,7,9,covid; 
We cannot leave LGBTQ+ youth behind during the COVID-19 pandemic! LGBTQ+ youth are 120% more likely to face homelessness than their peers and they deserve to be centered in future coronavirus packages. #TrueColorsDay,2020-04-29 21:06:00,TweetDeck,53,192,covid; corona; 
Let me be clear: COVID-19 didn’t create poverty and inequality in the US it just exaggerated our existing crisis.   We need to ensure help is getting to those who need it most not the wealthy and well connected. https://t.co/boNJG5j66c,2020-04-29 20:03:00,TweetDeck,56,150,covid; 
TODAY: I’m hosting a Facebook Live with Dr. Stephen Morrison from @CSIS to talk about the COVID-19 pandemic. Join our discussion at 3pm PT! https://t.co/7sHDYU8tKc,2020-04-29 18:42:00,TweetDeck,14,13,covid; 
Got a question about the COVID pandemic? Submit it below for my Facebook Live with @CSIS Global Health Policy Center Director Dr. Stephen Morrison tomorrow at 3pm PT. https://t.co/llwB0LQuEv https://t.co/0Us8SnbmTk,2020-04-28 22:27:00,TweetDeck,12,17,covid; 
Asian Americans are still being targeted with racially charged Coronavirus epithets and physical attacks.   There is never an excuse for racism. https://t.co/a4pPSYPE8i,2020-04-28 20:47:00,TweetDeck,36,91,corona; 
We are failing communities of color.  We need data-based evidenced-based resources targeted to communities hit hardest by COVID. https://t.co/0yVmsdrDkY,2020-04-28 19:01:00,TweetDeck,24,51,covid; 
.@RevDrBarber is right – poverty was a national crisis long before COVID-19. It’s our moral obligation to ensure everyone has a roof over their head and food on their tables.  We can’t stop fighting poverty once this crisis is over. https://t.co/PEW03ccC1t,2020-04-28 17:33:00,TweetDeck,54,125,covid; 
WEDNESDAY: I’m hosting a Facebook Live with @CSIS Global Health Policy Center Senior Vice President and Director Dr. Stephen Morrison at 3pm PT. We’ll discuss international cooperation and global organizations during COVID-19. Submit a question below ⬇️ https://t.co/llwB0LyTfV https://t.co/q2osQCGCYa,2020-04-27 21:55:00,TweetDeck,10,15,covid; 
It’s outrageous that large companies got funds meant for mom and pop shops in the first place. This is why we need a COVID Oversight Committee to ensure that taxpayer money is going to who needs it the most. https://t.co/0SnUwoRJrH,2020-04-24 19:28:00,TweetDeck,76,224,covid; 
Many homeless Americans qualify for an Economic Impact Payment. Those who don’t normally file taxes have a quick and easy process to sign up with #IRS to get a payment. #COVIDreliefIRS https://t.co/p8YzpVvCJv,2020-04-24 16:34:25,TweetDeck,27,31,covid; 
Evidence is piling up that communities of color are bearing the brunt of COVID-19.   Congress has a duty to help -- it's past time for us to act. https://t.co/Vk9tT42Pll,2020-04-23 22:51:00,TweetDeck,25,81,covid; 
HAPPENING NOW: I’m talking about protecting people trapped in the criminal justice system and racial disparities in COVID-19 with @VanJones68! Join us: https://t.co/6u9nTavjWg,2020-04-22 23:00:00,TweetDeck,15,60,covid; 
NEW TIME: I’m hosting a Facebook Live with my friend @VanJones68 today at 4pm PT to talk about racial disparities in COVID-19 environmental justice and how to protect those trapped in the criminal justice system. Tune in! https://t.co/rxgWMPrr9L,2020-04-22 15:35:00,TweetDeck,11,22,covid; 
And there it is: Trump is using the coronavirus to push his xenophobic racist agenda. https://t.co/LpIB1ut4zz,2020-04-21 16:09:42,TweetDeck,85,245,corona; 
Join me today at 4pm PST/7pm EST for @_shethepeople town hall today about COVID-19’s impact on communities of color. We all must come together to protect our vulnerable communities.  Register here: https://t.co/TxpSHwt2Su,2020-04-20 21:08:00,TweetDeck,23,34,covid; 
I’ll be hosting a Facebook Live with my friend @VanJones68 to talk about the racial disparities in COVID-19 and how to protect those trapped in the criminal justice system. Fill out the form below if you have a question for either of us! https://t.co/BqtAi7kmVY https://t.co/ZI4V0Ku6wO,2020-04-20 18:29:00,TweetDeck,15,23,covid; 
I’m hosting a Facebook Live with @VanJones68 on Wednesday at 3pm PT about racial disparities in the coronavirus pandemic. Submit a question for us below! https://t.co/BqtAi72Lxo https://t.co/lwpGeMNNkz,2020-04-19 19:32:00,TweetDeck,16,29,corona; 
The stimulus check is intended to help individuals who need assistance during the #COVID19 outbreak. No one should be concerned that their checks can be garnished. That is why I am urging the IRS and Treasury to issue guidance to prohibit this. https://t.co/zQQal6Sm9N,2020-04-16 21:30:00,TweetDeck,50,111,covid; 
🚨🚨I’m LIVE on Facebook with UC Berkeley Professor Dr. Art Reingold to answer your questions about the COVID-19 pandemic. Tune in! https://t.co/y9T0PHaIDC,2020-04-16 01:00:00,TweetDeck,13,18,covid; 
We can’t let COVID increase the fault lines in our society. We need to #ReleaseTheData on racial disparities so that Congress can get help to communities of color. Glad to work with @RepPressley @RepRobinKelly @RepKarenBass and @SenWarren on this bill. https://t.co/aueeH8nD3x,2020-04-14 21:27:33,TweetDeck,34,125,covid; 
Yesterday California started issuing the additional federal unemployment benefits Congress passed.  While this Pandemic Additional Compensation money will help millions of families during this difficult time I am fighting for more relief for all those impacted.  #COVID19,2020-04-14 00:31:01,TweetDeck,30,123,covid; 
Do you need health coverage due to the #coronavirus? You can enroll now in a health plan through Covered California due to the #COVID19 crisis and may be eligible to receive financial help to reduce what you pay for coverage. Get started here. https://t.co/nF7rjtL4CQ,2020-04-13 21:22:00,TweetDeck,43,72,covid; corona; 
If you’re a renter or landlord here’s everything you need to know during the coronavirus pandemic. https://t.co/tWCAdU0qYX,2020-04-10 22:54:00,TweetDeck,36,79,corona; 
Communities of color are being hit harder by coronavirus – and Mitch McConnell and Senate GOP are refusing to help. It’s Congress’ job to keep everyone safe and healthy regardless of the color of their skin. We need the data! https://t.co/0Dl6eTxZEK,2020-04-10 18:46:46,Twitter Media Studio,59,140,corona; 
#COVID19 has proven how dangerous employer-based health care is.  We know the solution – it's time for #MedicareForAll. https://t.co/A29wxC6Ah4,2020-04-09 22:59:00,TweetDeck,94,307,covid; 
Communities of color are dealing with deadly #COVID19 outcomes because of structural racism.  Food deserts redlining discrimination in health care/housing have all caused increased rates of asthma diabetes heart disease and other COVID risk factors. https://t.co/uCQzUQAGrK,2020-04-09 17:56:00,TweetDeck,70,119,covid; 
Glad we were able to get a provision in the Senate bill requiring CDC to report racial data on COVID. Shameful that Senate Republicans just blocked it.     If Congress is going to help the country we need to know who's being affected.  https://t.co/hgzjP2K5JF,2020-04-09 15:54:31,TweetDeck,104,179,covid; 
TONIGHT – join me for my tele-town hall about #smallbusiness #unemployment and #paidleave assistance available during #COVID19! Call 866-757-0660 at or before 6pm (no access code required). https://t.co/UKTGHb5oXN,2020-04-08 23:24:00,Twitter Media Studio,28,69,covid; 
Decades of structural racism have prevented communities of color from accessing quality health care – and the coronavirus crisis is blowing these disparities wide open.    Congress needs the racial disparity data to address these issues. https://t.co/WYGIyV5w72,2020-04-08 17:21:19,TweetDeck,84,173,corona; 
TOMORROW: I’m hosting a tele-town hall at 6pm PT to keep you informed about resources available during the #COVID19 pandemic. I hope you’ll join me by calling 866-757-0660 at or before 6pm (no access code required). https://t.co/pSz1ThrubA,2020-04-07 23:02:00,TweetDeck,18,25,covid; 
Our health care system shouldn't prioritize profits over patients.   #COVID19 has just proven one thing – we need #MedicareForAll and we need it NOW. #WorldHealthDay,2020-04-07 19:49:00,TweetDeck,252,997,covid; 
-High blood pressure -Diabetes -Asthma   Communities of color across the country experience higher rates of conditions that put them at risk with #COVID19. We need accurate and up to date data on racial disparities during this pandemic. https://t.co/3BTbOxW0zL,2020-04-07 16:07:42,TweetDeck,53,97,covid; 
So great to see our communities coming together like this. Comment below with your friends neighbors or loved ones who have gone above and beyond to help others during the coronavirus crisis. https://t.co/RyreUw0Oeo,2020-04-01 22:11:00,TweetDeck,22,94,corona; 
The coronavirus crisis is hurting small businesses across the country. If you’re a small business owner and need help the @SBAgov has resources for you: https://t.co/izTZF5AmWb,2020-04-01 15:36:47,TweetDeck,30,37,corona; 
Great FAQ from @sfchronicle answering your most pressing coronavirus questions – including how to keep yourself safe when leaving the house. https://t.co/q5o9DSYpGO,2020-03-31 22:17:00,TweetDeck,18,29,corona; 
You can get fresh air while being socially distant! I took a walk and thought about the great education I got at @UCBerkeley – and students across the country who are struggling right now. The #CARESact provides student debt relief but we need to do more for #DebtFreeCollege. https://t.co/kwNKyRcclP,2020-03-30 23:54:01,Twitter for iPhone,27,173,socially distant; 
Preventing protecting people from the spread of coronavirus means everyone – including those in jail. We need to do more to keep inmates healthy. https://t.co/28lspyYlbh,2020-03-30 23:03:00,TweetDeck,35,113,corona; 
Powerful words from my friends @RepGraceMeng @RepJudyChu and @RepMarkTakano. Calling coronavirus the “China Virus” isn’t just racist – it puts Asian Americans across the country at risk. https://t.co/0Ge85kWAYa,2020-03-30 20:14:00,TweetDeck,91,205,corona; china virus; 
We need a ban on all evictions during this public health crisis. Glad to see this important step from @GavinNewsom #COVID19 https://t.co/wy9SA6Lzyo,2020-03-28 19:30:00,TweetDeck,80,393,covid; 
The $2 trillion stimulus bill Congress passed yesterday is now law. Here is a good resource on the direct payment relief provisions included. #COVID19 #CARESAct https://t.co/9IOZyCyN6N,2020-03-28 18:30:00,TweetDeck,32,44,covid; 
I have heard from many of you with questions about how long the virus stays on surfaces. While the research is ongoing this article has some good information. #COVID19 https://t.co/M8VqE4DwUF,2020-03-28 17:00:00,TweetDeck,29,71,covid; 
