Thank you for your important work especially as we continue to battle #COVID19.  #GiveThanks,2020-11-23 23:40:02,Twitter for iPhone,0,2,covid; 
✅I got a flu shot at Circleville Apothecary one of many local pharmacies offering flu shots.  It's especially important to get a flu shot this year. This will help protect at-risk neighbors &amp; reduce hospital visits during the COVID pandemic.  More info: https://t.co/Cp4ySaUJCW https://t.co/KaeNMHznBW,2020-10-09 20:24:15,Twitter for iPhone,3,28,covid; 
September marks the 5th straight month of job gains since #COVID19 shut down huge segments of our economy.   I'll continue pushing for legislation and efforts right in #OH15 to build on this momentum and continue fostering job creation.   https://t.co/e6JuSHJ2rO,2020-10-09 00:42:30,Twitter for iPhone,9,19,covid; 
This event has consistently spurred policy ideas &amp; local initiatives to support preventative measures treatment housing &amp; employment assistance for those battling addiction. As opioid-related deaths have spiked during #COVID19 these conversations are more important than ever.,2020-10-05 17:37:06,Twitter for iPhone,2,7,covid; 
#COVID19 is hurting the millions of our neighbors already struggling with food insecurity. I’m grateful to have had the opportunity to join @_MealsOnWheels earlier this month to help deliver meals to folks in #OH15.,2020-09-30 19:15:34,Twitter for iPhone,2,6,covid; 
Since the #COVID19 pandemic started we have all seen just how important telehealth is. It's a tool that has been crucial in getting our communities back on track which is why I urged @CMSgov to continue investing in telehealth services.   ⬇️Read the letter below. https://t.co/B39DrUwVIk,2020-08-28 20:19:24,Twitter for iPhone,1,2,covid; 
Today I met with Amanda from @dtlancasteroh to learn more on the obstacles restaurants and businesses are facing due to the #COVID19 pandemic. We need to continue working together on solutions that get us back to the booming economy in #OH15. https://t.co/SPGxsYjWgV,2020-08-21 22:49:12,Twitter for iPhone,1,5,covid; 
ICYMI: Farmers &amp; producers now have a new opportunity to access much needed relief.  The @USDA’s Farm Service Agency opened applications for their Coronavirus Food Assistance Program. Applications are open until August 28. To apply visit https://t.co/pc3q8A0A1y. https://t.co/HZohJDDiIm,2020-08-12 20:32:16,Twitter for iPhone,4,4,corona; 
We are facing a 10% unemployment rate and #COVID19 can make it difficult to connect with potential employers. My upcoming virtual job fair is one way I'm working to ensure folks in #OH15 can safely find a job. For more information visit https://t.co/E5Q8xOQDfG. https://t.co/F7uP6DQG9F,2020-08-10 22:03:39,Twitter for iPhone,4,8,covid; 
That’s why next month I’m hosting a VIRTUAL job fair so that folks can make connections with potential employers while still staying safe during #COVID19. To learn more about the job fair visit https://t.co/E5Q8xOQDfG. https://t.co/BGeMIMc5XK,2020-08-07 21:10:10,Twitter for iPhone,0,3,covid; 
Free #COVID19 testing will be open to all tomorrow August 7th at Athens High School from 1PM to 6PM.   Find more on this site and other sites near you at https://t.co/427Vxdhmlu. https://t.co/dPb7ah5sZg,2020-08-06 14:42:55,Twitter for iPhone,2,5,covid; 
JUST IN: Free #COVID19 testing will be open to all tomorrow August 4th at the Fairfield County Fairgrounds from 12PM to 7PM.   Find more on this site and other sites near you at https://t.co/427Vxdhmlu. https://t.co/MgH4yaRjQb,2020-08-03 17:11:08,Twitter for iPhone,2,0,covid; 
ATTN Veterans: Thursday at 5PM the @DeptVetAffairs is hosting a free teletown hall to update you on their latest coronavirus response efforts - including the benefits available to you right now. To join the call dial in to 833-380-0417.  Learn more here: https://t.co/UO7f6cj0aH https://t.co/wwqiZGXBOL,2020-07-27 17:14:59,Twitter for iPhone,1,1,corona; 
ICYMI: @nbc4i's Colleen Marshall and I recently discussed police reform the #COVID19 pandemic and the need to work together in a bipartisan way to get solutions for folks in #OH15 and nationwide. You can watch by clicking this link: https://t.co/zNrQwS4AF0.,2020-07-06 19:13:01,Twitter for iPhone,2,3,covid; 
The deadline to apply for the #PaycheckProtectionProgram is today. If you have any questions or issues with applying for the #PPP or about coronavirus relief in general please call my Lancaster Office at 740-654-2654.    For more visit the @SBAgov at https://t.co/wq2I85xqb7 https://t.co/68fwuMldDE,2020-06-30 16:13:34,Twitter for iPhone,1,0,corona; 
#Ohio - find a #COVID19 testing site near you. More are opening throughout #OH15 in the coming days.  July 2➡️Circleville  Find more on this site and other sites near you at https://t.co/427Vxdhmlu https://t.co/bbRWwvmDhq,2020-06-26 18:38:25,Twitter for iPhone,1,3,covid; 
Last week the Subcommittee on Housing Community Development and Insurance held its first virtual hearing to discuss housing security as we continue to combat #COVID19. We need to find solutions that support renters and housing providers.,2020-06-15 23:02:10,Twitter Web App,2,5,covid; 
During #MilitaryAppreciationMonth we honor the courageous men and women who serve. Thank you for continuing to protect our communities during this pandemic even through non-traditional roles such as helping with #COVID19 testing at nursing homes. https://t.co/MHGot5ahhF https://t.co/ObizM1kYjq,2020-05-28 17:39:59,Twitter for iPhone,14,11,covid; 
Students in #OH15 and nationwide continued to work hard throughout the #COVID19 pandemic and they certainty earned the right to celebrate. Thanks to those at Canal Winchester High who safely honored their #2020Graduates virtually. https://t.co/IIlfUgESnJ,2020-05-26 22:14:35,Twitter Web App,1,3,covid; 
Appreciated the chance to speak with medical residents from @nationwidekids to provide an update on legislation in response to the coronavirus pandemic. We must continue working together so that our communities can rebound and come back stronger than ever. https://t.co/XK8JqkZcvH,2020-05-22 17:04:07,Twitter for iPhone,2,1,corona; 
JUST IN: @Walmart and @QuestDX have collaborated to open another drive-thru #COVID19 testing site in Circleville tomorrow. Any adult can get a test if they qualify under the @CDCgov #Ohio and local guidelines.   For more: https://t.co/MfYkCwJmDJ,2020-05-21 22:47:53,Twitter for iPhone,15,6,covid; 
Throughout the ongoing fight against the spread of coronavirus I'm thankful to the many partners like @fema who continue to supply the PPE our frontline workers need.   As of May 15 @femaregion5 has delivered $39.7m to #Ohio to assist areas of the state affected by #COVID19. https://t.co/f0oPiBaEXY,2020-05-20 17:00:06,Twitter for iPhone,2,3,covid; corona; 
Congratulations on 55 years Head Start. The CARES Act included $750m to help them provide children a strong education foundation &amp; encourage them to be the best they can against all challenges caused by #COVID19.  More on my efforts to support Head Start: https://t.co/qyLdwHy2Hb https://t.co/yCOtDONYes,2020-05-18 15:06:18,Twitter for iPhone,2,6,covid; 
To get your coronavirus stimulus check by direct deposit by 12pm TODAY you must update your banking information on the IRS's website. If you miss this deadline your check will arrive in the mail though it may take longer.  For more: https://t.co/N4lL2zqZwE https://t.co/xVL8XQWtWb,2020-05-13 14:26:22,Twitter for iPhone,3,5,corona; 
Honored to be named the 11th most bipartisan member of the House.  We can’t allow partisanship to stand in the way of solutions especially as we fight #COVID19. I'll keep working across the aisle to deliver results for folks in #OH15 and nationwide. https://t.co/zuoSgPkdju https://t.co/4WtUrP5a9Z,2020-05-12 19:04:42,Twitter for iPhone,5,7,covid; 
Consumer &amp; retail stores open TODAY in #OH15. It is great to see our economy safely open back up but to defeat #COVID19 we must continue exercising best practices to stay healthy and prevent the spread as we move forward. More on #ResponsibleRestartOhio: https://t.co/xA3sIQsB89 https://t.co/MyFtdhUjMr,2020-05-12 18:27:24,Twitter for iPhone,2,5,covid; 
As we move forward in making a difference for all affected by #COVID19 we need to help families secure a safe place to call home. I'll continue leading efforts to find pragmatic solutions as Ranking Member of the @FinancialCmte Housing Subcommittee. More: https://t.co/aSvmqQWWqv,2020-05-07 23:03:59,Twitter for iPhone,3,12,covid; 
A strong fight Don. Stories like this about our #OH15 neighbors beating #COVID19 are an inspiration to us all. Let’s all continue to do our part to prevent the spread. https://t.co/52w5oMEmP1',2020-05-07 00:11:57,Twitter for iPhone,2,1,covid; 
On #NationalNursesDay a big ‘thank you’ all nurses who devote their time to healing others. As our nation works to defeat #COVID19 you have been incredibly impressive working on the front lines. Your commitment is vital more vital than ever. https://t.co/TWUSFQJ2AK,2020-05-06 20:42:50,Twitter for iPhone,3,8,covid; 
ATTN Public Assistance Program applicants: @femaregion5 streamlined the existing application to help expedite COVID-19 relief. Those eligible to apply include local governments states tribes &amp; certain private nonprofits. For more visit https://t.co/042HfLRDoa. https://t.co/axJAiEwlk2,2020-04-29 20:15:42,Twitter for iPhone,2,2,covid; 
If you are experiencing #COVID19 symptoms reach out to your health care provider for next steps to take.,2020-04-24 20:29:37,Twitter for iPhone,0,1,covid; 
Disinfectant products are important for wiping down surfaces to prevent the spread of germs but NOT as an internal treatment for coronavirus. I want to be clear DO NOT drink or inject yourself with a disinfectant.,2020-04-24 20:29:37,Twitter for iPhone,9,25,corona; 
This week is #NationalLabWeek and I want to recognize laboratory professionals for their innovation and their vital role in serving our communities. Thank you for your tireless work to improve the health of our nation and to defeat the coronavirus pandemic. https://t.co/eb1W5O8dXM,2020-04-20 15:59:11,Twitter for iPhone,1,2,corona; 
We’re fighting a battle and the medical professionals &amp; first responders are on the front lines. I cosponsored the #HEROESAct to extend financial relief to those individuals. They‘re making tremendous sacrifices to combat #COVID19 &amp; deserve this support. https://t.co/OqtXMuAG3y,2020-04-14 20:38:18,Twitter for iPhone,1,9,covid; 
Applications for the @FCC's COVID-19 Telehealth Program are now open. The CARES Act included $200m of support for this program to help health care providers safely and efficiently serve our communities during this pandemic. More on the application here: https://t.co/H1Na8Lb69H,2020-04-13 16:58:20,Twitter for iPhone,4,3,covid; 
ATTN Veterans: Today at 4PM the @DeptVetAffairs is hosting a free teletown hall to update you on their latest coronavirus response efforts - including the benefits available to you right now. To join the call dial in to 844-227-7557. More: https://t.co/0P3WRP9Dto https://t.co/JBZ5L3S2Gs,2020-04-08 15:17:31,Twitter for iPhone,1,2,corona; 
JUST NOW ➡️ @HHSGov has awarded grants to community health centers in #OH15 to combat #COVID19. To those working day-in and day-out to treat and care for our neighbors thank you. More: https://t.co/rlRIekA2SS https://t.co/3M8aR8z32Y,2020-04-07 20:49:57,Twitter for iPhone,3,4,covid; 
This #NationalPublicHealthWeek the health and well-being of the country has never been more important. Thanks to all who are working to beat #COVID19 now and keeping our communities healthy year-round. https://t.co/CMfdtAJ7gI,2020-04-06 23:49:26,Twitter for iPhone,2,4,covid; 
Along with my #Ohio colleagues I urged the #CoronavirusTaskForce to rush needed resources to those working hard to develop treatment options for #COVID19. Nothing should stand in the way of life-saving innovation. ⠀ ⠀ https://t.co/Gh2c3QgcIb https://t.co/ksdrAyQutg,2020-04-01 22:55:05,Twitter for iPhone,0,7,covid; corona; 
Now more than ever it’s so important to recognize #NationalDoctorsDay and thank all doctors working around the clock to save lives. Thank you for your sacrifices in the fight against #COVID19 and for your commitment to keeping communities healthy across America. https://t.co/Dit8j5I4q1,2020-03-30 18:45:19,Twitter for iPhone,3,8,covid; 
Glad to see @USDANutrition has now implemented waivers to help #Ohio students access meals while we’re under this public health emergency. This was a provision I supported in the Families First Coronavirus Response Act because we have to ensure kids can access to nutritious food.,2020-03-30 17:10:15,Twitter for iPhone,3,11,corona; 
JUST NOW ➡️ Great news the FDA has approved @Battelle to utilize its sterilization systems at full capacity. Now upwards of 160000 masks per day can be reused in #Ohio giving our health care workers the critical PPE they need to fight #COVID19.,2020-03-30 02:28:31,Twitter for iPhone,19,93,covid; 
Questions about the resources available for small businesses impacted by #COVID19? Join me and a representative from the Small Business Administration on a conference call tomorrow to find out how to navigate the options for your #SmallBiz.,2020-03-26 19:49:19,Twitter for iPhone,3,3,covid; 
As rumors and disinformation become far too common let's focus on accurate information and ways to #FlattenTheCurve by using trusted sources. You can visit @fema's "Coronavirus Rumor Control" page to find the latest info on #COVID19 response efforts. https://t.co/dTltPhGE5P https://t.co/n5SzWRDygv,2020-03-26 17:26:27,Twitter for iPhone,5,3,covid; corona; 
For folks looking to help here are tools from @FEMA on how to assist our communities in combating #COVID19. There are still impactful ways to provide relief for health care providers while practicing social distancing. We’re #InThisTogetherOhio. https://t.co/KOlMCuz5oD https://t.co/zEPnRlIGqF,2020-03-25 23:00:12,Twitter for iPhone,6,5,covid; 
ATTN Small Business Owners: please join me on Friday March 27th for a conference call about resources available for you as we continue to combat #COVID19.  A representative from the Small Business Administration will be on the line to help answer your questions. https://t.co/hMxrFQ5eje,2020-03-24 21:58:52,Twitter for iPhone,4,8,covid; 
For folks who are on the front lines in essential roles of #COVID19 or if you need transportation to visit the grocery or pharmacy @COTABus is still operating with modified service. For more information call #COTA at tel:614-228-1776 or visit https://t.co/VR8mQXeLAs https://t.co/DWzHT6tfHp,2020-03-24 19:54:36,Twitter for iPhone,7,8,covid; 
With #OH15 schools closed we have to ensure students continue to get nutritious food. Visit https://t.co/9RWOVMpxL5 or contact feedingkids@usda.gov to learn about free &amp; reduced-price meals during #COVID19. Thanks to the #USDA &amp; all who worked together to take care of our kids. https://t.co/m96FOfVQ0U,2020-03-23 20:21:19,Twitter for iPhone,3,2,covid; 
Need help filing for coronavirus-related unemployment? Go online at https://t.co/DKY5IIEdRL or call 1-877-644-6562. https://t.co/uwiGSZuzIO,2020-03-23 14:44:30,Twitter for iPhone,3,3,corona; 
Small businesses are the backbone of our economy and they’re facing unforeseen circumstances and uncertainty as a result of #COVID19. #SmallBiz in #OH15 can now apply for SBA loans to ensure they can continue to create jobs &amp; drive America forward. More: https://t.co/GsEePMJChT https://t.co/JMi2ifVrIW,2020-03-20 00:54:50,Twitter for iPhone,6,3,covid; 
Experiencing one of #Ohio’s natural treasures is a good way to both stay active and practice social distancing during the #COVID19 pandemic. There’s plenty of room outside to keep the recommended six feet of distance! https://t.co/ZRa0JBFA1G,2020-03-19 20:59:13,Twitter for iPhone,0,3,covid; 
Right now institutions are taking steps to address the impact that the #COVID19 pandemic may be having on your finances. Find more information here on assistance your bank is offering to support you. https://t.co/6q9emN6EU7,2020-03-18 18:17:55,Twitter for iPhone,1,3,covid; 
We need to take extra steps to help vulnerable populations like those experiencing homelessness stay healthy. I joined @PatrickMcHenry to urge leaders of our Public Housing Authorities to implement policies that protect all communities against #COVID19. https://t.co/XnzdBMADly https://t.co/5qqAhQknvc,2020-03-17 21:10:51,Twitter for iPhone,4,15,covid; 
This comprehensive package includes free coronavirus testing food deliveries for seniors waivers for student’s school lunches and paid sick and family leave to allow Americans to recover from illness and care for loved ones infected by coronavirus.,2020-03-14 14:10:38,Twitter for iPhone,1,13,corona; 
Last night I voted in favor of the Families First Coronavirus Response Act. With the passage of this package we can expect to see relief for Americans affected by coronavirus. We all share the common goal of keeping our families safe and healthy.,2020-03-14 14:10:38,Twitter for iPhone,4,37,corona; 
Everyone should exercise caution and best practices for staying healthy and to prevent the spread to those at higher risk. If you‘re concerned that you may have been in contact with an individual known to have #COVID19 &amp; you‘re exhibiting symptoms call your health care provider. https://t.co/YP9EaBMOzs,2020-03-13 14:24:25,Twitter for iPhone,12,15,covid; 
As of now there are 5 confirmed #COVID-19 cases in Ohio. Coronavirus poses a low risk to the general public but there are daily steps you can take to stay healthy. Learn more here: https://t.co/PlSjeh3T6M https://t.co/qyY5NA3lFr,2020-03-12 21:55:24,Twitter for iPhone,4,8,covid; corona; 
Good news for #Ohio. The CDC has awarded $15.6 million to support state and local response to #COVID19. Thanks to the folks across the state who are working tirelessly to keep our communities healthy. https://t.co/aA9EtchP3R,2020-03-12 16:00:47,Twitter for iPhone,1,4,covid; 
Are you subscribed to my e-newsletter? Sign up now to receive updates related to #COVID19. https://t.co/4jPPNFb1nU,2020-03-12 15:16:41,Twitter for iPhone,2,3,covid; 
As we continue to monitor #COVID19 I will get you updates and more prevention guidance as they become available. In the meantime here are more tips I encourage you to follow. https://t.co/FBvAeqbSRL,2020-03-10 16:09:39,Twitter for iPhone,16,11,covid; 
Officials at the federal state and local level are working hard to combat #COVID19. If you have questions about Ohio's response you can call 1-833-4-ASK-ODH (1-833-427-5634) between 9:00 AM and 8:00 PM. https://t.co/s4PD3KGxs9,2020-03-09 23:23:32,Twitter for iPhone,2,9,covid; 
There's no confirmed cases of #COVID19 in #Ohio but prohibiting spectators at the #Arnold is in the best interest of public health. https://t.co/dey8iywAi7,2020-03-05 20:40:15,Twitter for iPhone,11,5,covid; 
Just today the House approved emergency funding to address the coronavirus at home and abroad and officials at all levels are working tirelessly to keep you safe. https://t.co/Z12JhaKO3K,2020-03-05 00:18:33,Twitter for iPhone,4,9,corona; 
Thankfully there are no confirmed cases of coronavirus in Ohio but it never hurts to take steps to prevent illnesses: ➡️Wash your hands regularly ➡️Avoid touching your nose/mouth ➡️Stay home if you’re sick ➡️Disinfect objects you use regularly  More info: https://t.co/XYkl2ap7wM,2020-01-29 21:13:31,Twitter for iPhone,6,22,corona; 
