Cases and hospitalizations are spiking in Iowa.  Businesses say they're on the brink.  More federal #COVID19 protections expire on January 1st.  Additional aid can't wait until 2021.  #IA03  https://t.co/gn7THuHJga,2020-11-07 22:21:00,TweetDeck,8,71,covid; 
FACT CHECK: True  For months Cindy has pushed congressional leadership and the White House to meet in the middle on a compromise package that could deliver aid for Iowans and help combat #COVID19.  #IA03  https://t.co/IifRoWHBO2,2020-10-07 21:33:11,Twitter Web App,3,10,covid; 
FACT CHECK: True  Cindy Axne has been fighting for months to protect Iowa's most vulnerable - our senior citizens - from coronavirus.  #IA03  https://t.co/0RYxOqbAU6,2020-10-07 21:12:37,Twitter Web App,1,9,corona; 
As we continue responding to #COVID19 &amp; its economic fallout this is the WORST POSSIBLE MOMENT to gut critical health care protections.  We can’t afford to turn our backs on our seniors pregnant mothers and families still facing this crisis.  #IA03 https://t.co/GW43BwhVHv,2020-10-03 20:40:53,Twitter Web App,25,49,covid; 
As #COVID19 continues to spread in Iowa refusing to budge on additional relief won't help the families &amp; communities still in need.   After pushing for a revised aid package we're closer than we've been in months – and we need to reach a deal ASAP. #IA03 https://t.co/kSkFEBwVd0 https://t.co/3i0D4EscxW,2020-10-03 16:24:57,Twitter Web App,1,9,covid; 
As we all wish the President and First Lady a full and fast recovery from #COVID19 - we must see this is a reminder that this virus can affect anyone.  It takes all of us following the advice of our medical experts to slow the spread of this disease. #IA03 https://t.co/qetpZxmKUc,2020-10-02 21:56:36,Twitter Web App,3,13,covid; 
Health care was the #1 issue in our last election – now w/ #COVID19 and vital protections (like for preex conditions) still at risk 2020 is no different.  I don’t just promise to protect Iowans’ care I vote to do so – and have fought to lower those costs for Iowa families.#IA03 https://t.co/sQIa13f0Jm,2020-10-02 18:15:23,Twitter for iPhone,12,27,covid; 
The persistence of #COVID19 in our communities is a reminder of how important access to health care is for Iowa’s families.  I am committed to expanding access to affordable quality health care and to supporting our hospitals &amp; health clinics.  #IA03 https://t.co/VXKZsQoCdA,2020-09-30 20:10:34,Twitter Web App,9,17,covid; 
Rebuilding our economy amid the #COVID19 crisis shouldn’t be about tax breaks for big corporations – or cutting Medicare &amp; Social Security benefits.  It should be about putting Iowa’s middle-class families first.  #IA03 https://t.co/VTdqN0iLR6,2020-09-29 17:12:40,Twitter Media Studio,4,18,covid; 
Now – in the middle of a global pandemic and economic crisis – is the worst possible moment to put millions of Americans’ health care at risk by repealing the ACA.  We need to build on &amp; expand its protections as #IA03 grapples w/ the effects of #COVID19. https://t.co/RqpGPV4sYm,2020-09-27 21:02:37,Twitter Web App,12,17,covid; 
We also need to keep working to expand and keep telemedicine available for those hit hardest by #COVID19.  Together we can make sure every Iowan gets the care they deserve. Will you join me in this fight #IA03? (3/3)⬇️ https://t.co/5odWZu8p7h,2020-09-25 16:01:09,Twitter Web App,3,3,covid; 
3 of every 5 child care facilities have closed from #COVID19 – and many report their closures may be permanent.  If we don't directly address the looming child care crisis millions of working families will be left behind &amp; we won't be able to get our economy back on track. #IA03 https://t.co/iV7DgZgmn9,2020-09-19 14:28:43,Twitter Web App,8,30,covid; 
While I’d love to be out shaking hands giving hugs &amp; high-fives – and filling our rally halls – #COVID19 has meant campaigning looks a little different this year.  Proud of @polkdems for showing that we can still organize without putting Iowans at risk.👍 https://t.co/LvBwu34PDd,2020-09-18 00:26:00,Twitter Web App,7,26,covid; 
Our schools small businesses and health services are still under immense pressure from #COVID19.  Folks need help to ensure they can keep a roof over their heads and food on their table.  We need less partisan games and more action.  #IA03   https://t.co/Ij8bsAEpyJ,2020-09-14 22:29:45,Twitter Web App,17,28,covid; 
The tragic loss of one of @DMschools' dedicated educators is a sobering reminder of the risks facing our schools &amp; communities.  We need to allow districts to make decisions that will best protect their students and staff from the spread of #COVID19. #IA03 https://t.co/qR3KbgdzIj,2020-09-02 18:27:33,Twitter Web App,4,20,covid; 
Last week Iowa was reporting over 1000 positive cases a day – and we're at the top of the list nationally.   Now is not the time to let your guard down on #COVID19!  😷 Wear a mask  🧍‍♀️➖🧍‍♂️Follow socially distancing   🏡 Minimize exposure to others  #IA03 https://t.co/iqXzDlJrdq,2020-08-31 20:29:07,Twitter Web App,20,31,covid; 
This crisis is far from over in Iowa.  #COVID19 case counts are hitting new records.  Unemployment claims are climbing again and we're having to re-close businesses to slow the spread.  I will not accept a stalemate in Washington over additional aid.#IA03 https://t.co/wed482qzmJ,2020-08-28 18:30:20,Twitter Web App,6,15,covid; 
Iowa's housing advocates saying loud &amp; clear that #COVID19 is going to make Iowa's housing challenges more difficult.  Not only do we need to protect Iowans from losing their homes we need federal investments to expand access to affordable housing. #IA03  https://t.co/oWW6EUUlXQ,2020-08-24 17:25:10,Twitter Web App,2,9,covid; 
Thousands of Iowans are still:  ❌ out of work  ❌ struggling to keep food on their table  ❌ worried about sending their kids back to school  ❌ unsure how to make rent on Sept. 1  Political stalemate on additional #COVID19 relief is not an option. #IA03  https://t.co/nKF99foeEy https://t.co/rQZOXQnlMn,2020-08-20 19:34:52,Twitter Web App,6,12,covid; 
"Getting through now that's the problem. That's the day-to-day battle."  That's how 5th generation #IA03 farmer Dan Ryner summed up the effects of a devastating trade war uncertain markets &amp; #COVID19.  📺 Watch our conversation from last night's @DemConvention segment. #IA03 ⤵️ https://t.co/WFFYzql9yj,2020-08-20 17:00:08,Twitter Media Studio,17,28,covid; 
Iowa families have been facing difficult financial times during #COVID19 threatening their ability to keep food on their tables and roof over their heads.  I'm proud of my work helping Iowans in these tough times and I'm pleased to share the story of one such #IA03 family: https://t.co/r5SC7QuRNz,2020-08-19 16:51:49,Twitter Media Studio,6,15,covid; 
Businesses that rely on Iowa's biggest events of the year like the State Fair or RAGBRAI are facing losses from #COVID19 that could devastate local #IA03 economies.  Measures like the RESTART Act could help them through specific aid to keep them afloat. https://t.co/jsl3eS6ERO,2020-08-17 20:54:09,Twitter Web App,3,10,covid; 
I’m glad I could join the Iowa Alliance for Retired Americans @ProtectOurCare @IowaVoices @afscme_c61 and @ProgressIowa for a Town Hall on the need to protect our seniors and those in care centers from Coronavirus. https://t.co/0p8AAlitAd,2020-07-23 23:16:06,Twitter for iPhone,3,19,corona; 
Polk and Dallas counties have begun to see an increase in positive COVID-19 cases. When we #WearAMask we are telling our friends and neighbors that we care about their health and safety. I urge all Iowans to practice social distancing and #WearAMask when they leave their home. https://t.co/RXhMNlWXFo,2020-07-07 17:49:20,Twitter Web App,6,22,covid; 
Because of the Affordable Care Act 20 million additional Americans gained quality affordable health care. Now more than ever we need to build on that and give uninsured Americans the opportunity to get insured under a special enrollment period for COVID-19. Enough. #TeamJoe,2020-04-02 02:36:30,Twitter Web App,16,50,covid; 
