NC free community COVID-19 testing this weekend! Learn more below. https://t.co/yMN8QMpdyh,2020-11-20 18:12:03,Twitter for iPhone,6,8,covid; 
Today I was proud to vote to pass two critically needed bills H.R. 7027 the Child Care is Essential Act and H.R. 7327 the Child Care for Economic Recovery Act to address the child care crisis in North Carolina and across the country by providing relief through COVID-19. https://t.co/ROsCCbmVls,2020-07-30 00:18:32,Twitter for iPhone,8,9,covid; 
COVID-19 has devastated the child care sector forcing closures and exacerbating the shortage of quality affordable care. That’s why @HouseDemocrats are advancing two bills to provide relief for families and providers and support the safe reopening of our economy. #SaveChildCare https://t.co/d4YukwDB9l,2020-07-29 12:53:57,Twitter for iPhone,6,9,covid; 
Butterfield Announces $400000 COVID-19 Recovery Assistance Funding Through CARES Act https://t.co/40YsG0busn https://t.co/mzwtoE0xb1,2020-07-20 17:50:51,Twitter for iPhone,4,2,covid; 
I’m glad to see robust efforts to identify and address inequities highlighted by COVID-19 in North Carolina through the work  of the newly formed Andrea Harris Social Economic Environmental and Health Equity Task Force. @NC_Governor https://t.co/gBzDcIKuQC,2020-07-15 19:49:50,Twitter for iPhone,3,6,covid; 
May 15: 1449026 COVID-19 cases in the US Today: 3432307 US cases It’s been two months since the House passed the #HeroesAct – and STILL the Republican Senate continues to refuse to take action.,2020-07-15 19:03:04,Twitter for iPhone,3,6,covid; 
NC DHHS COVID-19: Community Testing Events-⁦@ncdhhs⁩ has announced community testing events in Edgecombe Halifax Hertford Johnston Northampton Sampson and Wake counties for historically marginalized communities with limited testing sites. https://t.co/pCbJdE1GO0,2020-07-14 18:01:35,Twitter for iPhone,2,1,covid; 
Grant funding in North Carolina! Proud to announce $400000 #COVID19 recovery response funding made available through the #CARESAct. https://t.co/vteYXToSWC,2020-07-07 16:28:19,Twitter for iPhone,4,2,covid; 
Over 1000 Northa Carolinians have lost their lives to COVID-19 – and more than 60000 are sick with the coronavirus. Why does the Trump Admin want to rip away their health care coverage? #ProtectOurCare https://t.co/R63mCFWIZz https://t.co/A8YWGsd7H4,2020-06-29 16:46:18,Twitter for iPhone,13,8,covid; corona; 
Tune in tonight at 7pm! I will join Members of the N.C. Congressional delegation-COVID-19 Response: “Congressional Town Hall’ on Tuesday at 7pm ET https://t.co/Z3Uq1g41AI,2020-05-12 22:28:34,Twitter for iPhone,2,1,covid; 
Just presided over a pro forma session on the House floor. Working hard for the residents of NC01 on the next #COVID19 package. #ForThePeople #SmallBiz https://t.co/bNmLQpIu5s,2020-04-21 15:22:56,Twitter for iPhone,8,34,covid; 
Tomorrow! I look forward to joining @RepKandieSmith and other experts as we respond to some of your most pressing questions on #COVID19. Submit your questions here: https://t.co/v5aJjkxjyY https://t.co/XYZOGERrJM,2020-04-15 18:04:15,Twitter for iPhone,2,5,covid; 
The #COVID19 pandemic has impacted us all and I know you have many questions. I invite NC-01 constituents to join me for a call where I respond to some of your most pressing questions. To submit your questions please visit my website at https://t.co/0USDVfIq2S https://t.co/qcHqCrEGAL,2020-04-03 20:24:06,Twitter for iPhone,2,5,covid; 
Democrats are working to put #FamiliesFirst as we confront the coronavirus. Learn more about the resources available to you and your family in this toolkit: https://t.co/ywxNEvZPVE,2020-04-01 17:39:47,Twitter for iPhone,3,2,corona; 
|NC coronavirus updates: COVID-19 cases exceed 1000 || Raleigh News &amp; Observer https://t.co/SU8ufWNngv|,2020-03-30 22:00:22,Twitter for iPhone,5,4,covid; corona; 
This past Friday the CARES Act was signed into law in response to the spread of #COVID19. Learn more here. Details Of The Coronavirus Relief Bill The CARES Act : NPR https://t.co/ZddKTDMDq0,2020-03-30 17:27:52,Twitter for iPhone,5,5,covid; corona; 
Masks. Face shields. Ventilators. These are the tools our health care workers need to take on the coronavirus. Resources secured by Democrats in the relief package will help them access the tools and more. #FamiliesFirst https://t.co/ZxbZaWwrVM,2020-03-26 17:46:57,Twitter for iPhone,4,9,corona; 
|Butterfield Urges Swift Passage of Third Coronavirus Bill || Representative G. K. Butterfield https://t.co/6q1GyG60NR|,2020-03-25 15:44:34,Twitter for iPhone,5,4,corona; 
State and local governments are leading the charge against COVID-19. Congress must ensure they have the resources needed to keep up the fight and protect our communities. #FamiliesFirst,2020-03-24 20:16:14,Twitter for iPhone,5,15,covid; 
10 years later the Affordable Care Act is protecting over 133 million Americans with pre-existing conditions to ensure they access to the health care they need as we fight the coronavirus. #ProtectOurCare https://t.co/iG2dYYsxnr,2020-03-23 20:03:43,Twitter for iPhone,2,3,corona; 
|Butterfield Update on Congressional Response to Coronavirus Outbreak || Representative G. K. Butterfield https://t.co/tyJAbYPH5k|,2020-03-22 13:54:51,Twitter for iPhone,1,3,corona; 
Thanks to my concerned constituents who reached out about my well-being. Gratefully I am doing well. I’ve been in NC01 this week talking with NCO1 residents and am now heading to DC for meetings regarding #COVID19 stimulus 3.0,2020-03-19 15:59:28,Twitter for iPhone,3,17,covid; 
Let us remember our dedicated healthcare professionals who have been diligently serving on the frontline during this difficult time. #ThankYou #COVID19 https://t.co/jUzpyx5ELn,2020-03-19 13:22:25,Twitter for iPhone,35,74,covid; 
Today Congressman Butterfield’s bill the Protecting Vulnerable Americans in Times of Crisis Act of 2020 (H.R. 6273) passed out of the U.S. Senate as part of the #FamiliesFirst Coronavirus Response Act.  https://t.co/rZ0Wyj5TBp,2020-03-18 21:29:50,Twitter for iPhone,3,9,corona; 
|COVID-19 Resources for Artists and Arts Organizations || NEA https://t.co/TmfFijU3bt|,2020-03-18 19:17:16,Twitter for iPhone,2,6,covid; 
|Visit my website for NC-01 healthcare centers and ⁦@CDCgov⁩ #COVID19 Information &amp; Contact Numbers || Representative G. K. Butterfield https://t.co/w9gpxnsQfl|,2020-03-17 00:36:34,Twitter for iPhone,4,7,covid; 
|Stay informed be prepared—Coronavirus in NC: North Carolina has 33 cases of COVID-19 || Raleigh News &amp; Observer https://t.co/TYdKNQPPOi|,2020-03-16 14:45:51,Twitter for iPhone,5,3,covid; corona; 
@ncpublicschools: School Nutrition team received waiver approval from the @USDA that allows schools closed due to Coronavirus #COVID19 to serve meals to students through the summer meals programs in a non-congregate setting. Read more here - https://t.co/7O6iZr2MeF,2020-03-15 15:43:54,Twitter for iPhone,0,1,covid; corona; 
|Butterfield’s Bill Passes House in Response to Coronavirus Outbreak || Representative G. K. Butterfield https://t.co/ZR1RVTv0ah|,2020-03-14 11:25:27,Twitter for iPhone,2,11,corona; 
-Free #coronavirus testing -Paid emergency leave -Enhanced food security This is how we confront this public health crisis. Congress must pass the #FamiliesFirst Act now! https://t.co/vCKijvpNLs,2020-03-13 18:16:03,Twitter for iPhone,13,15,corona; 
|Coronavirus NC live updates: CDC encouraging social distancing here's what that means || https://t.co/yoPi2BYMAa https://t.co/JOV9Uw3Ldz|,2020-03-13 17:43:05,Twitter for iPhone,3,2,corona; 
The #FamiliesFirst Coronavirus Response Act gives American workers the support they need as we confront this public health crisis. Learn more here: https://t.co/jD71m7fa5w,2020-03-12 19:07:26,Twitter for iPhone,13,20,corona; 
Stay informed: Coronavirus and Travel in the United States #COVID19 ⁦@CDCgov⁩  https://t.co/rdYmaVPb1B,2020-03-12 18:50:48,Twitter for iPhone,2,4,covid; corona; 
Gov. Cooper has declared a state of emergency for North Carolina for COVID-19. Stay engaged and stay informed. https://t.co/2JfSZEY34f,2020-03-11 14:22:39,Twitter for iPhone,23,27,covid; 
#PASSED! Today the House passed on a bipartisan 415 to 2 vote $8.3 billion emergency supplemental appropriations legislation to address the coronavirus outbreak. The Senate should pass this quickly for the health and safety of the American people. #COVID19 https://t.co/aKTGNXVHXA,2020-03-04 22:09:32,Twitter for iPhone,10,21,covid; corona; 
Want to help prevent the spread of #COVID19? Here’s what the CDC suggests: -Wash your hands often with soap &amp; water for at least 20 seconds especially after going to the bathroom before eating and after blowing your nose coughing or sneezing @CDCgov https://t.co/bjuqWUvM4S,2020-03-02 22:25:02,Twitter for iPhone,3,4,covid; 
Looking for up-to-date information on #COVID19/#coronavirus? Take a look at this resource from @CDCgov: https://t.co/Ir0l1yjRNz,2020-02-28 16:25:25,Twitter for iPhone,10,5,covid; corona; 
